``Somos, ﻿``Somos
o, o
time, time
mais, mais
ofensivo, ofensivo
do, de o
campeonato, campeonato
'', ''
,, ,
declarou, declarar
o, o
técnico, técnico
Candinho, Candinho
após, após
a, o
vitória, vitória
de, de
3, 3
a, a
2, 2
sobre, sobre
o, o
Bragantino, Bragantino
., .

, 

`, `
`, `
Quem, quem
mais, mais
,, ,
além, além
da, de o
Portuguesa, Portuguesa
,, ,
joga, jogar
com, com
dois, dois
centroavantes, centroavante
?, ?
'', ''
,, ,
perguntou, perguntar
o, o
técnico, técnico
no, em o
vestiário, vestiário
do, de o
Canindé, Canindé
,, ,
no, em o
sábado, sábado
., .

, 

Candinho, Candinho
deu, dar
essas, esse
declarações, declaração
para, para
rebater, rebater
a, o
afirmação, afirmação
de, de
que, que
o, o
time, time
relaxara, relaxar
no, em o
segundo, segundo
tempo, tempo
., .

, 

Para, para
tentar, tentar
surpreender, surpreender
a, o
Portuguesa, Portuguesa
,, ,
o, o
técnico, técnico
Souza, Souza
,, ,
do, de o
Bragantino, Bragantino
,, ,
escalou, escalar
o, o
time, time
com, com
cinco, cinco
defensores, defensor
(, (
Júnior, Júnior
ficou, ficar
na, em o
sobra, sobra
), )
., .

, 

Mas, mas
,, ,
em, em
vez, vez
de, de
reforçar, reforçar
a, o
marcação, marcação
,, ,
esse, esse
esquema, esquema
desarrumou, desarrumar
o, o
Bragantino, Bragantino
., .
Paulinho, Paulinho
e, e
Flávio, Flávio
escapavam, escapar
seguidas, seguido
vezes, vez
de, de
Marcelo, Marcelo
Henrique, Henrique
e, e
Adílson, Adílson
,, ,
seus, seu
marcadores, marcador
., .

, 

Em, em
nove, nove
minutos, minuto
,, ,
o, o
atacante, atacante
Flávio, Flávio
,, ,
que, que
não, não
marcava, marcar
havia, haver
sete, sete
jogos, jogo
,, ,
fez, fazer
dois, dois
gols, gol
,, ,
seu, seu
recorde, recorde
pessoal, pessoal
na, em o
competição, competição
., .

, 

Aos, a o
6min, 6min
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
Zé, Zé
Roberto, Roberto
,, ,
um, um
dos, de o
melhores, bom
do, de o
jogo, jogo
,, ,
venceu, vencer
o, o
lateral, lateral
Valmir, Valmir
e, e
cruzou, cruzar
., .
Flávio, Flávio
chutou, chutar
para, para
as, o
redes, rede
., .

, 

Três, três
minutos, minuto
depois, depois
,, ,
o, o
lateral-direito, lateral-direito
Edinho, Edinho
cruzou, cruzar
alto, alto
da, de o
direita, direita
e, e
Flávio, Flávio
marcou, marcar
de, de
cabeça, cabeça
., .

, 

Esse, esse
gol, gol
evidenciou, evidenciar
a, o
fragilidade, fragilidade
do, de o
Bragantino, Bragantino
., .
O, o
atacante, atacante
Flávio, Flávio
tinha, ter
dois, dois
jogadores, jogador
a, a
marcá-lo, marcar ele
,, ,
mas, mas
cabeceou, cabecear
sozinho, sozinho
,, ,
mesmo, mesmo
sem, sem
pular, pular
., .

, 

A, o
Portuguesa, Portuguesa
perdeu, perder
o, o
ímpeto, ímpeto
aos, a o
17min, 17min
,, ,
quando, quando
Flávio, Flávio
sentiu, sentir
dores, dor
na, em o
coxa, coxa
esquerda, esquerdo
e, e
pediu, pedir
para, para
sair, sair
., .
Jorge, Jorge
Andrade, Andrade
,, ,
seu, seu
substituto, substituto
,, ,
quebrou, quebrar
o, o
ritmo, ritmo
do, de o
time, time
., .

, 

Mesmo, mesmo
assim, assim
,, ,
a, o
Portuguesa, Portuguesa
dominou, dominar
o, o
primeiro, primeiro
tempo, tempo
e, e
poderia, poder
ter, ter
feito, fazer
mais, mais
gols, gol
., .

, 

No, em o
segundo, segundo
tempo, tempo
,, ,
Souza, Souza
tirou, tirar
o, o
zagueiro, zagueiro
Marcelo, Marcelo
Henrique, Henrique
e, e
pôs, pôr
o, o
atacante, atacante
Juarez, Juarez
., .
Aos, a o
3min, 3min
,, ,
o, o
Bragantino, Bragantino
descontou, descontar
., .
Josecler, Josecler
cruzou, cruzar
,, ,
Gilmar, Gilmar
cortou, cortar
errado, errar
de, de
cabeça, cabeça
e, e
Juarez, Juarez
emendou, emendar
de, de
cabeça, cabeça
para, para
as, o
redes, rede
., .

, 

Na, em o
saída, saída
,, ,
Zé, Zé
Roberto, Roberto
avançou, avançar
,, ,
tocou, tocar
para, para
Zinho, Zinho
na, em o
esquerda, esquerda
,, ,
que, que
cruzou, cruzar
para, para
Paulinho, Paulinho
,, ,
livre, livre
na, em o
pequena, pequeno
área, área
., .
Ele, ele
deu, dar
um, um
leve, leve
toque, toque
e, e
fez, fazer
seu, seu
10º, 10º
gol, gol
no, em o
Paulista, Paulista
., .

, 

O, o
gol, gol
matou, matar
a, o
reação, reação
do, de o
Bragantino, Bragantino
e, e
,, ,
na, em o
Portuguesa, Portuguesa
,, ,
os, o
jogadores, jogador
passaram, passar
a, a
buscar, buscar
lances, lance
de, de
efeito, efeito
., .

, 

Aos, a o
poucos, pouco
,, ,
o, o
Bragantino, Bragantino
voltou, voltar
a, a
crescer, crescer
., .
Aos, a o
35min, 35min
,, ,
após, após
cobrança, cobrança
de, de
escanteio, escanteio
,, ,
Paulo, Paulo
César, César
espalmou, espalmar
,, ,
a, o
bola, bola
bateu, bater
em, em
Gilmar, Gilmar
e, e
entrou, entrar
., .

, 

(, (
Marcelo, Marcelo
Damato, Damato
), )

, 

