O, ﻿O
atacante, atacante
Gílson, Gílson
,, ,
27, 27
,, ,
atribuiu, atribuir
ontem, ontem
às, a o
falhas, falha
sucessivas, sucessivo
no, em o
contra-ataque, contra-ataque
a, o
derrota, derrota
da, de o
seleção, seleção
brasileira, brasileiro
diante, diante
da, de o
Espanha, Espanha
., .

, 

Ele, ele
fez, fazer
a, o
afirmação, afirmação
à, a o
Folha, folha
,, ,
por, por
telefone, telefone
,, ,
do, de o
hotel, hotel
em, em
que, que
a, o
equipe, equipe
se, se
concentrou, concentrar
em, em
Gerona, Gerona
,, ,
cidade, cidade
vizinha, vizinho
a, o
Barcelona, Barcelona
., .

, 

`, `
`, `
Ainda, ainda
é, ser
cedo, cedo
para, para
tentar, tentar
encontrar, encontrar
chifre, chifre
na, em o
cabeça, cabeça
de, de
cavalo, cavalo
'', ''
,, ,
brincou, brincar
o, o
jogador, jogador
,, ,
que, que
considera, considerar
prematura, prematura
uma, um
crítica, crítica
mais, mais
dura, duro
ao, a o
desempenho, desempenho
da, de o
equipe, equipe
campeã, campeão
olímpica, olímpico
., .

, 

A, a
seguir, seguir
,, ,
os, o
principais, principal
trechos, trecho
da, de o
conversa, conversa
., .

, 

(, (
SK, SK
), )

, 

Folha, Folha
-, -
Como, como
você, você
analisa, analisar
a, o
derrota, derrota
da, de o
seleção, seleção
para, para
a, o
estreante, estreante
Espanha, Espanha
?, ?

, 

Gílson, Gílson
-, -
Acho, achar
que, que
falhamos, falhar
muito, muito
no, em o
contra-ataque, contra-ataque
., .
Tivemos, Tivemos
oportunidades, oportunidade
para, para
fechar, fechar
o, o
segundo, segundo
e, e
quarto, quarto
sets, set
e, e
desperdiçamos, desperdiçamos
., .

, 

Folha, Folha
-, -
Você, você
atribui, atribuir
a, a
quê, quê
essas, esse
falhas, falha
?, ?

, 

Gílson, Gílson
-, -
Bem, Bem
,, ,
nosso, nosso
time, time
ainda, ainda
não, não
está, estar
entrosado, entrosado
., .
Hoje, hoje
(, (
ontem, ontem
), )
devíamos, dever
ter, ter
entrado, entrar
na, em o
quadra, quadra
mais, mais
ligados, ligar
., .

, 

Mas, mas
estamos, estar
no, em o
começo, começo
da, de o
temporada, temporada
e, e
o, o
time, time
vai, ir
ter, ter
algumas, algum
semanas, semana
para, para
pegar, pegar
seu, seu
ritmo, ritmo
de, de
jogo, jogo
., .

, 

Folha, Folha
-, -
A, o
seleção, seleção
já, já
não, não
se, se
considera, considerar
mais, mais
um, um
supertime, supertime
?, ?

, 

Gílson, Gílson
-O, -O
pessoal, pessoal
está, estar
empenhado, empenhado
em, em
treinar, treinar
e, e
consciente, consciente
de, de
que, que
o, o
vôlei, vôlei
mundial, mundial
mudou, mudar
muito, muito
., .

, 

Nós, nós
podemos, poder
voltar, voltar
a, a
ser, ser
campeões, campeão
,, ,
mas, mas
isto, isto
vai, ir
exigir, exigir
muito, muito
trabalho, trabalho
de, de
toda, todo
a, o
equipe, equipe
., .

, 

