Uma, ﻿Uma
bateria, bateria
e, e
uma, um
míni-escola, míni-escola
de, de
samba, samba
vão, ir
animar, animar
a, o
torcida, torcida
brasileira, brasileiro
hoje, hoje
no, em o
amistoso, amistoso
Israel, Israel
x, x
Brasil, Brasil
., .
O, o
detalhe, detalhe
é, ser
que, que
a, o
bateria, bateria
é, ser
composta, compor
quase, quase
só, só
de, de
israelenses, israelense
., .

, 

A, o
Batucada, Batucada
Tel, Tel
Aviv, Aviv
e, e
a, o
escola, escola
de, de
samba, samba
Coco, Coco
Loco, Loco
foram, ser
anteontem, anteontem
à, a o
noite, noite
receber, receber
a, o
seleção, seleção
brasileira, brasileiro
no, em o
aeroporto, aeroporto
Ben, Ben
Gurion, Gurion
,, ,
numa, em um
cidade, cidade
próxima, próximo
a, a
Tel, Tel
Aviv, Aviv
., .
A, o
bateria, bateria
tinha, ter
27, 27
pessoas, pessoa
e, e
a, o
escola, escola
,, ,
8, 8
passistas, passista
fantasiados, fantasiar
., .

, 

O, o
maestro, maestro
da, de o
bateria, bateria
é, ser
o, o
israelense, israelense
Yaron, Yaron
Gelman, Gelman
., .
Ele, ele
contou, contar
,, ,
em, em
português, português
,, ,
que, que
esteve, estar
no, em o
Brasil, Brasil
duas, dois
vezes, vez
., .

, 

Em, em
1987, 1987
,, ,
morou, morar
sete, sete
meses, mês
em, em
São, São
Paulo, Paulo
., .
Em, em
1991, 1991
,, ,
passou, passar
o, o
Carnaval, Carnaval
no, em o
Rio, Rio
e, e
desfilou, desfilar
pela, por o
escola, escola
de, de
samba, samba
Beija-Flor, Beija-Flor
., .

, 

Gostou, Gostou
tanto, tanto
que, que
passou, passar
a, a
estudar, estudar
samba, samba
e, e
formou, formar
a, o
bateria, bateria
., .

, 

Seus, seu
integrantes, integrante
são, ser
todos, todo
de, de
Israel, Israel
e, e
trabalham, trabalhar
em, em
vários, vários
setores, setor
., .
Na, em o
recepção, recepção
à, a o
seleção, seleção
,, ,
a, o
maioria, maioria
deles, de eles
vestia, vestiar
camisas, camisa
coloridas, colorir
,, ,
muitas, muito
delas, de elas
floridas, florir
_, _
um, um
dos, de o
estereótipos, estereótipo
que, que
o, o
Brasil, Brasil
tem, ter
no, em o
exterior, exterior
., .

, 

A, o
escola, escola
de, de
samba, samba
também, também
é, ser
formada, formar
por, por
pessoas, pessoa
que, que
moram, morar
em, em
Israel, Israel
., .
A, o
maioria, maioria
é, ser
de, de
brasileiros, brasileiro
que, que
fazem, fazer
shows, show
em, em
Tel, Tel
Aviv, Aviv
., .

, 

(, (
MD, MD
), )

, 

