Os, ﻿Os
números, número
oficiais, oficial
,, ,
tanto, tanto
de, de
Pelé, Pelé
quanto, quanto
do, de o
Santos, Santos
Futebol, Futebol
Clube, Clube
,, ,
foram, ser
levantados, levantar
e, e
filtrados, filtrar
pelo, por o
jornalista, jornalista
De, de
Vaney, Vaney
,, ,
que, que
trabalhava, trabalhar
em, em
Santos, Santos
., .

, 

De, de
Vaney, Vaney
,, ,
já, já
morto, morrer
,, ,
era, ser
fanático, fanático
por, por
números, número
., .

, 

O, o
jornalista, jornalista
contou, contar
à, a o
Folha, folha
,, ,
no, em o
dia, dia
18, 18
de, de
outubro, outubro
de, de
1969, 1969
,, ,
que, que
os, o
jogos, jogo
da, de o
carreira, carreira
de, de
Pelé, Pelé
foram, ser
relacionados, relacionar
com, com
a, o
ajuda, ajuda
de, de
dois, dois
amigos, amigo
,, ,
com, com
quem, quem
cruzava, cruzar
as, o
dúvidas, dúvida
que, que
apareciam, aparecer
no, em o
trabalho, trabalho
., .

, 

`, `
`, `
Acompanhei, Acompanhei
Pelé, Pelé
desde, desde
seu, seu
primeiro, primeiro
treino, treino
no, em o
Santos, Santos
'', ''
,, ,
disse, dizer
., .

, 

Não, não
se, se
sabe, saber
,, ,
ao, a o
certo, certo
,, ,
quais, qual
fontes, fonte
o, o
jornalista, jornalista
utilizou, utilizar
em, em
seus, seu
levantamentos, levantamento
., .
Só, só
são, ser
conhecidos, conhecer
os, o
critérios, critério
que, que
adotou, adotar
., .

, 

De, de
Vaney, Vaney
não, não
computou, computar
23, 23
partidas, partida
que, que
a, o
seleção, seleção
brasileira, brasileiro
fez, fazer
contra, contra
clubes, clube
_, _
nesses, em esse
jogos-treino, jogos-treino
,, ,
Pelé, Pelé
anotou, anotar
19, 19
gols, gol
de, de
um, um
total, total
de, de
88, 88
da, de o
seleção, seleção
., .

, 

Mas, mas
incluiu, incluir
os, o
15, 15
gols, gol
marcados, marcar
por, por
Pelé, Pelé
em, em
jogos, jogo
do, de o
Exército, Exército
., .

, 

Seu, seu
levantamento, levantamento
conseguiu, conseguir
evitar, evitar
falhas, falha
que, que
podem, poder
ser, ser
verificadas, verificar
em, em
jornais, jornal
da, de o
época, época
_, _
os, o
textos, texto
eram, ser
escritos, escritos
com, com
base, base
em, em
precárias, precária
transmissões, transmissão
de, de
rádio, rádio
,, ,
facilitando, facilitar
a, o
ocorrência, ocorrência
de, de
erros, erro
., .

, 

No, em o
dia, dia
25, 25
de, de
julho, julho
de, de
1965, 1965
,, ,
por, por
exemplo, exemplo
,, ,
o, o
Santos, Santos
enfrentou, enfrentar
o, o
CRB, CRB
,, ,
em, em
Maceió, Maceió
., .
Jornais, Jornais
de, de
São, São
Paulo, Paulo
são, ser
conflitantes, conflitante
quanto, quanto
aos, a o
gols, gol
marcados, marcar
por, por
Pelé, Pelé
_, _
uns, um
disseram, dizer
três, três
;, ;
outros, outro
,, ,
quatro, quatro
., .

, 

Um, um
jornal, jornal
descreve, descrever
três, três
gols, gol
de, de
Pelé, Pelé
e, e
outro, outro
de, de
Abel, Abel
., .
Informa, Informa
um, um
placar, placar
final, final
de, de
4, 4
x, x
0, 0
., .

, 

Nos, em o
números, número
de, de
De, De
Vaney, Vaney
,, ,
Pelé, Pelé
fez, fazer
apenas, apenas
dois, dois
gols, gol
., .
A, o
Folha, folha
pôde, poder
confirmar, confirmar
que, que
sua, seu
versão, versão
é, ser
a, o
mesma, mesmo
dos, de o
jornais, jornal
`, `r
`, `
Gazeta, Gazeta
de, de
Alagoas, Alagoas
'', ''
e, e
`, `
`, `
Jornal, Jornal
de, de
Alagoas, Alagoas
'', ''
., .

, 

Até, até
a, o
súmula, súmula
do, de o
Santos, Santos
estava, estar
errada, errado
., .
Citava, Citar
originalmente, originalmente
quatro, quatro
gols, gol
de, de
Pelé, Pelé
., .
Posteriormente, posteriormente
,, ,
foi, ser
alterada, alterar
,, ,
a, a
lápis, lápis
,, ,
para, para
dois, dois
gols, gol
de, de
Pelé, Pelé
e, e
dois, dois
de, de
Coutinho, Coutinho
., .

, 

