O, ﻿O
New, New
York, York
Knicks, Knicks
realizou, realizar
quinta-feira, quinta-feira
à, a o
noite, noite
uma, um
de, de
suas, seu
melhores, bom
partidas, partida
defensivas, defensivo
e, e
deixou, deixar
a, o
quadra, quadra
do, de o
Bradley, Bradley
Center, Center
,, ,
em, em
Milwaukee, Milwaukee
,, ,
com, com
uma, um
vitória, vitória
de, de
92, 92
a, a
86, 86
sobre, sobre
os, o
Bucks, Bucks
., .
Os, o
Knicks, Knicks
não, não
puderam, puder
contar, contar
com, com
o, o
armador, armador
Derek, Derek
Harper, Harper
,, ,
recém-adquirido, recém-adquirir
ao, a o
Dallas, Dallas
Mavericks, Mavericks
,, ,
porque, porque
o, o
jogador, jogador
terá, ter
de, de
passar, passar
por, por
exames, exame
médicos, médico
para, para
confirmar, confirmar
sua, seu
contratação, contratação
., .

, 

Charles, Charles
Oakley, Oakley
,, ,
com, com
21, 21
pontos, ponto
e, e
14, 14
rebotes, rebote
,, ,
foi, ser
a, o
grande, grande
estrela, estrela
do, de o
time, time
da, de o
", "
Big, Big
Apple, Apple
", "
,, ,
que, que
com, com
a, o
vitória, vitória
manteve, manter
a, o
ponta, ponta
na, em o
Divisão, Divisão
do, de o
Atlântico, Atlântico
,, ,
agora, agora
com, com
20, 20
vitórias, vitória
e, e
8, 8
derrotas, derrota
., .

, 

Em, em
Charlotte, Charlotte
,, ,
os, o
Hornets, Hornets
foram, ser
surpreendidos, surpreendir
ao, a o
serem, ser
derrotados, derrotar
diante, diante
de, de
sua, seu
própria, próprio
torcida, torcida
pelo, por o
Portland, Portland
Trail, Trail
Blazers, Blazers
por, por
116, 116
a, a
110, 110
., .
Os, o
desfalques, desfalque
,, ,
no, em o
entanto, entanto
,, ,
pesaram, pesar
muito, muito
:, :
o, o
time, time
da, de o
Carolina, Carolina
do, de o
Norte, Norte
não, não
pôde, poder
contar, contar
mais, mais
uma, uma
vez, vez
com, com
Larry, Larry
Johnson, Johnson
e, e
Alonzo, Alonzo
Mourning, Mourning
,, ,
suas, seu
duas, dois
estrelas, estrela
., .
Em, em
contrapartida, contrapartida
,, ,
os, o
Blazers, Blazers
jogaram, jogar
sem, sem
seu, seu
", "
all-star, all-star
", "
Clyde, Clyde
Drexler, Drexler
e, e
o, o
pivô, pivô
Chris, Chris
Dudley, Dudley
., .

, 

No, em o
outro, outro
jogo, jogo
da, de o
rodada, rodada
,, ,
o, o
Golden, Golden
State, State
Warriors, Warriors
derrotou, derrotar
o, o
San, San
Antonio, Antonio
Spurs, Spurs
por, por
102, 102
a, a
98, 98
,, ,
em, em
Oakland, Oakland
,, ,
Califórnia, Califórnia
., .
Latrell, Latrell
Sprewell, Sprewell
anotou, anotar
22, 22
pontos, ponto
e, e
Billy, Billy
Owens, Owens
,, ,
21, 21
., .

, 

