A, ﻿A
volta, voltar
de, de
Palhinha, Palhinha
deve, dever
ser, ser
a, o
novidade, novidade
do, de o
São, São
Paulo, Paulo
amanhã, amanhã
,, ,
contra, contra
o, o
Guarani, Guarani
,, ,
em, em
Campinas, Campinas
., .

, 

O, o
técnico, técnico
Telê, Telê
Santana, Santana
usará, usar
um, um
time, time
`, `
`, `
misto, mer
'', ''
,, ,
poupando, poupar
titulares, titular
para, para
o, o
jogo, jogo
contra, contra
o, o
Grêmio, Grêmio
,, ,
sexta, sexta
,, ,
em, em
Porto, Porto
Alegre, Alegre
., .

, 

São, São
Paulo, Paulo
e, e
Grêmio, Grêmio
disputam, disputar
uma, um
vaga, vaga
nas, em o
semifinais, semifinal
da, de o
Copa, copa
do, de o
Brasil, Brasil
., .
Com, com
o, o
empate, empate
(, (
1, 1
a, a
1, 1
), )
no, em o
primeiro, primeiro
jogo, jogo
,, ,
o, o
São, São
Paulo, Paulo
se, se
classifica, classificar
se, se
vencer, vencer
ou, ou
empatar, empatar
por, por
mais, mais
de, de
dois, dois
gols, gol
., .

, 

