A, ﻿A
diretoria, diretoria
do, de o
São, São
Paulo, Paulo
vai, ir
tentar, tentar
esta, este
semana, semana
a, o
contratação, contratação
do, de o
atacante, atacante
Rivaldo, Rivaldo
,, ,
do, de o
Mogi, Mogi
Mirim, Mirim
., .
Márcio, Márcio
Aranha, Aranha
,, ,
diretor, diretor
são-paulino, são-paulino
,, ,
confirmou, confirmar
o, o
interesse, interesse
do, de o
clube, clube
pelo, por o
jogador, jogador
., .

, 

", "
Vamos, ir
ter, ter
uma, um
reunião, reunião
esta, este
semana, semana
com, com
os, o
diretores, diretor
do, de o
Mogi, Mogi
para, para
tentar, tentar
fechar, fechar
o, o
negócio, negócio
., .
Vamos, ir
tentar, tentar
o, o
empréstimo, empréstimo
ou, ou
até, até
mesmo, mesmo
a, o
contratação, contratação
em, em
definitivo, definitivo
', '
,, ,
disse, dizer
o, o
dirigente, dirigente
., .

, 

Aranha, aranha
não, não
quis, querer
revelar, revelar
a, o
quantia, quantia
a, a
ser, ser
paga, pagar
na, em o
negociação, negociação
., .
", "
Não, não
conversamos, conversar
sobre, sobre
cifras, cifra
", "
,, ,
despistou, despistar
., .
", "
Temos, ter
interesse, interesse
em, em
manter, manter
o, o
Rivaldo, Rivaldo
,, ,
que, que
é, ser
um, um
grande, grande
jogador, jogador
,, ,
em, em
São, São
Paulo, Paulo
e, e
,, ,
de, de
preferência, preferência
,, ,
no, em o
São, São
Paulo, Paulo
", "
., .

, 

Rivaldo, Rivaldo
atuou, atuar
no, em o
último, último
campeonato, campeonato
brasileiro, brasileiro
emprestado, emprestar
ao, a o
Corinthians, Corinthians
., .
O, o
Mogi, Mogi
Mirim, Mirim
estipula, estipular
o, o
preço, preço
do, de o
passe, passe
do, de o
jogador, jogador
em, em
US$, US$
4,5, 4,5
milhões, milhão
., .

, 

