Após, ﻿Após
quatro, quatro
anos, ano
,, ,
seis, seis
meses, mês
e, e
cerca, cerca
de, de
25, 25
dias, dia
morando, morar
no, em o
Centro, centro
de, de
Treinamento, Treinamento
do, de o
São, São
Paulo, Paulo
,, ,
o, o
técnico, técnico
Telê, Telê
Santana, Santana
vai, ir
mudar, mudar
de, de
endereço, endereço
., .

, 

Nos, em o
próximos, próximo
dias, dia
,, ,
o, o
técnico, técnico
deverá, dever
ir, ir
morar, morar
num, em um
flat, flat
na, em o
zona, zona
oeste, oeste
de, de
São, São
Paulo, Paulo
,, ,
junto, junto
com, com
a, o
mulher, mulher
,, ,
Ivonete, Ivonete
., .

, 

A, o
mudança, mudança
deve, dever
acontecer, acontecer
no, em o
final, final
desta, de este
semana, semana
ou, ou
na, em o
próxima, próximo
., .

, 

O, o
novo, novo
apartamento, apartamento
de, de
Telê, Telê
tem, ter
quatro, quatro
quartos, quarto
e, e
foi, ser
alugado, alugar
pelo, por o
São, São
Paulo, Paulo
., .

, 

Antes, antes
de, de
ser, ser
entregue, entregar
,, ,
foi, ser
submetido, submeter
a, a
uma, um
reforma, reforma
,, ,
feita, fazer
sob, sob
a, o
orientação, orientação
da, de o
mulher, mulher
do, de o
técnico, técnico
., .

, 

A, o
mobília, mobília
deverá, dever
chegar, chegar
ainda, ainda
nesta, em este
semana, semana
., .
A, o
Folha, folha
apurou, apurar
que, que
o, o
técnico, técnico
vai, ir
receber, receber
os, o
móveis, móvel
da, de o
loja, loja
Ilustre, Ilustre
Móveis, Móveis
e, e
Decorações, Decorações
,, ,
de, de
São, São
Paulo, Paulo
,, ,
em, em
troca, troca
de, de
uma, um
tarde, tarde
de, de
autógrafos, autógrafo
., .

, 

O, o
apartamento, apartamento
do, de o
casal, casal
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
deverá, dever
permanecer, permanecer
montado, montar
., .

, 

Telê, Telê
conta, contar
que, que
,, ,
quando, quando
chegou, chegar
ao, a o
São, São
Paulo, Paulo
,, ,
em, em
outubro, outubro
de, de
1990, 1990
,, ,
o, o
clube, clube
não, não
tinha, ter
dinheiro, dinheiro
para, para
alugar, alugar
um, um
apartamento, apartamento
para, para
ele, ele
., .
`, `
`, `
Fui, ser
até, até
sem, sem
saber, saber
quanto, quanto
iria, ir
ganhar, ganhar
'', ''
,, ,
relembra, relembrar
., .

, 

Na, em o
época, época
,, ,
o, o
time, time
tinha, ter
sido, ser
rebaixado, rebaixar
para, para
o, o
equivalente, equivalente
à, a o
série, série
A-2, A-2
do, de o
Campeonato, Campeonato
Paulista, Paulista
., .

, 

Ele, ele
ficou, ficar
morando, morar
num, em um
quarto, quarto
do, de o
Centro, Centro
do, de o
Treinamento, treinamento
,, ,
que, que
havia, haver
sido, ser
aprontado, aprontar
pouco, pouco
tempo, tempo
antes, antes
., .
O, o
quarto, quarto
é, ser
o, o
mesmo, mesmo
até, até
hoje, hoje
., .
Pelo, por o
tempo, tempo
em, em
que, que
mora, morar
lá, lá
,, ,
o, o
CT, CT
transformou-se, transformour se
em, em
sua, seu
casa, casa
., .

, 

A, o
mudança, mudança
para, para
São, São
Paulo, Paulo
é, ser
um, um
antigo, antigo
desejo, desejo
de, de
Ivonete, Ivonete
,, ,
somente, somente
agora, agora
realizado, realizar
., .

, 

A, o
ida, ida
de, de
Telê, Telê
para, para
o, o
flat, flat
ficou, ficar
acertada, acertado
na, em o
última, último
renovação, renovação
de, de
contrato, contrato
do, de o
treinador, treinador
,, ,
no, em o
final, final
do, de o
ano, ano
passado, passado
., .
Todos, todo
os, o
contratos, contrato
de, de
Telê, Telê
com, com
o, o
clube, clube
são, ser
verbais, verbal
,, ,
segundo, segundo
ele, ele
., .

, 

No, em o
meio, meio
do, de o
ano, ano
passado, passado
,, ,
porém, porém
,, ,
nada, nada
indicava, indicar
que, que
isso, isso
aconteceria, aconteceriar
., .

, 

Telê, Telê
estava, estar
aborrecido, aborrecido
e, e
confidenciou, confidenciar
que, que
era, ser
mais, mais
provável, provável
a, o
sua, seu
saída, saída
do, de o
clube, clube
do, de o
que, que
a, o
vinda, vinda
de, de
sua, seu
mulher, mulher
para, para
São, São
Paulo, Paulo
., .

, 

As, o
arestas, aresta
foram, ser
contornadas, contornadas
,, ,
e, e
Telê, Telê
ficou, ficar
., .
Neste, em este
ano, ano
,, ,
o, o
técnico, técnico
tem, ter
mostrado, mostrar
uma, um
satisfação, satisfação
incomum, incomum
com, com
o, o
empenho, empenho
e, e
o, o
comportamento, comportamento
dos, de o
jogadores, jogador
., .

, 

