Depois, ﻿Depois
de, de
recepcionar, recepcionar
o, o
ex-pivô, ex-pivô
Kareem, Kareem
Abdul-Jabbar, Abdul-Jabbar
e, e
o, o
ex-ala, ex-ala
Larry, Larry
Bird, Bird
,, ,
dois, dois
dos, de o
maiores, grande
ídolos, ídolo
da, de o
NBA, NBA
,, ,
o, o
Brasil, Brasil
tenta, tentar
realizar, realizar
agora, agora
uma, um
promoção, promoção
com, com
o, o
ex-armador, ex-armador
do, de o
Los, Los
Angeles, Angeles
Lakers, Lakers
Magic, Magic
Johnson, Johnson
,, ,
que, que
encerrou, encerrar
a, o
carreira, carreira
em, em
novembro, novembro
de, de
91, 91
por, por
ter, ter
contraído, contrair
o, o
vírus, vírus
da, de o
Aids, Aids
., .
O, o
jogador, jogador
tem, ter
participado, participar
de, de
jogos, jogo
de, de
exibição, exibição
em, em
vários, vários
países, país
,, ,
arrecadando, arrecadar
fundos, fundo
para, para
campanha, campanha
de, de
combate, combate
a, o
Aids, Aids
., .

, 

Magic, Magic
deve, dever
integrar, integrar
uma, um
seleção, seleção
de, de
jogadores, jogador
de, de
São, São
Paulo, Paulo
para, para
a, o
disputa, disputa
de, de
jogo, jogo
contra, contra
a, o
equipe, equipe
da, de o
universidade, universidade
George, George
Washington, Washington
(, (
EUA, EUA
), )
., .
O, o
jogo, jogo
está, estar
sendo, ser
programado, programar
para, para
uma, um
quadra, quadra
a, a
ser, ser
montada, montar
no, em o
teatro, teatro
do, de o
Hotel, Hotel
Nacional, Nacional
,, ,
no, em o
Rio, Rio
., .

, 

Tudo, tudo
isso, isso
como, como
parte, parte
do, de o
", "
First, First
Basketball, Basketball
Meeting, Meeting
", "
,, ,
de, de
22, 22
a, a
28, 28
de, de
agosto, agosto
,, ,
no, em o
Rio, Rio
., .
O, o
evento, evento
tem, ter
ainda, ainda
outros, outro
convidados, convidado
especiais, especial
,, ,
como, como
o, o
técnico, técnico
Phil, Phil
Jackson, Jackson
,, ,
do, de o
Chicago, Chicago
Bulls, Bulls
,, ,
e, e
o, o
técnico, técnico
da, de o
universidade, universidade
de, de
Indiana, Indiana
,, ,
Bob, Bob
Knight, Knight
., .

, 

A, o
Mercado, Mercado
Promoções, Promoções
,, ,
empresa, empresa
do, de o
Rio, Rio
,, ,
está, estar
trabalhando, trabalhar
no, em o
projeto, projeto
e, e
já, já
oficializou, oficializar
o, o
convite, convite
à, a o
Federação, Federação
Paulista, Paulista
., .
O, o
presidente, presidente
da, de o
entidade, entidade
,, ,
Paulo, Paulo
Cheidde, Cheidde
,, ,
confirmou, confirmar
o, o
convite, convite
., .

, 

", "
O, o
contrato, contrato
deve, dever
ser, ser
assinado, assinar
nos, em o
próximos, próximo
dias, dia
", "
,, ,
afirmou, afirmar
Paulo, Paulo
Cheidde, Cheidde
,, ,
que, que
diz, dizer
ter, ter
em, em
mãos, mão
toda, todo
a, o
programação, programação
do, de o
meeting, Meeting
,, ,
que, que
inclui, incluir
o, o
lançamento, lançamento
do, de o
", "
basket-beach, basket-beach
", "
,, ,
modalidade, modalidade
que, que
tem, ter
como, como
meta, meta
a, o
massificação, massificação
do, de o
basquete, basquete
em, em
toda, todo
a, o
costa, costa
brasileira, brasileiro
,, ,
a, a
exemplo, exemplo
do, de o
que, que
vem, vir
ocorrendo, ocorrer
com, com
o, o
vôlei, vôlei
., .

, 

(, (
Edgard, Edgard
Alves, Alves
), )

, 

