A, ﻿A
jogadora, jogadora
Ana, Ana
Paula, Paula
torce, torcer
de, de
longe, longe
pelo, por o
sucesso, sucesso
da, de o
seleção, seleção
feminina, feminino
no, em o
Torneio, Torneio
de, de
Bremen, Bremen
., .
De, de
volta, volta
a, a
Belo, Belo
Horizonte, Horizonte
,, ,
a, o
meio-de-rede, meio-de-rede
do, de o
L'Acqua, L'Acqua
di, di
Fiori, Fiori
/, /
Minas, Minas
se, se
recupera, recuperar
do, de o
estiramento, estiramento
no, em o
abdômen, abdômen
,, ,
responsável, responsável
pelo, por o
seu, seu
corte, corte
na, em o
equipe, equipe
., .
", "
Se, se
vacilo, vacilo
mais, mais
um, um
pouco, pouco
poderia, poder
romper, romper
toda, todo
a, o
musculatura, musculatura
da, de o
região, região
", "
,, ,
diz, dizer
ela, ele
,, ,
que, que
acompanha, acompanhar
os, o
treinos, treino
de, de
seu, seu
time, time
mas, mas
está, estar
proibida, proibido
", "
até, até
de, de
pegar, pegar
bola, bola
", "
., .

, 

Ana, Ana
Paula, Paula
conta, contar
que, que
sua, seu
contusão, contusão
vem, vir
sendo, ser
tratada, tratar
a, o
base, base
de, de
calor, calor
,, ,
laser, laser
e, e
ultrasom, ultrasom
., .
", "
São, ser
três, três
sessões, sessão
diárias, diária
de, de
60, 60
minutos, minuto
cada, cada
., .
Se, se
tudo, tudo
der, dar
certo, certo
devo, devo
voltar, voltar
a, a
jogar, jogar
no, em o
final, final
deste, de este
mês, mês
", "
,, ,
afirma, afirmar
., .

, 

Otimista, otimista
em, em
relação, relação
ao, a o
futuro, futuro
da, de o
seleção, seleção
,, ,
Ana, Ana
Paula, Paula
diz, dizer
que, que
o, o
clima, clima
na, em o
equipe, equipe
está, estar
ótimo, bom
., .
Para, para
ela, ela
,, ,
o, o
novo, novo
técnico, técnico
,, ,
Bernardo, Bernardo
Rezende, Rezende
,, ,
conseguiu, conseguir
transmitir, transmitir
muita, muito
tranquilidade, tranquilidade
ao, a o
elenco, elenco
., .
", "
Só, só
não, não
fiquei, fiquei
chateada, chatear
em, em
não, não
viajar, viajar
porque, porque
recebi, recebi
todo, todo
o, o
apoio, apoio
do, de o
Bernardinho, Bernardinho
para, para
ficar, ficar
no, em o
Brasil, Brasil
e, e
me, eu
recuperar, recuperar
para, para
a, o
fase, fase
final, final
da, de o
Liga, Liga
Nacional, Nacional
", "
,, ,
afirma, afirmar
., .

, 

Segundo, segundo
ela, ela
,, ,
se, se
a, o
seleção, seleção
não, não
voltar, voltar
com, com
o, o
título, título
isso, isso
não, não
vai, ir
afetar, afetar
o, o
time, time
., .
", "
Não, não
importa, importar
se, se
perdermos, perdermos
ou, ou
ganharmos, ganharmos
., .
O, o
mais, mais
importante, importante
é, ser
que, que
a, o
equipe, equipe
se, se
entrose, entrose
cada, cada
vez, vez
mais, mais
para, para
o, o
Mundial, Mundial
em, em
outubro, outubro
", "
,, ,
diz, dizer
Ana, Ana
Paula, Paula
., .

, 

