O, ﻿O
armador, armador
veterano, veterano
Derek, Derek
Harper, Harper
já, já
é, ser
o, o
herói, herói
do, de o
New, New
York, York
Knicks, Knicks
na, em o
segunda, segundo
fase, fase
do, de o
campeonato, campeonato
da, de o
NBA, NBA
., .

, 

Sua, seu
atuação, atuação
fulminou, fulminar
o, o
drama, drama
da, de o
derrota, derrota
diante, diante
do, de o
Indiana, Indiana
(, (
107, 107
a, a
105, 105
), )
,, ,
domingo, domingo
,, ,
quando, quando
o, o
New, New
York, York
ficou, ficar
sob, sob
suspeita, suspeita
de, de
ter, ter
`, `
`, `
tremido, tremer
'', ''
no, em o
final, final
., .

, 

Harper, Harper
fez, fazer
24, 24
pontos, ponto
., .
Manteve, Manteve
,, ,
com, com
sua, seu
performance, performance
,, ,
uma, um
média, média
superior, alto
a, a
60, 60
%, %
nos, em o
arremessos, arremesso
de, de
dois, dois
e, e
de, de
três, três
pontos, ponto
., .

, 

