Etnólogo, ﻿Etnólogo
,, ,
antropólogo, antropólogo
,, ,
educador, educador
,, ,
romancista, romancista
,, ,
o, o
senador, senador
Darcy, Darcy
Ribeiro, Ribeiro
(, (
PDT-RJ, PDT-RJ
), )
,, ,
72, 72
,, ,
comenta, comentar
pesquisa, pesquisa
sobre, sobre
a, o
imagem, imagem
do, de o
Brasil, Brasil
com, com
o, o
prestígio, prestígio
de, de
quem, quem
conhece, conhecer
e, e
pensa, pensar
o, o
país, país
com, com
originalidade, originalidade
inquietante, inquietante
há, haver
várias, várias
décadas, década
., .

, 

Em, em
janeiro, janeiro
deste, de este
ano, ano
fugiu, fugir
de, de
hospital, hospital
onde, onde
tratava, tratar
de, de
câncer, câncer
e, e
,, ,
fazendo, fazer
", "
careta, careto
para, para
a, o
morte, morte
", "
,, ,
concluiu, concluir
", "
O, o
Brasil, Brasil
como, como
Problema, Problema
", "
e, e
", "
O, o
Povo, Povo
Brasileiro, Brasileiro
", "
., .

, 

Carioca, Carioca
incurável, incurável
,, ,
Darcy, Darcy
nasceu, nascer
em, em
Montes, Montes
Claros, Claros
(, (
MG, MG
), )
e, e
formou-se, formar se
na, em o
Escola, Escola
de, de
Sociologia, Sociologia
e, e
Política, Política
da, de o
USP, USP
,, ,
em, em
1946, 1946
., .

, 

No, em o
ano, ano
seguinte, seguinte
,, ,
a, a
convite, convite
do, de o
marechal, marechal
Rondon, Rondon
,, ,
trocou, trocar
a, o
cidade, cidade
pela, por o
selva, selva
,, ,
passando, passar
a, a
trabalhar, trabalhar
no, em o
Serviço, Serviço
de, de
Proteção, Proteção
aos, a o
Índios, Índios
., .

, 

É, ser
autor, autor
de, de
obras, obra
etnográficas, etnográfico
como, como
", "
Religião, Religião
e, e
Mitologia, Mitologia
Kadiwéu, Kadiwéu
", "
(, (
1950, 1950
), )
e, e
", "
Língua, Língua
e, e
Cultura, Cultura
Indígenas, Indígenas
do, de o
Brasil, Brasil
", "
(, (
1957, 1957
), )
., .

, 

Em, em
1961, 1961
,, ,
nomeado, nomear
ministro, ministro
da, de o
Educação, educação
e, e
Cultura, Cultura
,, ,
criou, criar
a, o
Universidade, Universidade
de, de
Brasília, Brasília
(, (
UnB, UnB
), )
., .

, 

Era, ser
chefe, chefe
da, de o
Casa, Casa
Civil, Civil
da, de o
Presidência, Presidência
da, de o
República, República
de, de
João, João
Goulart, Goulart
(, (
1963-64, 1963-64
), )
quando, quando
foi, ser
cassado, cassar
pelo, por o
regime, regime
militar, militar
., .
Voltou, Voltou
do, de o
exílio, exílio
em, em
1976, 1976
,, ,
publicou, publicar
o, o
romance, romance
", "
Maíra, Maíra
", "
e, e
elegeu-se, elegeu-se
vice-governador, vice-governador
do, de o
Rio, Rio
em, em
1982, 1982
., .

, 

Imortal, imortal
,, ,
é, ser
membro, membro
da, de o
Academia, Academia
Brasileira, Brasileira
de, de
Letras, Letras
desde, desde
1992, 1992
., .

, 

