Os, ﻿Os
`, `
`, `
rookies, rookies
'', ''
(, (
estreantes, estreante
), )
brasileiros, brasileiro
em, em
Indianápolis, Indianápolis
(, (
EUA, EUA
), )
ainda, ainda
temem, temer
acelerar, acelerar
ao, a o
máximo, máximo
seus, seu
carros, carro
nos, em o
treinos, treino
livres, livre
para, para
as, o
500, 500
Milhas, milha
., .

, 

Christian, Christian
Fittipaldi, Fittipaldi
,, ,
da, de o
Walker, Walker
,, ,
André, André
Ribeiro, Ribeiro
,, ,
da, de o
Tasman, Tasman
,, ,
e, e
Gil, Gil
de, de
Ferran, Ferran
,, ,
da, de o
Hall, Hall
Racing, Racing
,, ,
participam, participar
pela, por o
primeira, primeira
vez, vez
da, de o
prova, prova
mais, mais
tradicional, tradicional
do, de o
automobilismo, automobilismo
mundial, mundial
,, ,
no, em o
dia, dia
28, 28
., .

, 

`, `
`, `
É, ser
preciso, preciso
ir, ir
aos, a o
poucos, pouco
,, ,
para, para
me, eu
adaptar, adaptar
,, ,
mas, mas
já, já
deu, dar
para, para
sentir, sentir
que, que
a, o
pista, pista
é, ser
muito, muito
boa, bom
'', ''
,, ,
contou, contar
Christian, Christian
., .

, 

Para, para
o, o
brasileiro, brasileiro
,, ,
a, o
concentração, concentração
deve, dever
ser, ser
uma, um
de, de
suas, seu
maiores, grande
preocupações, preocupação
durante, durante
o, o
período, período
de, de
treinamentos, treinamento
para, para
a, o
prova, prova
., .

, 

`, `
`, `
É, ser
uma, um
corrida, corrida
de, de
três, três
horas, hora
de, de
duração, duração
,, ,
por, por
isso, isso
é, ser
importante, importante
estar, estar
bem, bem
concentrado, concentrar
'', ''
disse, dizer
o, o
corredor, corredor
., .

, 

`, `
`, `
Dormir, Dormir
bem, bem
e, e
ter, ter
uma, um
boa, bom
alimentação, alimentação
é, ser
fundamental, fundamental
,, ,
especialmente, especialmente
na, em o
semana, semana
que, que
antecede, anteceder
a, o
corrida, corrida
'', ''
,, ,
completou, completar
., .

, 

Já, já
André, André
Ribeiro, Ribeiro
tem, ter
se, se
preocupado, preocupar
com, com
o, o
acúmulo, acúmulo
de, de
energia, energia
e, e
tensão, tensão
neste, em este
mês, mês
de, de
preparação, preparação
para, para
a, o
corrida, corrida
., .

, 

`, `
`, `
Faço, faço
ginástica, ginástica
todos, todos
os, o
dias, dia
de, de
manhã, manhã
,, ,
mais, mais
para, para
gastar, gastar
energia, energia
do, de o
que, que
outra, outro
coisa, coisa
'', ''
,, ,
contou, contar
Ribeiro, Ribeiro
., .

, 

`, `
`, `
Estamos, estar
dando, dar
poucas, pouco
voltas, volta
na, em o
pista, pista
., .
Saio, Saio
dos, de o
boxes, boxe
,, ,
faço, fazer
alguns, algum
giros, giro
e, e
logo, logo
volto, voltar
para, para
acertar, acertar
o, o
carro, carro
., .
Com, com
isso, isso
,, ,
parece, parecer
que, que
toda, todo
a, o
energia, energia
fica, ficar
represada, represado
'', ''
,, ,
disse, dizer
., .

, 

Assim, assim
como, como
Christian, Christian
,, ,
Ribeiro, Ribeiro
não, não
conseguiu, conseguir
acelerar, acelerar
seu, seu
carro, carro
até, até
o, o
limite, limite
., .
`, `
`, `
