Após, ﻿Após
o, o
jogo, jogo
de, de
ontem, ontem
,, ,
o, o
treinador, treinador
Valdir, Valdir
Espinosa, Espinosa
evitou, evitar
entrar, entrar
na, em o
polêmica, polêmica
sobre, sobre
o, o
atraso, atraso
no, em o
pagamento, pagamento
dos, de o
prêmios, prêmio
aos, a o
jogadores, jogador
palmeirenses, palmeirense
e, e
também, também
à, a o
comissão, comissão
técnica, técnico
., .

, 

`, `
`, `
Isso, isso
é, ser
assunto, assunto
da, de o
diretoria, diretoria
., .
Procuro, Procuro
manter, manter
o, o
grupo, grupo
afastado, afastar
desse, de esse
assunto, assunto
'', ''
,, ,
afirmou, afirmar
., .

, 

Espinosa, Espinosa
,, ,
no, em o
entanto, entanto
,, ,
reconheceu, reconhecer
que, que
o, o
atraso, atraso
não, não
pode, poder
se, se
repetir, repetir
nas, em o
próximas, próximo
fases, fase
da, de o
Libertadores, Libertadores
,, ,
sob, sob
o, o
risco, risco
de, de
prejudicar, prejudicar
a, o
atuação, atuação
do, de o
time, time
., .

, 

`, `
`, `
Todos, todo
os, o
mínimos, mínimo
detalhes, detalhe
têm, ter
que, que
ser, ser
resolvidos, resolver
pela, por o
diretoria, diretoria
., .
O, o
jogador, jogador
só, só
deve, dever
se, se
preocupar, preocupar
com, com
o, o
gramado, gramado
e, e
com, com
o, o
adversário, adversário
quando, quando
entrar, entrar
em, em
campo, campo
., .
'', ''

, 

Sobre, sobre
a, o
partida, partida
,, ,
Espinosa, Espinosa
disse, dizer
que, que
só, só
gostou, gostar
do, de o
desempenho, desempenho
do, de o
Palmeiras, Palmeiras
no, em o
segundo, segundo
tempo, tempo
., .

, 

`, `
`, `
Nessa, em esse
etapa, etapa
,, ,
corrigimos, corrigir
nosso, nosso
posicionamento, posicionamento
e, e
fizemos, fizemos
por, por
merecer, merecer
a, o
vitória, vitória
'', ''
,, ,
disse, dizer
o, o
técnico, técnico
., .

, 

Espinosa, Espinosa
voltou, voltar
a, a
afirmar, afirmar
que, que
vai, ir
pedir, pedir
para, para
os, o
jogadores, jogador
`, `
`, `
esquecerem, esquecer
a, a
Libertadores, Libertadores
até, até
26, 26
de, de
julho, julho
'', ''
,, ,
data, data
da, de o
primeira, primeiro
partida, partida
pelas, por o
quartas-de-final, quarta-de-final
do, de o
torneio, torneio
., .

, 

`, `
`, `
Até, até
lá, lá
,, ,
vamos, ir
respirar, respirar
apenas, apenas
Campeonato, Campeonato
Paulista, Paulista
., .
'', ''
O, o
time, time
joga, jogar
sábado, sábado
,, ,
contra, contra
o, o
Novorizontino, Novorizontino
,, ,
em, em
Novo, Novo
Horizonte, Horizonte
., .

, 

(, (
AR, AR
), )

, 

