A, ﻿A
Liga, Liga
Carioca, Carioca
–, –
entidade, entidade
formada, formar
por, por
Flamengo, Flamengo
,, ,
Fluminense, Fluminense
e, e
Botafogo, Botafogo
–, –
vai, ir
entrar, entrar
na, em o
Justiça, justiça
comum, comum
contra, contra
a, o
CBF, CBF
se, se
for, ser
recusado, recusar
o, o
pedido, pedido
de, de
filiação, filiação
dos, de o
clubes, clube
à, a o
entidade, entidade
., .
Isso, isso
pode, poder
prejudicar, prejudicar
o, o
futebol, futebol
brasileiro, brasileiro
,, ,
já, já
que, que
a, o
Fifa, Fifa
proíbe, proibir
que, que
clubes, clube
filiados, filiado
entrem, entr
com, com
ações, ação
na, em o
Justiça, justiça
comum, comum
., .

, 

Os, o
clubes, clube
recorreram, recorrer
o, o
Supremo, Supremo
Tribunal, Tribunal
de, de
Justiça, Justiça
Desportiva, Desportiva
., .
Se, se
perderem, perder
,, ,
vão, ir
à, a o
Justiça, justiça
comum, comum
., .
O, o
presidente, presidente
da, de o
CBF, CBF
,, ,
Ricardo, Ricardo
Teixeira, Teixeira
,, ,
em, em
férias, férias
,, ,
não, não
foi, ser
encontrado, encontrar
ontem, ontem
,, ,
quando, quando
terminou, terminar
o, o
prazo, prazo
para, para
a, o
CBF, CBF
adaptar, adaptar
seu, seu
estatuto, estatuto
à, a o
Lei, Lei
Zico, Zico
–, –
o, o
que, que
implicaria, implicar
aceitar, aceitar
formação, formação
de, de
ligas, liga
., .

, 

