A, ﻿A
velocidade, velocidade
é, ser
a, o
arma, arma
do, de o
Corinthians, Corinthians
contra, contra
o, o
franco-atirador, franco-atirador
Internacional, Internacional
,, ,
esta, este
tarde, tarde
no, em o
Canindé, Canindé
,, ,
pela, por o
quartas-de-final, quartas-de-final
da, de o
Copa, Copa
São, São
Paulo, Paulo
., .
Contra, contra
um, um
adversário, adversário
que, que
se, se
caracteriza, caracterizar
pela, por o
marcação, marcação
,, ,
o, o
atacante, atacante
Marques, Marques
diz, dizer
que, que
a, o
solução, solução
é, ser
manter, manter
a, o
bola, bola
em, em
movimento, movimento
., .

, 

O, o
Corinthians, Corinthians
é, ser
o, o
time, time
mais, mais
baixo, baixo
dos, de o
que, que
estão, estar
nas, em o
quarta-de-final, quarta-de-final
., .
No, em o
Internacional, Internacional
,, ,
os, o
únicos, único
baixinhos, baixinho
são, ser
o, o
lateral, lateral
Armindo, Armindo
e, e
o, o
meia-atacante, meia-atacante
Dirceu, Dirceu
., .
O, o
volante, volante
corintiano, corintiano
Hermes, Hermes
,, ,
1,68, 1,68
m, m
,, ,
o, o
menor, pequeno
em, em
campo, campo
nesta, em este
tarde, tarde
,, ,
afirma, afirmar
que, que
a, o
tradição, tradição
dos, de o
juniores, juniores
do, de o
Corinthians, Corinthians
é, ser
sempre, sempre
formar, formar
equipes, equipe
baixas, baixo
e, e
velozes, veloz
., .

, 

Hermes, Hermes
se, se
destacou, destacar
nos, em o
últimos, último
jogos, jogo
,, ,
com, com
a, o
entrada, entrada
de, de
Gino, Gino
no, em o
meio-campo, meio-campo
., .
Com, com
a, o
mudança, mudança
,, ,
Hermes, Hermes
passou, passar
a, a
jogar, jogar
mais, mais
à, a o
frente, frente
e, e
o, o
Corinthians, Corinthians
evoluiu, evoluir
., .
De, de
vulnerável, vulnerável
na, em o
defesa, defesa
e, e
precipitada, precipitar
no, em o
ataque, ataque
,, ,
o, o
Corinthians, Corinthians
tornou-se, tornar se
uma, um
equipe, equipe
compacto, compacto
., .
Em, em
três, três
jogos, jogo
,, ,
venceu, vencer
dois, dois
e, e
empatou, empatar
um, um
., .

, 

O, o
técnico, técnico
do, de o
Internacional, Internacional
,, ,
Celso, Celso
Roth, Roth
,, ,
diz, dizer
que, que
não, não
conhece, conhecer
a, o
equipe, equipe
do, de o
Corinthians, Corinthians
., .
Ele, ele
não, não
vai, ir
determinar, determinar
marcação, marcação
individual, individual
em, em
Marques, Marques
e, e
Fabinho, Fabinho
., .

, 

O, o
preparador-físico, preparador-físico
do, de o
time, time
,, ,
André, André
Baratz, Baratz
,, ,
diz, dizer
que, que
a, o
equipe, equipe
não, não
esperava, esperar
sequer, sequer
chegar, chegar
às, a o
quartas-de-final, quarta-de-final
., .
Roth, Roth
dirige, dirigir
a, o
equipe, equipe
há, haver
cerca, cerca
de, de
um, um
mês, mês
e, e
na, em o
última, último
competição, competição
que, que
o, o
Inter, Inter
participou, participar
,, ,
a, o
Taça, Taça
Cidade, Cidade
de, de
Londrina, Londrina
,, ,
foi, ser
eliminado, eliminar
na, em o
primeira, primeiro
fase, fase
., .

, 

CORINTHIANS, CORINTHIANS

, 

Edílson, Edílson
;, ;
Marcos, Marcos
Paulo, Paulo
(, (
Tupã, Tupã
), )
,, ,
Hélio, Hélio
,, ,
Otacílio, Otacílio
e, e
Aguinaldo, Aguinaldo
;, ;
Gino, Gino
,, ,
Hermes, Hermes
,, ,
Pedro, Pedro
e, e
Nenê, Nenê
;, ;
Fabinho, Fabinho
e, e
Marques, Marques
., .
Técnico, Técnico
-, -
Márcio, Márcio
Araújo, Araújo

, 

INTERNACIONAL, INTERNACIONAL

, 

Luciano, Luciano
,, ,
Armindo, Armindo
,, ,
Jairo, Jairo
(, (
João, João
Miguel, Miguel
), )
,, ,
Alex, Alex
e, e
Celso, Celso
(, (
Rogério, Rogério
), )
;, ;
Luís, Luís
Fernando, Fernando
,, ,
Anderson, Anderson
e, e
Lico, Lico
;, ;
Dirceu, Dirceu
,, ,
Itamar, Itamar
(, (
Leandro, Leandro
), )
e, e
Jorge, Jorge
., .
Técnico, Técnico
-, -
Celso, Celso
Roth, Roth

, 

Local, Local
:, :
Estádio, Estádio
do, de o
Canindé, Canindé

, 

Horário:14h, Horário:14h

, 

Juiz, Juiz
:, :
João, João
Paulo, Paulo
Araújo, Araújo

, 

NA, NA
TV, tv
:, :
TV, TV
Gazeta, Gazeta
,, ,
ao, a o
vivo, vivo

, 

