O, ﻿O
mineiro, mineiro
Ronaldo, Ronaldo
da, de o
Costa, Costa
,, ,
23, 23
,, ,
brasileiro, brasileiro
que, que
obteve, obter
o, o
melhor, bom
resultado, resultado
na, em o
São, São
Silvestre, Silvestre
(, (
7.º, 7.º
lugar, lugar
), )
,, ,
disse, dizer
que, que
sua, seu
atuação, atuação
na, em o
corrida, corrida
não, não
o, ele
satisfez, satisfezr
., .
", "
Treinei, Treinei
para, para
chegar, chegar
pelo, por o
menos, menos
entre, entre
os, o
cinco, cinco
primeiros, primeiro
., .
Minha, minha
colocação, colocação
não, não
foi, ser
tão, tão
boa, bom
", "
,, ,
afirmou, afirmar
., .

, 

Ele, ele
disse, dizer
que, que
o, o
que, que
o, ele
deixou, deixar
feliz, feliz
foi, ser
ter, ter
sido, ser
o, o
brasileiro, brasileiro
mais, mais
rápido, rápido
., .
", "
Pude, pude
ganhar, ganhar
um, um
carro, carro
", "
,, ,
disse, dizer
,, ,
referindo-se, referir se
ao, a o
Fiat, Fiat
Uno, Uno
Mille, Mille
Eletronic, Eletronic
que, que
a, o
Fiat, Fiat
,, ,
uma, um
das, de o
patrocinadoras, patrocinadora
da, de o
São, São
Silvestre, Silvestre
,, ,
ofereceu, oferecer
para, para
ele, ele
e, e
Carmem, Carmem
de, de
Oliveira, Oliveira
,, ,
28, 28
,, ,
os, o
primeiros, primeiro
brasileiros, brasileiro
que, que
chegarem, chegar
nas, em o
provas, prova
., .

, 

Costa, Costa
não, não
pretende, pretender
ficar, ficar
com, com
o, o
carro, carro
., .
", "
Vou, vou
vender, vender
e, e
aplicar, aplicar
o, o
dinheiro, dinheiro
., .
Não, não
sei, saber
ainda, ainda
o, o
que, que
farei, far
., .
", "
Nos, em o
planos, plano
de, de
Costa, Costa
está, estar
uma, um
viagem, viagem
de, de
descanso, descanso
no, em o
final, final
deste, de este
mês, mês
para, para
Manaus, Manaus
ou, ou
Salvador, Salvador
., .
Depois, depois
,, ,
o, o
corredor, corredor
irá, ir
treinar, treinar
em, em
Tampa, Tampa
,, ,
EUA, EUA
., .

, 

Carmem, Carmem
de, de
Oliveira, Oliveira
,, ,
2.º, 2.º
lugar, lugar
na, em o
prova, prova
feminina, feminino
,, ,
estava, estar
bem, bem
mais, mais
feliz, feliz
com, com
sua, seu
classificação, classificação
., .
", "
Consegui, consegui
diminuir, diminuir
meu, meu
tempo, tempo
em, em
mais, mais
de, de
três, três
minutos, minuto
em, em
relação, relação
ao, a o
ano, ano
passado, passado
., .
", "
Carmem, Carmem
disse, dizer
que, que
ficará, ficar
com, com
o, o
automóvel, automóvel
,, ,
apesar, apesar
de, de
morar, morar
nos, em o
EUA, EUA
., .
", "
Não, não
tenho, ter
carro, carro
aqui, aqui
no, em o
Brasil, Brasil
., .
Vou, Vou
deixá-lo, deixar ele
em, em
Brasília, Brasília
,, ,
com, com
a, o
minha, meu
família, família
., .
", "
(, (
DA, de o
), )

, 

