Mesmo, ﻿Mesmo
jogando, jogar
mal, mal
,, ,
o, o
São, São
Paulo, Paulo
venceu, vencer
o, o
Juventus, Juventus
por, por
2, 2
a, a
1, 1
,, ,
ontem, ontem
,, ,
no, em o
Morumbi, Morumbi
,, ,
e, e
se, se
manteve, manter
na, em o
liderança, liderança
isolada, isolar
do, de o
Campeonato, Campeonato
Paulista, Paulista
,, ,
com, com
52, 52
pontos, ponto
., .

, 

O, o
time, time
tem, ter
mais, mais
quatro, quatro
jogos, jogo
para, para
fazer, fazer
na, em o
primeira, primeiro
fase, fase
da, de o
competição, competição
_, _
Novorizontino, Novorizontino
,, ,
Santos, Santos
,, ,
Ferroviária, Ferroviária
e, e
Portuguesa, Portuguesa
_, _
e, e
luta, luta
para, para
manter, manter
o, o
primeiro, primeiro
lugar, lugar
,, ,
que, que
lhe, ele
daria, dar
um, um
ponto, ponto
extra, extra
no, em o
octogonal, octogonal
final, final
., .

, 

O, o
Juventus, Juventus
,, ,
com, com
26, 26
pontos, ponto
,, ,
está, estar
ameaçado, ameaçado
pelo, por o
rebaixamento, rebaixamento
., .

, 

O, o
São, São
Paulo, Paulo
iniciou, iniciar
o, o
jogo, jogo
de, de
maneira, maneira
fulminante, fulminante
., .

, 

Logo, logo
aos, a o
13s, 13s
,, ,
Juninho, Juninho
fez, fazer
o, o
passe, passe
,, ,
o, o
zagueiro, zagueiro
Nildo, Nildo
furou, furar
e, e
a, o
bola, bola
sobrou, sobrar
para, para
Bentinho, Bentinho
tocar, tocar
na, em o
saída, saída
de, de
Gilmar, Gilmar
e, e
marcar, marcar
o, o
seu, seu
18º, 18º
gol, gol
no, em o
Paulista, Paulista
., .
Ele, ele
é, ser
o, o
artilheiro, artilheiro
isolado, isolar
do, de o
torneio, torneio
., .

, 

Na, em o
súmula, súmula
da, de o
partida, partida
,, ,
o, o
juiz, juiz
Roberto, Roberto
Perassi, Perassi
registrou, registrar
o, o
gol, gol
como, como
sendo, ser
aos, a o
18s, 18s
., .

, 

O, o
gol, gol
logo, logo
no, em o
começo, começo
não, não
contribuiu, contribuir
para, para
o, o
São, São
Paulo, Paulo
desenvolver, desenvolver
um, um
bom, bom
futebol, futebol
no, em o
primeiro, primeiro
tempo, tempo
., .
Aos, a o
berros, berro
,, ,
Telê, Telê
Santana, Santana
exigia, exiger
uma, um
melhor, bom
produção, produção
da, de o
equipe, equipe
., .

, 

O, o
time, time
só, só
teve, ter
três, três
minutos, minuto
de, de
inspiração, inspiração
,, ,
quando, quando
perdeu, perder
três, três
chances, chance
para, para
ampliar, ampliar
o, o
marcador, marcador
., .

, 

Aos, a o
17min, 17min
,, ,
em, em
cobrança, cobrança
ensaiada, ensaiar
de, de
falta, falta
,, ,
Bordon, Bordon
chutou, chutar
forte, forte
,, ,
a, o
bola, bola
desviou, desviar
na, em o
barreira, barreira
e, e
o, o
goleiro, goleiro
Gilmar, Gilmar
fez, fazer
grande, grande
defesa, defesa
., .

, 

Em, em
seguida, seguida
,, ,
Sierra, Sierra
fez, fazer
grande, grande
passe, passe
para, para
Júnior, Júnior
Baiano, Baiano
,, ,
que, que
chutou, chutar
em, em
cima, cima
de, de
Gilmar, Gilmar
., .

, 

Aos, a o
19min, 19min
,, ,
Juninho, Juninho
chutou, chutar
à, a o
esquerda, esquerda
do, de o
goleiro, goleiro
do, de o
Juventus, Juventus
,, ,
após, após
jogada, jogada
individual, individual
., .

, 

A, o
melhor, bom
chance, chance
de, de
gol, gol
do, de o
primeiro, primeiro
tempo, tempo
acabou, acabar
sendo, ser
do, de o
Juventus, Juventus
., .
Aos, a o
26min, 26min
,, ,
após, após
cobrança, cobrança
de, de
escanteio, escanteio
,, ,
Zetti, Zetti
saiu, sair
mal, mal
e, e
Nildo, Nildo
cabeceou, cabecear
para, para
o, o
gol, gol
., .
Mona, Mona
salvou, salvar
o, o
São, São
Paulo, Paulo
,, ,
em, em
cima, cima
da, de o
linha, linha
., .

, 

O, o
São, São
Paulo, Paulo
voltou, voltar
da, de o
mesma, mesmo
forma, forma
para, para
o, o
segundo, segundo
tempo, tempo
,, ,
mas, mas
chegou, chegar
ao, a o
segundo, segundo
gol, gol
após, após
nova, novo
falha, falha
do, de o
zagueiro, zagueiro
juventino, juventino
Nildo, Nildo
., .

, 

Aos, a o
10min, 10min
,, ,
Bentinho, Bentinho
entrou, entrar
livre, livre
na, em o
área, área
e, e
chutou, chutar
em, em
cima, cima
do, de o
goleiro, goleiro
Gilmar, Gilmar
., .
No, em o
rebote, rebote
,, ,
Nildo, Nildo
tentou, tentar
afastar, afastar
e, e
fez, fazer
contra, contra
., .

, 

Bentinho, Bentinho
perdeu, perder
uma, um
grande, grande
chance, chance
de, de
fazer, fazer
o, o
terceiro, terceiro
gol, gol
,, ,
aos, a o
20min, 20min
., .
Após, após
cruzamento, cruzamento
de, de
Cláudio, Cláudio
,, ,
ele, ele
chutou, chutar
fraco, fraco
e, e
facilitou, facilitar
a, o
defesa, defesa
de, de
Gilmar, Gilmar
., .

, 

Telê, Telê
Santana, Santana
requisitou, requisitar
o, o
tempo, tempo
técnico, técnico
,, ,
mas, mas
o, o
São, São
Paulo, Paulo
não, não
melhorou, melhorar
., .

, 

Aos, a o
29min, 29min
,, ,
o, o
Juventus, Juventus
diminuiu, diminuir
com, com
Anderson, Anderson
., .
Ele, ele
cobrou, cobrar
uma, um
falta, falta
,, ,
com, com
violência, violência
,, ,
no, em o
canto, canto
direito, direito
de, de
Zetti, Zetti
., .

, 

Após, após
o, o
gol, gol
,, ,
o, o
São, São
Paulo, Paulo
tratou, tratar
de, de
segurar, segurar
o, o
resultado, resultado
até, até
o, o
final, final
., .

, 

Terminado, Terminado
o, o
jogo, jogo
,, ,
o, o
zagueiro, zagueiro
Nildo, Nildo
,, ,
que, que
falhou, falhar
nos, em o
dois, dois
gols, gol
do, de o
São, São
Paulo, Paulo
,, ,
estava, estar
desconsolado, desconsolado
., .

, 

`, `
`, `
É, ser
uma, um
situação, situação
muito, muito
chata, chato
., .
Tenho, ter
autocrítica, autocrítico
e, e
sei, saber
que, que
errei, errei
., .
Fiz, fizr
o, o
segundo, segundo
gol, gol
contra, contra
da, de o
minha, meu
carreira, carreira
., .
Pior, pior
é, ser
que, que
o, o
São, São
Paulo, Paulo
não, não
jogou, jogar
nada, nada
e, e
só, só
ganhou, ganhar
pelas, por o
nossas, nosso
falhas, falha
'', ''
,, ,
disse, dizer
., .

, 

