O, ﻿O
russo, russo
Alexander, Alexander
Popov, Popov
diminuiu, diminuir
ontem, ontem
,, ,
na, em o
segunda, segundo
etapa, etapa
da, de o
Copa, Copa
do, de o
Mundo, Mundo
de, de
natação, natação
,, ,
em, em
Pequim, Pequim
(, (
CHI, CHI
), )
,, ,
pela, por o
segunda, segundo
vez, vez
em, em
quatro, quatro
dias, dia
,, ,
o, o
recorde, recorde
mundial, mundial
dos, de o
100, 100
m, m
livre, livre
em, em
piscina, piscina
de, de
25, 25
m, m
–, –
prova, prova
em, em
que, que
o, o
brasileiro, brasileiro
Gustavo, Gustavo
Borges, Borges
marcou, marcar
47s94, 47s94
no, em o
ano, ano
passado, passado
–, –
marcando, marcar
47s82, 47s82
–, –
0s01, 0s01
menos, menos
que, que
o, o
anterior, anterior
., .

, 

Na, em o
mesma, mesmo
competição, competição
,, ,
a, o
chinesa, chinesa
Zhong, Zhong
Weiyue, Weiyue
marcou, marcar
58s71, 58s71
na, em o
prova, prova
de, de
100, 100
m, m
borboleta, borboleta
e, e
baixou, baixar
0s20, 0s20
o, o
recorde, recorde
anterior, anterior
., .
Esses, esse
recordes, recorde
selaram, selar
a, o
superioridade, superioridade
desses, de esse
países, país
,, ,
já, já
que, que
na, em o
primeira, primeiro
etapa, etapa
,, ,
realizada, realizar
no, em o
fim-de-semana, fim-de-semana
passado, passado
em, em
Hong, Hong
Kong, Kong
,, ,
as, o
chinesas, chinesa
ganharam, ganhar
oito, oito
das, de o
17, 17
medalhas, medalha
de, de
ouro, ouro
disputadas, disputar
,, ,
enquanto, enquanto
os, o
russos, russo
levaram, levar
sete, sete
em, em
17, 17
provas, prova
., .

, 

Essa, esse
superioridade, superioridade
também, também
se, se
reflete, refleter
nessa, em esse
segunda, segundo
etapa, etapa
., .
Das, Das
oito, oito
provas, prova
do, de o
feminino, feminino
,, ,
as, o
orientais, oriental
venceram, vencer
sete, sete
., .
Das, Das
nove, nove
do, de o
masculino, masculino
,, ,
três, três
foram, ser
vencidas, vencir
por, por
russos, russo
., .

, 

A, o
classificação, classificação
geral, geral
tem, ter
a, o
China, China
como, como
líder, líder
absoluta, absoluto
com, com
56, 56
medalhas, medalha
,, ,
sendo, ser
17, 17
de, de
ouro, ouro
,, ,
17, 17
de, de
prata, prata
e, e
21, 21
de, de
bronze, bronze
,, ,
a, o
Rússia, Rússia
é, ser
a, o
segunda, segunda
com, com
28, 28
(, (
11, 11
,, ,
10, 10
e, e
7, 7
), )
e, e
a, o
Austrália, Austrália
em, em
terceiro, terceiro
com, com
18, 18
(, (
7, 7
,, ,
6, 6
e, e
5, 5
), )
., .

, 

A, o
equipe, equipe
brasileira, brasileiro
não, não
está, estar
participando, participar
dessa, de esse
competição, competição
organizada, organizar
pela, por o
Fina, Fina
(, (
Federação, Federação
Internacional, Internacional
de, de
Natação, Natação
), )
por, por
não, não
ter, ter
recebido, receber
um, um
convite, convite
da, de o
federação, federação
local, local
do, de o
evento, evento
(, (
que, que
financia, financer
a, o
estadia, estadia
dos, de o
atletas, atleta
), )
e, e
também, também
por, por
estar, estar
treinando, treinar
para, para
100, 100
m., m.

, 

Segundo, segundo
o, o
diretor-geral, diretor-geral
de, de
eportes, eporte
da, de o
Confederação, Confederação
Brasileira, Brasileira
de, de
Desportos, Desportos
Aquáticos, Aquáticos
(, (
CBDA, CBDA
), )
e, e
presidente, presidente
em, em
exercício, exercício
da, de o
entidade, entidade
,, ,
Rodinei, Rodinei
Finizola, Finizola
,, ,
53, 53
,, ,
o, o
calendário, calendário
nacional, nacional
é, ser
incompatível, incompatível
com, com
algumas, algum
provas, prova
no, em o
exterior, exterior
., .

, 

", "
Devemos, dever
mudar, mudar
nosso, nosso
calendário, calendário
para, para
podermos, poder
participar, participar
dessa, de esse
copa, copa
que, que
começará, começar
sempre, sempre
nessa, em esse
época, época
., .
Nossos, Nossos
nadadores, nadador
estão, estar
treinando, treinar
para, para
nossa, nosso
principal, principal
prova, prova
que, que
é, ser
o, o
Troféu, Troféu
Brasil, Brasil
de, de
Natação, Natação
,, ,
que, que
se, se
realizará, realizar
entre, entre
20, 20
e, e
23, 23
deste, de este
mês, mês
e, e
que, que
é, ser
disputado, disputar
em, em
piscina, piscina
de, de
100, 100
m., m.
", "

, 

A, o
CBDA, CBDA
recebeu, receber
um, um
convite, convite
para, para
participar, participar
nos, em o
dias, dia
19, 19
e, e
20, 20
de, de
março, março
da, de o
etapa, etapa
alemã, alemã
da, de o
Copa, Copa
do, de o
Mundo, Mundo
., .

, 

