Uma, ﻿Uma
derrota, derrota
para, para
o, o
Santos, Santos
,, ,
domingo, domingo
,, ,
na, em o
Vila, Vila
Belmiro, Belmiro
,, ,
pode, poder
fazer, fazer
jogar, jogar
a, o
equipe, equipe
numa, em um
crise, crise
de, de
consequências, consequência
imprevisíveis, imprevisível
., .

, 

Por, por
enquanto, enquanto
,, ,
ninguém, ninguém
no, em o
clube, clube
admite, admitir
a, o
possibilidade, possibilidade
da, de o
saída, saída
do, de o
técnico, técnico
Valdir, Valdir
Espinosa, Espinosa
,, ,
mas, mas
o, o
Palmeiras, Palmeiras
está, estar
há, haver
sete, sete
jogos, jogo
sem, sem
vencer, vencer
no, em o
Campeonato, Campeonato
Paulista, Paulista
., .

, 

O, o
empate, empate
contra, contra
a, o
Ponte, Ponte
Preta, Preta
,, ,
quinta-feira, quinta-feira
no, em o
Parque, Parque
Antarctica, Antarctica
,, ,
deixou, deixar
o, o
ambiente, ambiente
tenso, tenso
., .
Depois, depois
do, de o
jogo, jogo
,, ,
Espinosa, Espinosa
e, e
a, o
diretoria, diretoria
de, de
futebol, futebol
reuniram-se, reunir se
a, a
portas, porta
fechadas, fechar
no, em o
vestiário, vestiário
,, ,
por, por
20, 20
minutos, minuto
,, ,
fato, fato
incomum, incomum
em, em
qualquer, qualquer
time, time
., .

, 

Espinosa, Espinosa
voltou, voltar
a, a
pedir, pedir
a, o
contratação, contratação
de, de
vários, vários
jogadores, jogador
para, para
a, o
disputa, disputa
da, de o
segunda, segundo
fase, fase
do, de o
Paulista, Paulista
e, e
das, de o
três, três
últimas, último
fases, fase
da, de o
Taça, Taça
Libertadores, Libertadores
da, de o
América, América
(, (
principal, principal
competição, competição
sul-americana, sul-americana
interclubes, interclubes
), )
., .

, 

`, `
`, `
É, ser
evidente, evidente
que, que
precisamos, precisamo
de, de
reforços, reforço
., .
Eu, eu
não, não
estou, estar
falando, falar
isso, isso
para, para
me, eu
eximir, eximir
de, de
maus, mau
resultados, resultado
(, (
a, o
Ponte, Ponte
é, ser
o, o
pior, mau
time, time
do, de o
Campeonato, Campeonato
Paulista, Paulista
), )
'', ''
,, ,
afirmou, afirmar
ele, ele
., .
`, `
À, a o
diretoria, diretoria
concorda, concordar
comigo, comigo
e, e
está, estar
trabalhando, trabalhar
para, para
contratar, contratar
reforços, reforço
., .
'', ''

, 

Espinosa, Espinosa
acrescentou, acrescentar
que, que
a, o
carência, carência
principal, principal
do, de o
time, time
é, ser
no, em o
ataque, ataque
., .
`, `
`, `
Se, se
o, o
Edmundo, Edmundo
for, ser
embora, embora
,, ,
vamos, ir
precisar, precisar
de, de
ainda, ainda
mais, mais
um, um
atacante, atacante
., .
'', ''

, 

A, o
saída, saída
do, de o
jogador, jogador
é, ser
quase, quase
certa, certo
., .
A, o
sua, seu
atitude, atitude
,, ,
de, de
beijar, beijar
a, o
camisa, camisa
do, de o
Flamengo, Flamengo
no, em o
Maracanã, maracanã
,, ,
domingo, domingo
passado, passado
,, ,
conseguiu, conseguir
unir, unir
jogadores, jogador
,, ,
dirigentes, dirigente
e, e
torcedores, torcedor
contra, contra
ele, ele
., .

, 

A, o
Folha, folha
apurou, apurar
que, que
dessa, de esse
vez, vez
a, o
diretoria, diretoria
não, não
pretende, pretender
perdoar, perdoar
Edmundo, Edmundo
., .
A, o
posição, posição
oficial, oficial
é, ser
de, de
que, que
o, o
jogador, jogador
deve, dever
se, se
reapresentar, reapresentar
no, em o
final, final
da, de o
suspensão, suspensão
de, de
15, 15
dias, dia
,, ,
mas, mas
ninguém, ninguém
parece, parecer
disposto, disposto
a, a
relevar, relevar
mais, mais
esse, esse
ato, ato
de, de
indisciplina, indisciplina
., .

, 

A, o
torcida, torcida
organizada, organizar
Mancha, Mancha
Verde, Verde
já, já
o, ele
trata, tratar
como, como
`, `
`, `
o, o
maior, grande
traidor, traidor
do, de o
mundo, mundo
'', ''
., .

, 

(, (
MD, MD
), )

, 

