A, ﻿A
pesquisa, pesquisa
Datafolha, Datafolha
mostra, mostrar
que, que
a, o
imagem, imagem
que, que
os, o
turistas, turista
fazem, fazer
do, de o
Brasil, Brasil
é, ser
multifacetada, multifacetar
., .

, 

Segundo, segundo
os, o
dados, dado
,, ,
o, o
país, país
abriga, abrigar
gente, gente
cordial, cordial
e, e
é, ser
dono, dono
de, de
uma, um
miséria, miséria
que, que
incomoda, incomodar
tanto, tanto
os, o
olhos, olho
locais, local
quanto, quanto
os, o
vindos, vindo
de, de
fora, fora
., .

, 

Para, para
os, o
estrangeiros, estrangeiro
,, ,
a, o
beleza, beleza
natural, natural
e, e
a, o
imagem, imagem
de, de
um, um
país, país
exuberante, exuberante
e, e
exótico, exótico
continuam, continuar
sendo, ser
o, o
principal, principal
chamariz, chamariz
., .

, 

As, o
respostas, resposta
à, a o
pergunta, pergunta
sobre, sobre
a, o
primeira, primeiro
imagem, imagem
que, que
vinha, vir
à, a o
cabeça, cabeça
desses, de esse
turistas, turista
quando, quando
pensavam, pensar
no, em o
Brasil, Brasil
antes, antes
de, de
viajar, viajar
são, ser
prova, prova
disso, de isso
(, (
veja, ver
quadro, quadro
ao, a o
lado, lado
), )
., .

, 

Terminada, Terminada
a, o
viagem, viagem
,, ,
28, 28
%, %
dos, de o
estrangeiros, estrangeiro
saem, sair
daqui, de aqui
tendo, ter
como, como
primeira, primeiro
idéia, idéia
os, o
aspectos, aspecto
sociais, social
negativos, negativo
., .

, 

E, e
esse, esse
tipo, tipo
de, de
impressão, impressão
se, se
impregna, impregna
de, de
maneira, maneira
tão, tão
forte, forte
nos, em o
estrangeiros, estrangeiro
que, que
32, 32
%, %
deles, de eles
apontaram, apontar
a, o
miséria, miséria
e, e
pobreza, pobreza
brasileiros, brasileiro
como, como
aquilo, aquilo
que, que
mais, mais
detestaram, detestar
em, em
suas, seu
visitas, visita
ao, a o
país, país
., .

, 

Brasileiros, brasileiro
e, e
estrangeiros, estrangeiro
concordam, concordar
quanto, quanto
ao, a o
melhor, bom
do, de o
país, país
:, :
as, o
praias, praia
e, e
a, o
hospitalidade, hospitalidade
., .
O, o
próprio, próprio
brasileiro, brasileiro
se, se
espantou, espantar
com, com
a, o
recepção, recepção
encontrada, encontrar
., .
Em, em
pergunta, pergunta
sobre, sobre
o, o
que, que
mais, mais
surpreendeu, surpreender
na, em o
viagem, viagem
,, ,
13, 13
%, %
de, de
estrangeiros, estrangeiro
e, e
brasileiros, brasileiro
escolheram-na, escolheram-na
., .

, 

As, o
respostas, resposta
dos, de o
turistas, turista
estrangeiros, estrangeiro
mostram, mostrar
que, que
não, não
é, ser
mero, mero
folclore, folclore
a, o
idéia, idéia
de, de
que, que
o, o
Rio, Rio
de, de
Janeiro, Janeiro
e, e
a, o
beleza, beleza
das, de o
mulheres, mulher
são, ser
símbolos, símbolo
nacionais, nacional
reconhecidos, reconhecer
no, em o
mundo, mundo
todo, todo
., .

, 

Também, também
são, ser
os, o
estrangeiros, estrangeiro
os, o
mais, mais
otimistas, otimista
quanto, quanto
ao, a o
futuro, futuro
do, de o
Brasil, Brasil
., .
Entre, entre
os, o
brasileiros, brasileiro
,, ,
31, 31
%, %
não, não
acreditam, acreditar
que, que
o, o
país, país
passe, passar
para, para
o, o
Primeiro, Primeiro
Mundo, Mundo
contra, contra
24, 24
%, %
dos, de o
estrangeiros, estrangeiro
., .

, 

Para, para
melhorar, melhorar
o, o
país, país
,, ,
32, 32
%, %
dos, de o
estrangeiros, estrangeiro
e, e
48, 48
%, %
dos, de o
brasileiros, brasileiro
acreditam, acreditar
que, que
é, ser
preciso, preciso
investir, investir
na, em o
educação, educação
., .

, 

