Os, ﻿Os
torcedores, torcedor
do, de o
Vasco, Vasco
costumam, costumar
chamar, chamar
o, o
Flamengo, Flamengo
de, de
", "
o, o
clube, clube
de, de
seis, seis
milhões, milhão
de, de
dólares, dólar
", "
., .
É, ser
uma, um
provocação, provocação
por, por
causa, causa
da, de o
dívida, dívida
do, de o
arquiinimigo, arquiinimigo
,, ,
cujos, cujo
salários, salário
de, de
jogadores, jogador
e, e
funcionários, funcionário
estão, estar
atrasados, atrasado
., .

, 

As, o
escolinhas, escolinha
de, de
futebol, futebol
estão, estar
paradas, parado
., .
Seus, seu
67, 67
professores, professor
,, ,
sem, sem
receber, receber
,, ,
entraram, entrar
em, em
greve, greve
., .

, 

O, o
Flamengo, Flamengo
foi, ser
o, o
clube, clube
carioca, carioca
que, que
mais, mais
investiu, investir
em, em
1993, 1993
., .
Hoje, hoje
,, ,
só, só
a, o
Júnior, Júnior
,, ,
deve, dever
US$, US$
245, 245
mil, mil
., .
A, o
Renato, Renato
Gaúcho, Gaúcho
,, ,
que, que
foi, ir
para, para
o, o
Atlético, Atlético
Mineiro, Mineiro
,, ,
quase, quase
o, o
dobro, dobro
., .
Para, para
fazer, fazer
frente, frente
as, o
despesas, despesa
,, ,
vende, vender
jogadores, jogador
., .
Marcelinho, marcelinho
,, ,
Júnior, Júnior
Baiano, Baiano
e, e
Djalminha, Djalminha
foram, ir
respectivamente, respectivamente
para, para
Corinthians, Corinthians
,, ,
São, São
Paulo, Paulo
e, e
Guarani, Guarani
., .

, 

Dono, dono
de, de
um, um
dos, de o
maiores, grande
patrimônios, patrimônio
do, de o
futebol, futebol
carioca, carioca
,, ,
o, o
Flamengo, Flamengo
já, já
pensa, pensar
em, em
se, se
desfazer, desfazer
de, de
parte, parte
dele, de ele
., .
A, o
sede, sede
do, de o
Morro, Morro
da, de o
Viúva, Viúva
pode, poder
ser, ser
vendida, vender
., .
O, o
clube, clube
espera, esperar
conseguir, conseguir
US$, US$
15, 15
milhões, milhão
para, para
sair, sair
da, de o
crise, crise
., .
(, (
JM, JM
), )

, 

