Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
a, o
notícia, notícia
de, de
ontem, ontem
mais, mais
importante, importante
para, para
o, o
futebol, futebol
brasileiro, brasileiro
veio, vir
através, através
do, de o
Mário, Mário
Magalhães, Magalhães
,, ,
da, de o
Sucursal, sucursal
do, de o
Rio, Rio
desta, de este
Folha, Folha
., .

, 

Sete, sete
em, em
cada, cada
dez, dez
jogadores, jogador
profissionais, profissional
de, de
futebol, futebol
no, em o
Brasil, Brasil
ganham, ganhar
entre, entre
um, um
e, e
dois, dois
salários, salário
mínimos, mínimo
mensais, mensal
., .

, 

Com, com
estes, este
salários, salário
,, ,
o, o
destino, destino
teria, ter
que, que
ser, ser
mesmo, mesmo
bastante, bastante
generoso, generoso
com, com
a, o
criatividade, criatividade
do, de o
jogador, jogador
brasileiro, brasileiro
., .
Lá, lá
vem, vir
o, o
Brasil, Brasil
descendo, descer
a, o
ladeira, ladeira
., .

, 

Quando, quando
se, se
leva, levar
em, em
consideração, consideração
esta, este
conjuntura, conjuntura
,, ,
descobrimos, descobrir
que, que
é, ser
espantoso, espantoso
o, o
potencial, potencial
de, de
renovação, renovação
de, de
jogadores, jogador
que, que
este, este
país, país
consegue, conseguir
–, –
e, e
está, estar
aí, aí
a, o
Copa, Copa
São, São
Paulo, Paulo
da, de o
teenbolada, teenbolada
para, para
confirmar, confirmar
., .

, 

O, o
moleque, moleque
que, que
teve, ter
sorte, sorte
de, de
ser, ser
escolhido, escolher
para, para
receber, receber
a, o
sua, seu
lapidação, lapidação
profissional, profissional
em, em
um, um
São, São
Paulo, Paulo
ou, ou
em, em
um, um
Corinthians, Corinthians
,, ,
por, por
exemplo, exemplo
,, ,
é, ser
um, um
diamante, diamante
raro, raro
e, e
privilegiado, privilegiar
,, ,
contra, contra
uma, um
base, base
de, de
descamisados, descamisar
do, de o
futebol, futebol
., .

, 

Enquanto, enquanto
isto, isto
,, ,
os, o
futuros, futuro
concorrentes, concorrente
na, em o
Europa, Europa
estão, estar
sendo, ser
bem, bem
nutridos, nutrido
e, e
bem, bem
preparados, preparar
física, físico
e, e
intelectualmente, intelectualmente
(, (
há, haver
um, um
consenso, consenso
cada, cada
vez, vez
maior, grande
entre, entre
os, o
técnicos, técnico
de, de
qualquer, qualquer
esporte, esporte
que, que
,, ,
hoje, hoje
em, em
dia, dia
,, ,
a, o
cabeça, cabeça
do, de o
atleta, atleta
é, ser
tão, tão
fundamental, fundamental
quanto, quanto
o, o
corpo, corpo
., .
Quem, quem
não, não
acreditar, acreditar
que, que
pergunte, pergunte
ao, a o
Nuno, Nuno
Cobra, Cobra
), )
., .

, 

Apesar, apesar
disso, disso
tudo, tudo
,, ,
praticamos, praticamos
hoje, hoje
um, um
futebol, futebol
superior, alto
ao, a o
da, de o
Itália, Itália
e, e
ao, a o
da, de o
Espanha, Espanha
,, ,
apenas, apenas
para, para
citar, citar
dois, dois
países, país
que, que
possuem, possuir
campeonatos, campeonato
milionários, milionário
., .

, 

É, ser
por, por
estas, este
e, e
outras, outro
que, que
o, o
Gabriel, Gabriel
,, ,
The, The
Thinker, Thinker
,, ,
tem, ter
toda, todo
razão, razão
quando, quando
afirma, afirmar
em, em
seu, seu
rap-rapadura, rap-rapadura
que, que
a, o
gente, gente
abala, abalar
quando, quando
quer, querer
,, ,
a, o
gente, gente
abala, abalar
se, se
quiser, querer
., .

, 

A, o
gente, gente
há-bola, há-bolar
quando, quando
quer, querer
., .

, 

A, o
segunda, segundo
melhor, bom
notícia, notícia
para, para
o, o
futebol, futebol
também, também
veio, vir
do, de o
mesmo, mesmo
repórter, repórter
e, e
da, de o
mesma, mesmo
Sucursal, sucursal
., .

, 

Os, o
principais, principal
times, time
do, de o
país, país
passarão, passar
a, a
votar, votar
nas, em o
eleições, eleição
para, para
a, o
presidência, presidência
da, de o
CBF, CBF
., .

, 

Não, não
significa, significar
–, –
pelo, por o
que, que
entendi, entendi
–, –
uma, um
grande, grande
virada, virada
de, de
mesa, mesa
., .
As, o
federações, federação
estaduais, estadual
,, ,
que, que
não, não
são, ser
nenhum, nenhum
modelo, modelo
de, de
eficiência, eficiência
administrativa, administrativo
,, ,
continuariam, continuar
a, a
ter, ter
um, um
peso, peso
maior, grande
na, em o
escolha, escolha
do, de o
presidente, presidente
., .

, 

Mas, mas
não, não
é, ser
nada, nada
,, ,
não, não
é, ser
nada, nada
,, ,
já, já
se, se
pode, poder
ir, ir
pensando, pensar
em, em
uma, um
mexidinha, mexidinha
., .
Até, até
porque, porque
São, São
Paulo, Paulo
,, ,
onde, onde
os, o
clubes, clube
passaram, passar
a, a
ter, ter
uma, um
gestão, gestão
administrativa, administrativo
mais, mais
moderna, moderno
,, ,
aumentou, aumentar
o, o
seu, seu
peso, peso
relativo, relativo
no, em o
colégio, colégio
eleitoral, eleitoral
., .

, 

Meu, meu
bem, bem
,, ,
meu, meu
mal, mal

, 

Bem, Bem
lembrado, lembrar
pelo, por o
Helena, Helena
(, (
da, de o
nossa, nosso
equipe, equipe
de, de
juniores, juniores
), )
,, ,
que, que
na, em o
Europa, Europa
,, ,
além, além
da, de o
venda, venda
dos, de o
ingressos, ingresso
antecipados, antecipar
,, ,
os, o
clubes, clube
concorrem, concorrer
a, a
pelo, por o
menos, menos
quatro, quatro
posições, posição
dentro, dentro
do, de o
chamado, chamado
sistema, sistema
de, de
pontos, ponto
corridos, corrir
–, –
que, que
será, ser
adotado, adotar
pelo, por o
Paulistão, Paulistão
que, que
começa, começar
neste, em este
sábado, sábado
., .

, 

A, o
Federação, Federação
Paulista, Paulista
de, de
Futebol, Futebol
tentou, tentar
montar, montar
um, um
esquema, esquema
parecido, parecer
., .
Criou, criar
a, o
chamada, chamado
Copa, Copa
Bandeirante, Bandeirante
,, ,
que, que
seria, ser
disputada, disputar
pelo, por o
campeão, campeão
paulista, paulista
mais, mais
os, o
cinco, cinco
times, time
de, de
melhor, bom
indíce, indíce
técnico, técnico
(, (
maior, grande
número, número
de, de
pontos, ponto
ganhos, ganho
), )
., .

, 

O, o
campeão, campeão
paulista, paulista
e, e
o, o
campeão, campeão
da, de o
Copa, copa
Bandeirante, Bandeirante
serão, ser
os, o
representantes, representante
de, de
São, São
Paulo, Paulo
na, em o
Copa, Copa
Brasil, Brasil
., .

, 

Desta, desta
maneira, maneira
,, ,
mesmo, mesmo
que, que
um, um
time, time
dispare, dispare
na, em o
primeira, primeiro
colocação, colocação
,, ,
o, o
campeonato, campeonato
não, não
perderia, perder
o, o
seu, seu
interesse, interesse
porque, porque
valeria, valer
ainda, ainda
a, o
disputa, disputa
pelo, por o
acesso, acesso
à, a o
Copa, Copa
Brasil, Brasil
., .

, 

Além, além
disso, de isso
,, ,
a, o
Federação, Federação
reservou-se, reservou-se
o, o
direito, direito
de, de
elaborar, elaborar
uma, um
tabela, tabela
dirigida, dirigir
do, de o
segundo, segundo
turno, turno
., .
Pode, poder
ser, ser
uma, um
decisão, decisão
sábia, sábio
,, ,
pois, pois
ela, ela
fica, ficar
com, com
o, o
poder, poder
de, de
dificultar, dificultar
o, o
caminho, caminho
do, de o
time, time
que, que
disparou, disparar
na, em o
frente, frente
., .

, 

Como, como
também, também
pode, poder
ser, ser
um, um
convite, convite
irrecusável, irrecusável
para, para
as, o
velhas, velha
e, e
conhecidas, conhecer
patifarias, patifario
., .

, 

Em, em
qual, qual
das, de o
duas, dois
alternativas, alternativa
você, você
joga, jogar
as, o
suas, seu
fichas, ficha
?, ?

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
escreve, escrever
nesta, em este
coluna, coluna
às, a o
terças, terça
,, ,
quintas, quintas
e, e
sábados, sábado
., .

, 

