O, ﻿O
diretor, diretor
de, de
esportes, esporte
da, de o
Parmalat, Parmalat
,, ,
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
disse, dizer
que, que
espera, esperar
definir, definir
até, até
amanhã, amanhã
a, o
situação, situação
do, de o
atacante, atacante
Edmundo, Edmundo
,, ,
suspenso, suspender
do, de o
clube, clube
por, por
indisciplina, indisciplina
até, até
este, este
fim-de-semana, fim-de-semana
., .

, 

", "
Vamos, ir
decidir, decidir
se, se
ele, ele
continua, continuar
até, até
o, o
final, final
de, de
seu, seu
contrato, contrato
,, ,
em, em
julho, julho
,, ,
ou, ou
se, se
será, ser
negociado, negociar
., .
Quanto, quanto
antes, antes
resolvermos, resolverr
isso, isso
,, ,
melhor, bom
., .
É, ser
menos, pouco
um, um
problema, problema
., .
'', ''

, 

Segundo, segundo
o, o
dirigente, dirigente
,, ,
Edmundo, Edmundo
recebeu, receber
propostas, proposta
oficiais, oficial
do, de o
Flamengo, Flamengo
,, ,
do, de o
Botafogo, Botafogo
e, e
de, de
dois, dois
times, time
europeus, europeu
,, ,
além, além
do, de o
Parma, Parma
_, _
clube, clube
italiano, italiano
patrocinado, patrocinar
pela, por o
Parmalat, Parmalat
., .

, 

Os, o
clubes, clube
do, de o
exterior, exterior
têm, ter
preferência, preferência
,, ,
apesar, apesar
de, de
Edmundo, Edmundo
querer, querer
voltar, voltar
ao, a o
Rio, Rio
de, de
Janeiro, Janeiro
., .

, 

Brunoro, Brunoro
afirmou, afirmar
que, que
o, o
novo, novo
treinador, treinador
do, de o
Palmeiras, Palmeiras
não, não
terá, ter
interferência, interferência
na, em o
definição, definição
do, de o
caso, caso
Edmundo, Edmundo
., .

, 

Segundo, segundo
Brunoro, Brunoro
,, ,
o, o
Palmeiras, Palmeiras
mantém, manter
o, o
interesse, interesse
nas, em o
contratações, contratação
dos, de o
atacantes, atacante
Renato, Renato
Gaúcho, Gaúcho
(, (
do, de o
Fluminense, Fluminense
), )
e, e
Caniggia, Caniggia
(, (
da, de o
Roma, Roma
,, ,
da, de o
Itália, Itália
), )
e, e
do, de o
meia-lateral, meia-lateral
Cafu, Cafu
(, (
do, de o
Zaragoza, Zaragoza
,, ,
da, de o
Espanha, Espanha
), )
., .

, 

", "
Resta, restar
saber, saber
se, se
o, o
Renato, Renato
,, ,
que, que
é, ser
grande, grande
amigo, amigo
do, de o
Espinosa, Espinosa
,, ,
ainda, ainda
quer, querer
vir, vir
., .
Quanto, quanto
ao, a o
Caniggia, Caniggia
,, ,
estamos, estar
tentando, tentar
trazê-lo, trazê-lo
por, por
empréstimo, empréstimo
e, e
praticamente, praticamente
já, já
conseguimos, conseguir
a, o
prioridade, prioridade
junto, junto
ao, a o
Zaragoza, Zaragoza
para, para
contratar, contratar
o, o
Cafu, Cafu
., .
'', ''

, 

Edílson, Edílson
e, e
Rincón, Rincón
devem, dever
voltar, voltar
ao, a o
Palmeiras, Palmeiras
em, em
agosto, agosto
., .

, 

(, (
AR, AR
), )

, 

