A, ﻿A
falta, faltar
de, de
entrosamento, entrosamento
que, que
prejudicou, prejudicar
o, o
Corinthians, Corinthians
no, em o
jogo, jogo
contra, contra
a, o
Portuguesa, Portuguesa
,, ,
domingo, domingo
passado, passado
,, ,
pode, poder
atrapalhar, atrapalhar
novamente, novamente
a, o
equipe, equipe
amanhã, amanhã
,, ,
contra, contra
o, o
América, América
,, ,
em, em
São, São
José, José
do, de o
Rio, Rio
Preto, Preto
., .
O, o
time, time
treinou, treinar
ontem, ontem
à, a o
tarde, tarde
desfalcado, desfalcar
de, de
Marques, Marques
e, e
Moacir, Moacir
,, ,
titulares, titular
certos, certos
,, ,
de, de
acordo, acordo
com, com
o, o
técnico, técnico
Afrânio, Afrânio
Riul, Riul
,, ,
que, que
pretendia, pretender
manter, manter
a, o
escalação, escalação
da, de o
última, último
partida, partida
., .

, 

Marques, Marques
faltou, faltar
ao, a o
treino, treino
devido, devido
à, a o
morte, morte
de, de
um, um
tio, tio
., .
Já, já
o, o
volante, volante
Moacir, Moacir
acordou, acordar
com, com
dores, dor
na, em o
canela, canela
esquerda, esquerdo
e, e
apenas, apenas
assistiu, assistir
o, o
coletivo, coletivo
., .
", "
É, ser
um, um
problema, problema
de, de
inflamação, inflamação
que, que
vai, ir
e, e
volta, volta
desde, desde
a, o
época, época
do, de o
Nelsinho, Nelsinho
", "
,, ,
disse, dizer
desanimado, desanimar
,, ,
referindo-se, referir se
a, o
sua, seu
primeira, primeiro
passagem, passagem
pelo, por o
time, time
,, ,
em, em
1993, 1993
., .

, 

Segundo, segundo
o, o
médico, médico
Joaquim, Joaquim
Grava, Grava
,, ,
a, o
contusão, contusão
não, não
é, ser
grave, grave
e, e
Moacir, Moacir
pode, poder
jogar, jogar
amanhã, amanhã
., .
Já, já
o, o
atacante, atacante
Casagrande, Casagrande
,, ,
com, com
uma, um
tendinite, tendinite
na, em o
região, região
anterior, anterior
da, de o
coxa, coxa
,, ,
não, não
teve, ter
tanta, tanto
sorte, sorte
., .
", "
Não, não
há, haver
previsão, previsão
de, de
volta, volta
", "
,, ,
declarou, declarar
o, o
médico, médico
,, ,
negando, negar
os, o
boatos, boato
de, de
que, que
o, o
jogador, jogador
pudesse, poder
atuar, atuar
na, em o
rodada, rodada
do, de o
fim-de-semana, fim-de-semana
,, ,
contra, contra
o, o
Rio, Rio
Branco, Branco
de, de
Americana, Americana
., .

, 

