Um, ﻿Um
problema, problema
no, em o
acelerador, acelerador
tirou, tirar
o, o
primeiro, primeiro
ponto, ponto
de, de
Rubens, Rubens
Barrichello, Barrichello
na, em o
temporada, temporada
., .

, 

Na, em o
última, último
volta, volta
do, de o
GP, GP
da, de o
Espanha, Espanha
,, ,
o, o
piloto, piloto
da, de o
Jordan, Jordan
perdeu, perder
rendimento, rendimento
e, e
a, o
sexta, sexto
colocação, colocação
para, para
o, o
francês, francês
Olivier, Olivier
Panis, Panis
,, ,
da, de o
Ligier, Ligier
,, ,
que, que
vinha, vir
em, em
sétimo, sétimo
., .

, 

Na, em o
verdade, verdade
,, ,
houve, haver
uma, um
pane, pane
no, em o
sistema, sistema
eletrônico, eletrônico
acionado, acionar
pelo, por o
acelerador, acelerador
,, ,
que, que
controla, controlar
a, o
admissão, admissão
de, de
combustível, combustível
no, em o
motor, motor
., .

, 

`, `
`, `
Faltou, Faltou
um, um
pouco, pouco
de, de
sorte, sorte
'', ''
,, ,
declarou, declarar
o, o
brasileiro, brasileiro
,, ,
que, que
acabou, acabar
se, se
classificando, classificar
na, em o
sétima, sétimo
posição, posição
., .

, 

Terminar, terminar
a, o
primeira, primeiro
corrida, corrida
do, de o
ano, ano
,, ,
porém, porém
,, ,
foi, ser
útil, útil
,, ,
segundo, segundo
o, o
piloto, piloto
., .
`, `
`, `
Deu, Deu
para, para
fazer, fazer
uma, um
boa, bom
análise, análise
do, de o
carro, carro
e, e
perceber, perceber
o, o
que, que
precisa, precisar
ser, ser
melhorado, melhorar
'', ''
,, ,
afirmou, afirmar
., .

, 

Segundo, segundo
Barrichello, Barrichello
,, ,
os, o
principais, principal
problemas, problema
estão, estar
no, em o
chassi, chassi
., .
`, `
`, `
Ainda, Ainda
não, não
encontramos, encontrar
um, um
acerto, acerto
definitivo, definitivo
., .
Quanto, quanto
ao, a o
motor, motor
,, ,
o, o
consumo, consumo
está, estar
muito, muito
alto, alto
'', ''
,, ,
disse, dizer
., .

, 

Seu, seu
carro, carro
consumiu, consumir
ontem, ontem
cerca, cerca
de, de
240, 240
litros, litro
de, de
gasolina, gasolina
para, para
percorrer, percorrer
os, o
mais, mais
de, de
300, 300
quilômetros, quilômetro
da, de o
prova, prova
catalã, catalã
., .

, 

Barrichello, Barrichello
disse, dizer
que, que
não, não
deu, dar
a, o
mínima, pequeno
importância, importância
ao, a o
fato, fato
de, de
seu, seu
companheiro, companheiro
Eddie, Eddie
Irvine, Irvine
ter, ter
chegado, chegar
à, a o
sua, seu
frente, frente
(, (
em, em
quinto, quinto
), )
., .
`, `
`, `
Não, não
estou, estar
preocupado, preocupado
com, com
isso, isso
'', ''
,, ,
declarou, declarar
., .

, 

Mas, mas
deixou, deixar
escapar, escapar
que, que
teve, ter
problemas, problema
com, com
retardatários, retardatário
quando, quando
tentava, tentar
alcançar, alcançar
o, o
irlandês, irlandês
após, após
sua, seu
primeira, primeiro
parada, parada
nos, em o
boxes, boxe
., .

, 

Reclamando, Reclamando
do, de o
terceiro, terceiro
jogo, jogo
de, de
pneus, pneu
que, que
utilizou, utilizar
e, e
também, também
dos, de o
freios, freio
,, ,
o, o
piloto, piloto
estava, estar
,, ,
ao, a o
mesmo, mesmo
tempo, tempo
,, ,
aliviado, aliviar
e, e
decepcionado, decepcionar
., .

, 

Parecia, parecer
satisfeito, satisfeito
por, por
suas, seu
reclamações, reclamação
de, de
sexta-feira, sexta-feira
terem, ter
repercutido, repercuter
no, em o
time, time
_, _
do, de o
cozinheiro, cozinheiro
ao, a o
chefe, chefe
da, de o
equipe, equipe
,, ,
quase, quase
todos, todo
dirigiam, diriger
palavras, palavra
de, de
apoio, apoio
ao, a o
piloto, piloto
após, após
a, o
corrida, corrida
., .

, 

Mas, mas
as, o
suas, seu
denunciavam, denunciar
que, que
ele, ele
não, não
confiava, confiar
que, que
sua, seu
fase, fase
de, de
`, `
`, `
azar, azar
'', ''
estaria, estar
terminando, terminar
., .

, 

(, (
JHM, JHM
), )

, 

