Por, ﻿Por
apenas, apenas
um, um
ponto, ponto
(, (
120, 120
a, a
119, 119
), )
,, ,
o, o
Golden, Golden
State, State
Warriors, Warriors
derrotou, derrotar
o, o
Atlanta, Atlanta
Hawks, Hawks
,, ,
fulminando, fulminar
um, um
tabu, tabu
., .
Havia, Havia
11, 11
anos, ano
que, que
o, o
time, time
não, não
ganhava, ganhar
jogo, jogo
oficial, oficial
da, de o
NBA, NBA
no, em o
ginásio, ginásio
do, de o
adversário, adversário
., .
Nos, em o
últimos, último
quatro, quatro
minutos, minuto
,, ,
as, o
duas, dois
equipes, equipe
se, se
revezaram, revezar
sete, sete
vezes, vez
na, em o
liderança, liderança
do, de o
placar, placar
., .

, 

A, o
cesta, cesta
decisiva, decisivo
,, ,
de, de
três, três
pontos, ponto
,, ,
foi, ser
anotada, anotar
pelo, por o
armador, armador
Latrel, Latrel
Sprewell, Sprewell
,, ,
faltando, faltar
menos, menos
de, de
dois, dois
segundos, segundo
para, para
o, o
término, término
da, de o
partida, partida
., .
Sprewell, Sprewell
terminou, terminar
com, com
25, 25
pontos, ponto
,, ,
mas, mas
o, o
destaque, destaque
do, de o
time, time
foi, ser
Chris, Chris
Mullin, Mullin
,, ,
com, com
28, 28
pontos, ponto
,, ,
11, 11
rebotes, rebote
e, e
sete, sete
assistências, assistência
., .

, 

A, o
rodada, rodada
:, :
New, New
York, York
120, 120
x, x
108, 108
San, San
Antonio, Antonio
,, ,
New, New
Jersey, Jersey
112, 112
x, x
91, 91
Minnesota, Minnesota
,, ,
Orlando, Orlando
108, 108
x, x
96, 96
L.A.Clippers, L.A.Clippers
,, ,
Charlotte, Charlotte
115, 115
x, x
103, 103
Philadelphia, Philadelphia
,, ,
Indiana, Indiana
109, 109
x, x
92, 92
Miami, Miami
Heats, Heats
,, ,
Chicago, Chicago
84, 84
x, x
83, 83
Washington, Washington
,, ,
Dallas, Dallas
84, 84
x, x
89, 89
Boston, Boston
,, ,
Utah, Utah
104, 104
x, x
92, 92
Cleveland, Cleveland
e, e
Sacramento, Sacramento
95, 95
x, x
114, 114
Seattle, Seattle
., .

, 

Pippen, Pippen

, 

Poucas, Poucas
horas, hora
depois, depois
da, de o
apertada, apertar
vitória, vitória
sobre, sobre
o, o
Washington, Washington
,, ,
o, o
ala, alar
Scottie, Scottie
Pippen, Pippen
,, ,
dos, de o
Bulls, Bulls
,, ,
foi, ser
detido, deter
pela, por o
polícia, polícia
de, de
Chicago, Chicago
por, por
porte, porte
ilegal, ilegal
de, de
arma, arma
de, de
fogo, fogo
., .

, 

A, o
ronda, ronda
policial, policial
descobriu, descobrir
a, o
arma, arma
–, –
uma, um
semiautomática, semiautomático
,, ,
calibre, calibre
38, 38
–, –
ao, a o
vistoriar, vistoriar
o, o
carro, carro
de, de
Pippen, Pippen
,, ,
estacionado, estacionar
irregularmente, irregularmente
., .
O, o
jogador, jogador
estava, estar
em, em
um, um
restaurante, restaurante
., .

, 

Pippen, Pippen
mostrou, mostrar
autorização, autorização
para, para
portar, portar
arma, arma
carregada, carregado
,, ,
mas, mas
o, o
policial, policial
alegou, alegar
que, que
a, o
mesma, mesmo
não, não
valia, valer
para, para
locais, local
públicos, público
., .
Acabou, acabar
liberado, liberar
depois, depois
de, de
45, 45
minutos, minuto
,, ,
sob, sob
fiança, fiança
de, de
US$, US$
100,00, 100,00
., .
O, o
caso, caso
será, ser
julgado, julgar
no, em o
próximo, próximo
dia, dia
23, 23
., .

, 

