A, ﻿A
NBA, NBA
divulgou, divulgar
a, o
lista, lista
dos, de o
titulares, titular
do, de o
All-Star, All-Star
Game, Game
,, ,
o, o
jogo, jogo
que, que
reúne, reunir
os, o
melhores, bom
jogadores, jogador
da, de o
temporada, temporada
do, de o
basquete, basquete
profissional, profissional
norte-americano, norte-americano
., .
O, o
mais, mais
lembrado, lembrado
pelos, por o
fãs, fã
foi, ser
o, o
ala, alar
Charles, Charles
Barkley, Barkley
,, ,
do, de o
Phoenix, Phoenix
Suns, Suns
,, ,
com, com
quase, quase
800, 800
mil, mil
votos, voto
., .

, 

O, o
All-Star, All-Star
Game, Game
acontece, acontecer
no, em o
dia, dia
13, 13
de, de
fevereiro, fevereiro
e, e
contrapõe, contrapor
as, o
estrelas, estrela
da, de o
Conferência, Conferência
do, de o
Leste, leste
aos, a o
astros, astro
do, de o
Oeste, Oeste
., .

, 

Além, além
de, de
Barkley, Barkley
,, ,
jogam, jogar
pelo, por o
Oeste, Oeste
:, :
os, o
armadores, armador
Clyde, Clyde
Drexler, Drexler
(, (
Portland, Portland
Trail, Trail
Blazers, Blazers
), )
e, e
Mitch, Mitch
Richmond, Richmond
(, (
Sacramento, Sacramento
Kings, Kings
), )
,, ,
o, o
ala-pivô, ala-pivô
Shawn, Shawn
Kemp, Kemp
(, (
Seattle, Seattle
Supersonics, Supersonics
), )
e, e
o, o
pivô, pivô
Hakeem, Hakeem
Olajuwon, Olajuwon
(, (
Houston, Houston
Rockets, Rockets
), )
., .

, 

Pelo, por o
time, time
do, de o
Leste, leste
,, ,
estão, estar
:, :
os, o
armadores, armador
B.J., B.J.
Armstrong, Armstrong
(, (
Chicago, Chicago
Bulls, Bulls
), )
e, e
Kenny, Kenny
Anderson, Anderson
(, (
New, New
Jersey, Jersey
Nets, Nets
), )
,, ,
o, o
ala, alar
Scottie, Scottie
Pippen, Pippen
(, (
Bulls, Bulls
), )
,, ,
o, o
ala-pivô, ala-pivô
Derrick, Derrick
Coleman, Coleman
(, (
Nets, Nets
), )
e, e
o, o
pivô, pivô
Shaquille, Shaquille
O'Neal, O'Neal
(, (
Orlando, Orlando
Magic, Magic
), )
., .

, 

Quatro, quatro
técnicos, técnico
ainda, ainda
disputam, disputar
o, o
direito, direito
de, de
definir, definir
as, o
outras, outro
sete, sete
estrelas, estrela
e, e
ficar, ficar
no, em o
banco, banco
no, em o
jogo, jogo
., .
Pelo, pelo
Oeste, Oeste
,, ,
Rudy, Rudy
Tomjanovich, Tomjanovich
(, (
Houston, Houston
), )
e, e
George, George
Karl, Karl
(, (
Seattle, Seattle
), )
., .
Pelo, por o
Leste, leste
,, ,
Phil, Phil
Jackson, Jackson
(, (
Chicago, Chicago
), )
e, e
Lenny, Lenny
Wilkens, Wilkens
(, (
Atlanta, Atlanta
Hawks, Hawks
), )
., .

, 

