O, ﻿O
Ajax, ajax
terá, ter
hoje, hoje
a, o
chance, chance
de, de
se, se
vingar, vingar
de, de
uma, um
das, de o
mais, mais
importantes, importante
derrotas, derrota
de, de
toda, todo
a, o
sua, seu
vida, vida
., .
Há, haver
quase, quase
26, 26
anos, ano
,, ,
no, em o
dia, dia
28, 28
de, de
maio, maio
de, de
69, 69
,, ,
o, o
clube, clube
holandês, holandês
foi, ser
goleado, golear
pelo, por o
Milan, Milan
por, por
4, 4
a, a
1, 1
,, ,
na, em o
final, final
da, de o
Copa, copa
dos, de o
Campeões, Campeões
,, ,
em, em
Madri, Madri
,, ,
Espanha, Espanha
., .

, 

A, o
derrota, derrota
marcou, marcar
o, o
início, início
de, de
uma, um
fase, fase
extraordinária, extraordinário
no, em o
futebol, futebol
da, de o
Holanda, Holanda
., .

, 

Nos, em o
quatro, quatro
anos, ano
seguintes, seguinte
_, _
Feyenoord, Feyenoord
,, ,
em, em
1970, 1970
,, ,
e, e
Ajax, Ajax
,, ,
de, de
71, 71
a, a
73, 73
_, _
,, ,
a, o
Copa, copa
dos, de o
Campeões, Campeões
foi, ser
cativa, cativo
daquele, de aquele
país, país
., .
Era, ser
o, o
embrião, embrião
do, de o
`, `
Carrossel, Carrossel
Holandês, Holandês
', '
,, ,
sensação, sensação
da, de o
Copa, copa
de, de
1974, 1974
,, ,
na, em o
Alemanha, Alemanha
., .

, 

(, (
MD, MD
), )

, 

