Mesmo, ﻿Mesmo
sem, sem
jogar, jogar
bem, bem
,, ,
o, o
São, São
Paulo, Paulo
venceu, vencer
o, o
Santos, Santos
por, por
2, 2
a, a
0, 0
,, ,
gols, gol
de, de
Juninho, Juninho
e, e
Valdeir, Valdeir
,, ,
ontem, ontem
no, em o
Morumbi, Morumbi
,, ,
e, e
já, já
é, ser
líder, líder
isolado, isolar
do, de o
Paulistão, Paulistão
,, ,
com, com
6, 6
pontos, ponto
ganhos, ganho
., .
Jogando, Jogando
sob, sob
chuva, chuva
,, ,
que, que
chegou, chegar
a, a
ameaçar, ameaçar
a, o
realização, realização
da, de o
partida, partida
,, ,
a, o
equipe, equipe
são-paulina, são-paulino
foi, ser
sobrepujada, sobrepujar
taticamente, taticamente
pelo, por o
adversário, adversário
,, ,
mas, mas
venceu, vencer
graças, graças
à, a o
eficiência, eficiência
de, de
seus, seu
contra-ataques, contra-ataques
e, e
à, a o
má, má
atuação, atuação
do, de o
goleiro, goleiro
Gilberto, Gilberto
., .

, 

No, em o
duelo, duelo
entre, entre
os, o
", "
renegados, renegar
", "
Dinho, Dinho
e, e
Axel, Axel
,, ,
venceu, vencer
o, o
santista, santista
., .
", "
Me, Me
sinto, sinto
mais, mais
à, a o
vontade, vontade
para, para
jogar, jogar
no, em o
Santos, Santos
que, que
no, em o
São, São
Paulo, Paulo
", "
,, ,
reconheceu, reconhecer
., .
Pepe, Pepe
utilizou, utilizar
o, o
volante, volante
para, para
anular, anular
Leonardo, Leonardo
e, e
subir, subir
ao, a o
ataque, ataque
., .
Por, por
sua, sua
vez, vez
,, ,
Axel, Axel
ficou, ficar
perdido, perdido
no, em o
rápido, rápido
meio-campo, meio-campo
do, de o
São, São
Paulo, Paulo
:, :
não, não
sabia, saber
se, se
marcava, marcar
ou, ou
subia, subia
à, a o
frente, frente
., .
", "
Acho, achar
que, que
foi, ser
uma, um
boa, bom
estréia, estréia
., .
Ganhamos, Ganhamos
e, e
é, ser
isto, isto
que, que
interessa, interessar
", "
,, ,
declarou, declarar
., .

, 

Não, não
foi, ser
só, só
o, o
novo, novo
volante, volante
que, que
sentiu, sentir
falta, falta
de, de
orientação, orientação
., .
Com, com
uma, um
burocrática, burocrática
atuação, atuação
do, de o
interino, interino
Muricy, Muricy
,, ,
ao, a o
São, São
Paulo, Paulo
faltou, faltar
uma, um
mudança, mudança
tática, tático
para, para
liberar, liberar
Leonardo, Leonardo
ou, ou
encontrar, encontrar
um, um
posicionamento, posicionamento
mais, mais
adequado, adequado
a, a
Axel, Axel
., .
Muricy, Muricy
não, não
comprometeu, comprometer
,, ,
mas, mas
deixou, deixar
a, o
impressão, impressão
de, de
que, que
o, o
time, time
sente, sente
falta, falta
de, de
Telê, Telê
., .

, 

Juninho, Juninho
teve, ter
que, que
correr, correr
muito, muito
para, para
compensar, compensar
isso, isso
., .
Com, com
Leonardo, Leonardo
anulado, anular
por, por
Dinho, Dinho
,, ,
o, o
meia, meia
ficava, ficar
ou, ou
preso, prender
à, a o
marcação, marcação
ou, ou
abandonado, abandonar
no, em o
ataque, ataque
,, ,
assim, assim
como, como
Valdeir, Valdeir
., .
Graças, Graças
a, o
sua, seu
habilidade, habilidade
,, ,
conseguiu, conseguir
chegar, chegar
ao, a o
gol, gol
santista, santista
mais, mais
de, de
uma, um
vez, vez
., .
E, e
,, ,
aos, a o
38min, 38min
do, de o
primeiro, primeiro
tempo, tempo
,, ,
num, em um
lance, lance
de, de
sorte, sorte
,, ,
contou, contar
com, com
a, o
falha, falha
homérica, homérico
de, de
Gilberto, Gilberto
,, ,
que, que
não, não
segurou, segurar
um, um
chute, chute
fraco, fraco
de, de
fora, fora
da, de o
área, área
., .
", "
A, o
equipe, equipe
ainda, ainda
sente, sentir
a, o
falta, falta
de, de
entrosamento, entrosamento
e, e
de, de
preparo, preparo
físico, físico
", "
,, ,
afirmou, afirmar
., .

, 

No, em o
segundo, segundo
tempo, tempo
,, ,
com, com
o, o
campo, campo
mais, mais
seco, seco
,, ,
esperava-se, esperavar se
que, que
a, o
eficiência, eficiência
do, de o
São, São
Paulo, Paulo
anulasse, anular
a, o
garra, garra
santista, santista
., .
Mas, mas
as, o
indefinições, indefinição
táticas, tático
continuaram, continuar
e, e
o, o
inverso, inverso
aconteceu, acontecer
., .
Macedo, Macedo
e, e
Paulinho, Paulinho
Kobayshi, Kobayshi
infernizaram, infernizar
,, ,
sem, sem
resultado, resultado
,, ,
a, o
defesa, defesa
são-paulina, são-paulina
,, ,
fragilizada, fragilizar
pela, por o
falta, falta
de, de
entrosamento, entrosamento
entre, entre
Válber, Válber
e, e
Júnior, Júnior
Baiano, Baiano
., .
Para, para
fechar, fechar
o, o
jogo, jogo
,, ,
Valdeir, Valdeir
fez, fazer
um, um
belo, belo
gol, gol
aos, a o
38, 38
min, min
,, ,
enganando, enganar
Gilberto, Gilberto
ao, a o
chutar, chutar
com, com
o, o
pé, pé
direito, direito
., .
Uma, um
jogada, jogada
trabalhada, trabalhar
com, com
Leonardo, Leonardo
,, ,
momento, momento
raro, raro
em, em
que, que
a, o
dupla, dupla
funcionou, funcionar
., .

, 

