Para, ﻿Par
evitar, evitar
o, o
transporte, transporte
de, de
`, `
`, `
pianos, piano
'', ''
,, ,
a, o
Abav, Abav
(, (
Associação, Associação
Brasileira, Brasileira
de, de
Agências, Agências
de, de
Viagens, Viagens
), )
lançou, lançar
uma, um
campanha, campanha
para, para
conscientizar, conscientizar
os, o
passageiros, passageiro
a, a
diminuir, diminuir
o, o
volume, volume
da, de o
bagagem, bagagem
de, de
mão, mão
., .

, 

Os, o
`, `
`, `
bins, bim
'', ''
,, ,
bagageiros, bagageiro
que, que
ficam, ficar
acima, acima
das, de o
poltronas, poltrona
,, ,
abrigam, abrigar
uma, um
bolsa, bolsa
por, por
passageiro, passageiro
de, de
até, até
115, 115
cm, cm
(, (
resultado, resultado
da, de o
soma, soma
da, de o
largura, largura
,, ,
altura, altura
e, e
comprimento, comprimento
), )
pesando, pesar
no, em o
máximo, máximo
cinco, cinco
quilos, quilo
., .

, 

O, o
tamanho, tamanho
da, de o
bagagem, bagagem
de, de
mão, mão
não, não
é, ser
controlado, controlar
pelas, por o
companhias, companhia
aéreas, aéreo
., .

, 

(, (
IS, IS
), )

, 

