Melhor, ﻿Melhor
colocado, colocar
no, em o
grid, grid
provisório, provisório
entre, entre
os, o
brasileiros, brasileiro
(, (
6º, 6º
lugar, lugar
), )
,, ,
Mauricio, Mauricio
Gugelmin, Gugelmin
poderia, poder
até, até
obter, obter
melhor, bom
média, média
horária, horária
se, se
não, não
tivesse, ter
problemas, problema
com, com
seu, seu
Pacwest, Pacwest
na, em o
sessão, sessão
de, de
anteontem, anteontem
., .

, 

Ele, ele
fez, fazer
sua, seu
primeira, primeiro
volta, volta
classificatória, classificatór
a, a
368,8, 368,8
km/h, km/h
de, de
média, média
., .
Na, em o
segunda, segunda
,, ,
porém, porém
,, ,
a, o
válvula, válvula
que, que
comanda, comandar
a, o
pressão, pressão
do, de o
turbo, turbo
abriu, abrir
e, e
o, o
carro, carro
perdeu, perder
potência, potência
., .

, 

`, `
`, `
Nas, em o
outras, outro
três, três
voltas, volta
,, ,
pisei, pisar
no, em o
acelerador, acelerador
com, com
os, o
dois, dois
pés, pé
,, ,
mas, mas
o, o
carro, carro
não, não
andou, andar
'', ''
,, ,
brincou, brincar
ele, ele
., .

, 

O, o
brasileiro, brasileiro
acabou, acabar
com, com
média, média
de, de
366,7, 366,7
km/h, km/h
nas, em o
quatro, quatro
voltas, volta
., .

, 

Mesmo, mesmo
assim, assim
,, ,
sua, seu
posição, posição
no, em o
grid, grid
é, ser
cômoda, cômor
., .
Até, até
ontem, ontem
,, ,
com, com
25, 25
posições, posição
definidas, definir
no, em o
grid, grid
provisório, provisório
,, ,
havia, haver
19, 19
carros, carro
mais, mais
lentos, lento
que, que
o, o
dele, de ele
., .

, 

Ou, ou
seja, ser
,, ,
há, haver
19, 19
carros, carro
que, que
precisam, precisar
ser, ser
eliminados, eliminar
até, até
que, que
Gugelmin, Gugelmin
corra, corra
algum, algum
risco, risco
., .

, 

A, o
situação, situação
de, de
Gil, Gil
de, de
Ferran, Ferran
é, ser
a, o
oposta, oposta
., .
Na, em o
20ª, 20ª
posição, posição
,, ,
ele, ele
possui, possuir
a, o
segunda, segundo
pior, mau
média, média
horária, horária
e, e
pode, poder
ser, ser
eliminado, eliminar
por, por
um, um
carro, carro
mais, mais
veloz, veloz
quando, quando
as, o
33, 33
vagas, vaga
forem, ser
preenchidas, preenchir
provisoriamente, provisoriamente
., .

, 

Ferran, Ferran
também, também
teve, ter
problemas, problema
na, em o
válvula, válvula
do, de o
turbo, turbo
no, em o
sábado, sábado
., .
`, `
`, `
Foi, ser
pena, pena
,, ,
pois, pois
o, o
carro, carro
estava, estar
bem, bem
acertado, acertar
'', ''
,, ,
comentou, comentar
., .

, 

(, (
MT, MT
), )

, 

