Os, ﻿Os
dez, dez
jogadores, jogador
', '
pendurados, pendurar
', '
com, com
dois, dois
cartões, cartão
amarelos, amarelos
são, ser
a, o
maior, grande
preocupação, preocupação
da, de o
comissão, comissão
técnica, técnico
do, de o
Novorizontino, Novorizontino
para, para
as, o
quatro, quatro
últimas, último
partidas, partida
da, de o
equipe, equipe
no, em o
Paulista, paulista
deste, de este
ano, ano
., .

, 

', '
Pendurado, Pendurado
', '
é, ser
o, o
termo, termo
usado, usar
quando, quando
o, o
jogador, jogador
entra, entrar
em, em
campo, campo
com, com
dois, dois
cartões, cartão
amarelos, amarelo
., .
Se, se
receber, receber
mais, mais
um, um
,, ,
o, o
regulamento, regulamento
prevê, prever
a, o
suspensão, suspensão
por, por
um, um
jogo, jogo
., .

, 

", "
São, ser
muitos, muito
cartões, cartão
,, ,
principalmente, principalmente
agora, agora
que, que
os, o
jogos, jogo
são, ser
mais, mais
duros, duro
'', ''
,, ,
disse, dizer
Damião, Damião
Rodrigues, Rodrigues
Filho, Filho
,, ,
supervisor, supervisor
técnico, técnico
., .

, 

Contra, contra
o, o
São, São
Paulo, Paulo
receberam, receber
cartões, cartão
amarelos, amarelos
Marcelo, Marcelo
Prates, Prates
,, ,
Elder, Elder
e, e
Paulinho, Paulinho
., .
A, o
próxima, próximo
partida, partida
é, ser
quarta-feira, quarta-feira
,, ,
contra, contra
a, o
Ferroviária, Ferroviária
,, ,
em, em
Novo, Novo
Horizonte, Horizonte
., .

, 

O, o
time, time
de, de
Novo, Novo
Horizonte, Horizonte
conseguiu, conseguir
impedir, impedir
o, o
ataque, ataque
adversário, adversário
,, ,
com, com
marcação, marcação
individual, individual
de, de
Índio, Índio
em, em
Bentinho, Bentinho
e, e
Luiz, Luiz
Carlos, Carlos
em, em
Sierra, Sierra
., .

, 

Elder, Elder
aparecia, aparecia
pelo, por o
meio, meio
e, e
teve, ter
duelo, duelo
com, com
Juninho, Juninho
., .
Aos, a o
19min, 19min
do, de o
segundo, segundo
tempo, tempo
,, ,
o, o
meia, meia
do, de o
Novorizontino, Novorizontino
entrou, entrar
por, por
trás, trás
em, em
Juninho, Juninho
e, e
recebeu, receber
amarelo, amarelo
., .

, 

