Há, ﻿Há
oito, oito
anos, ano
sem, sem
título, título
,, ,
o, o
Fluminense, fluminense
renasce, renascer
graças, graças
ao, a o
seu, seu
mais, mais
influente, influente
torcedor, torcedor
:, :
João, João
Havelange, Havelange
., .
O, o
presidente, presidente
da, de o
Fifa, Fifa
conversou, conversar
com, com
a, o
direção, direção
do, de o
Monaco, Monaco
,, ,
da, de o
França, França
,, ,
e, e
a, ela
convenceu, convencer
a, a
vender, vender
o, o
meia, meia
Luís, Luís
Henrique, Henrique
em, em
30, 30
parcelas, parcela
de, de
US$, US$
50, 50
mil, mil
pagáveis, pagável
a, a
partir, partir
de, de
agosto, agosto
., .

, 

Presidente, presidente
de, de
honra, honra
do, de o
Flu, Flu
,, ,
Havelange, Havelange
também, também
se, se
empenhou, empenhar
na, em o
contratação, contratação
do, de o
lateral-esquerdo, lateral-esquerdo
Branco, Branco
,, ,
titular, titular
da, de o
seleção, seleção
., .
Devido, devido
a, o
sua, seu
interferência, interferência
,, ,
a, o
multinacional, multinacional
de, de
material, material
esportivo, esportivo
Reebok, Reebok
assinou, assinar
com, com
o, o
clube, clube
contrato, contrato
de, de
US$, US$
400, 400
mil, mil
anuais, anual
., .
(, (
MM, MM
), )

, 

