A, ﻿A
tarde, tarde
esfriou, esfriar
e, e
o, o
jogo, jogo
esquentou, esquentar
,, ,
mas, mas
os, o
invariáveis, invariável
17, 17
graus, grau
do, de o
termômetro, termômetro
do, de o
placar, placar
do, de o
Pacaembu, Pacaembu
pareciam, parecer
marcar, marcar
a, o
temperatura, temperatura
do, de o
técnico, técnico
do, de o
Corinthians, Corinthians
,, ,
Eduardo, Eduardo
Amorim, Amorim
., .

, 

Em, em
seu, seu
conjunto, conjunto
esportivo, esportivo
e, e
tênis, tênis
pretos, preto
,, ,
ele, ele
saiu, sair
do, de o
buraco, buraco
chamado, chamar
banco, banco
de, de
reservas, reserva
apenas, apenas
dez, dez
vezes, vez
_, _
incluindo, incluir
uma, um
vez, vez
para, para
o, o
intervalo, intervalo
,, ,
uma, um
para, para
o, o
tempo, tempo
técnico, técnico
e, e
uma, um
no, em o
fim, fim
do, de o
jogo, jogo
., .

, 

Não, não
gritou, gritar
com, com
os, o
jogadores, jogador
,, ,
não, não
reclamou, reclamar
,, ,
não, não
ficou, ficar
andando, andar
de, de
um, um
lado, lado
para, para
o, o
outro, outro
., .
Exatamente, exatamente
o, o
contrário, contrário
do, de o
que, que
fez, fazer
seu, seu
adversário, adversário
,, ,
o, o
também, também
ex-jogador, ex-jogador
Márcio, Márcio
Araújo, Araújo
_, _
que, que
nem, nem
efetivado, efetivar
no, em o
emprego, emprego
está, estar
., .

, 

O, o
estilo, estilo
Amorim, Amorim
é, ser
o, o
mesmo, mesmo
do, de o
ex-jogador, ex-jogador
que, que
a, o
torcida, torcida
conhecia, conhecer
como, como
Eduardo, Eduardo
,, ,
bicampeão, bicampeão
paulista, paulista
em, em
1982-83, 1982-83
., .

, 

Enquanto, enquanto
a, o
torcida, torcida
comemorava, comemorar
a, o
marcação, marcação
do, de o
pênalti, pênalti
sobre, sobre
André, André
Santos, Santos
,, ,
ele, ele
dava, dar
instruções, instrução
ao, a o
zagueiro, zagueiro
Henrique, Henrique
., .

, 

Mais, mais
tarde, tarde
,, ,
o, o
meio-campista, meio-campista
Souza, Souza
seria, ser
expulso, expulso
por, por
fazer, fazer
uma, um
falta, falta
violenta, violento
em, em
Amaral, Amaral
., .

, 

Amorim, Amorim
definiu, definir
diplomaticamente, diplomaticamente
o, o
lance, lance
:, :
`, `
`, `
Ele, ele
levou, levar
uma, um
falta, falta
dura, duro
,, ,
mas, mas
jamais, jamais
poderia, poder
revidar, revidar
'', ''
., .

, 

Segundo, segundo
tempo, tempo
., .
O, o
único, único
movimento, movimento
de, de
Eduardo, Eduardo
foi, ser
o, o
dos, de o
olhos, olho
,, ,
acompanhando, acompanhar
o, o
veloz, veloz
e, e
mortal, mortal
contra-ataque, contra-ataque
do, de o
Palmeiras, Palmeiras
:, :
3, 3
a, a
1, 1
., .

, 

O, o
juiz, juiz
anulou, anular
gol, gol
legítimo, legítimo
de, de
Bernardo, Bernardo
., .
Jogadores, Jogadores
e, e
torcedores, torcedor
corintianos, corintiano
foram, ser
à, a o
loucura, loucura
,, ,
Amorim, Amorim
permaneceu, permanecer
calmo, calmo
., .

, 

Nada, nada
o, ele
abalou, abalar
., .
Perto, perto
do, de o
fim, fim
do, de o
jogo, jogo
,, ,
as, o
organizadas, organizado
corintianas, corintiano
começaram, começar
a, a
xingá-lo, xingar ele
e, e
a, a
pedir, pedir
sua, seu
saída, saída
., .

, 

No, em o
caminho, caminho
do, de o
vestiário, vestiário
,, ,
todas, todo
as, o
entrevista, entrevista
foram, ser
sobre, sobre
sua, seu
permanência, permanência
no, em o
cargo, cargo
., .
Repetiu, Repetiu
um, um
dos, de o
maiores, grande
chavões, chavão
do, de o
mundo, mundo
futebolístico, futebolístico
brasileiro, brasileiro
,, ,
mas, mas
que, que
parece, parecer
ser, ser
sua, seu
filosofia, filosofia
de, de
trabalho, trabalho
:, :
`, `
`, `
Precisamos, Precisamos
manter, manter
a, o
tranquilidade, tranquilidade
'', ''
., .

, 

