As, ﻿As
alterações, alteração
climáticas, climático
deixaram, deixar
a, o
pista, pista
do, de o
Indianápolis, Indianápolis
Motor, Motor
Speedway, Speedway
mais, mais
lenta, lento
no, em o
quarto, quarto
dia, dia
de, de
treinos, treino
livres, livre
para, para
as, o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
(, (
EUA, EUA
), )
,, ,
prova, prova
da, de o
Indy, Indy
que, que
acontece, acontecer
no, em o
dia, dia
28, 28
., .

, 

A, o
chuva, chuva
que, que
atingiu, atingir
o, o
circuito, circuito
na, em o
madrugada, madrugada
de, de
ontem, ontem
desfez, desfez
parte, parte
da, de o
trilha, trilha
de, de
borracha, borracha
deixada, deixar
pelos, por o
pneus, pneu
dos, de o
carros, carro
no, em o
asfalto, asfalto
., .

, 

Essa, esse
trilha, trilha
ajuda, ajudar
a, a
impedir, impedir
que, que
os, o
carros, carro
derrapem, derraper
,, ,
o, o
que, que
os, eles
torna, tornar
mais, mais
rápidos, rápido
., .

, 

Depois, depois
,, ,
a, o
temperatura, temperatura
aumentou, aumentar
e, e
a, o
pressão, pressão
atmosférica, atmosférico
diminuiu, diminuir
., .
Com, com
isso, isso
,, ,
os, o
carros, carro
perderam, perder
potência, potência
,, ,
pois, pois
caiu, cair
a, o
quantidade, quantidade
de, de
oxigênio, oxigênio
,, ,
necessário, necessário
para, para
a, o
combustão, combustão
nos, em o
motores, motor
,, ,
no, em o
ar, ar
., .

, 

Com, com
isso, isso
,, ,
na, em o
sessão, sessão
da, de o
manhã, manhã
,, ,
o, o
holandês, holandês
Arie, Arie
Luyendyk, Luyendyk
,, ,
da, de o
Menard, Menard
,, ,
fez, fazer
média, média
de, de
370,150, 370,150
km/h, km/h
,, ,
inferior, inferior
aos, a o
seus, seu
376,678, 376,678
km/h, km/h
de, de
anteontem, anteontem
,, ,
a, o
maior, grande
média, média
já, já
alcançada, alcançar
em, em
Indianápolis, Indianápolis
., .

, 

Na, em o
mesma, mesmo
sessão, sessão
,, ,
o, o
mais, mais
veloz, veloz
foi, ser
Scott, Scott
Brayton, Brayton
(, (
372,339, 372,339
km/h, km/h
), )
., .
Mauricio, Mauricio
Gugelmin, Gugelmin
foi, ser
o, o
mais, mais
rápido, rápido
entre, entre
os, o
brasileiros, brasileiro
e, e
a, o
oitava, oitavo
média, média
da, de o
sessão, sessão
(, (
361,853, 361,853
km/h, km/h
), )
., .

, 

`, `
`, `
Estou, estar
preocupado, preocupado
com, com
o, o
acerto, acerto
aerodinâmico, aerodinâmico
do, de o
carro, carro
'', ''
,, ,
disse, dizer
Gugelmin, Gugelmin
,, ,
que, que
detinha, deter
a, o
quarta, quarto
melhor, bom
média, média
de, de
todos, todo
os, o
treinos, treino
(, (
369,234, 369,234
km/h, km/h
), )
,, ,
obtida, obter
anteontem, anteontem
., .

, 

Na, em o
sessão, sessão
da, de o
tarde, tarde
(, (
após, após
o, o
fechamento, fechamento
desta, de este
edição, edição
), )
,, ,
com, com
a, o
esperada, esperar
queda, queda
da, de o
temperatura, temperatura
,, ,
as, o
velocidades, velocidade
tendiam, tend
a, a
aumentar, aumentar
., .

, 

(, (
Mauro, Mauro
Tagliaferri, Tagliaferri
), )

, 

