A, ﻿A
média, média
de, de
público, público
do, de o
último, último
Campeonato, Campeonato
de, de
Futebol, Futebol
do, de o
Rio, Rio
de, de
Janeiro, Janeiro
não, não
chegou, chegar
a, a
5.000, 5.000
pagantes, pagante
,, ,
a, o
mais, mais
baixa, baixo
desde, desde
a, o
construção, construção
do, de o
Maracanã, maracanã
., .
Apenas, apenas
um, um
time, time
carioca, carioca
,, ,
o, o
Flamengo, Flamengo
,, ,
se, se
incluiu, incluir
entre, entre
os, o
oito, oito
primeiros, primeiro
colocados, colocado
do, de o
Campeonato, Campeonato
Brasileiro, Brasileiro
., .
Da, de o
lista, lista
original, original
de, de
22, 22
convocados, convocar
por, por
Carlos, Carlos
Alberto, Alberto
Parreira, Parreira
para, para
as, o
eliminatórias, eliminatória
da, de o
Copa, Copa
do, de o
Mundo, Mundo
,, ,
não, não
constava, constar
nem, nem
sequer, sequer
um, um
nome, nome
de, de
jogador, jogador
em, em
atividade, atividade
no, em o
futebol, futebol
do, de o
Rio, Rio
,, ,
um, um
fato, fato
inédito, inédito
., .
Tais, tai
dados, dado
–, –
somados, somado
ao, a o
detalhe, detalhe
de, de
que, que
três, três
dos, de o
maiores, grande
clubes, clube
da, de o
cidade, cidade
(, (
Botafogo, Botafogo
,, ,
Flamengo, Flamengo
e, e
Fluminense, Fluminense
), )
chegam, chegar
ao, a o
fim, fim
do, de o
ano, ano
com, com
dívidas, dívida
,, ,
enquanto, enquanto
o, o
quarto, quarto
(, (
Vasco, Vasco
), )
conseguiu, conseguir
apenas, apenas
equilibrar, equilibrar
suas, seu
finanças, finanças
–, –
reforça, reforçar
a, o
crença, crença
de, de
que, que
o, o
futebol, futebol
carioca, carioca
vive, viver
uma, um
fase, fase
crítica, crítico
., .

, 

", "
Não, não
há, haver
como, como
negar, negar
", "
,, ,
ratifica, ratifico
Arnaldo, Arnaldo
Santiago, Santiago
,, ,
presidente, presidente
do, de o
Fluminense, fluminense
,, ,
outrora, outrora
o, o
clube, clube
modelo, modelo
de, de
organização, organização
,, ,
prestígio, prestígio
e, e
estabilidade, estabilidade
econômica, econômico
., .
", "
Mas, mas
não, não
se, se
pode, poder
negar, negar
,, ,
também, também
,, ,
que, que
ao, a o
lado, lado
da, de o
crise, crise
há, haver
caminhos, caminho
para, para
sair, sair
dela, de ela
., .
", "

, 

O, o
principal, principal
desses, de esse
caminhos, caminho
seria, ser
a, o
Liga, Liga
Carioca, Carioca
de, de
Futebol, Futebol
fundada, fundar
no, em o
último, último
dia, dia
15, 15
de, de
novembro, novembro
por, por
Botafogo, Botafogo
,, ,
Flamengo, Flamengo
e, e
Fluminense, Fluminense
,, ,
com, com
base, base
na, em o
Lei, Lei
Zico, Zico
,, ,
revista, revir
pelo, por o
deputado, deputado
Arthur, Arthur
da, de o
Távola, Távola
(, (
PSDB-RJ, PSDB-RJ
), )
., .
Com, com
ela, ela
,, ,
acreditam, acreditar
os, o
três, três
clubes, clube
que, que
pelo, por o
menos, menos
o, o
decadente, decadente
campeonato, campeonato
estadual, estadual
defendido, defender
pela, por o
Federação, Federação
de, de
Futebol, Futebol
do, de o
Rio, Rio
de, de
Janeiro, Janeiro
,, ,
mais, mais
precisamente, precisamente
por, por
seu, seu
presidente, presidente
,, ,
Eduardo, Eduardo
Viana, Viana
,, ,
está, estar
com, com
os, o
dias, dia
contados, contado
., .
Mesmo, mesmo
assim, assim
,, ,
os, o
integrantes, integrante
da, de o
nova, novo
associação, associação
admitem, admiter
disputar, disputar
o, o
estadual, estadual
caso, caso
a, o
CBF, CBF
não, não
reconheça, reconhecer
a, o
Liga, Liga
até, até
31, 31
de, de
janeiro, janeiro
,, ,
data, data
do, de o
início, início
do, de o
estadual, estadual
., .

, 

", "
Acredito, acreditar
que, que
um, um
Campeonato, Campeonato
Carioca, Carioca
em, em
novos, novo
moldes, molde
seja, ser
a, o
salvação, salvação
dos, de o
grandes, grande
clubes, clube
", "
,, ,
diz, dizer
o, o
presidente, presidente
do, de o
Flamengo, Flamengo
,, ,
Luís, Luís
Augusto, Augusto
Veloso, Veloso
,, ,
mergulhado, mergulhar
em, em
dívidas, dívida
que, que
já, já
chegam, chegar
aos, a o
US$, US$
6, 6
milhões, milhão
., .
", "
E, e
por, por
que, que
não, não
um, um
campeonato, campeonato
com, com
os, o
melhores, bom
times, time
do, de o
Rio, Rio
e, e
Minas, Minas
?, ?
Já, já
está, estar
provado, provado
que, que
,, ,
para, para
os, o
clubes, clube
cariocas, carioca
,, ,
que, que
têm, ter
torcedores, torcedor
em, em
todo, todo
o, o
Brasil, Brasil
,, ,
competições, competição
de, de
caráter, caráter
nacional, nacional
são, ser
mais, mais
interessantes, interessante
do, de o
que, que
as, o
regionais, regional
., .
", "
Em, em
contrapartida, contrapartida
,, ,
mineiros, mineiro
e, e
baianos, baiano
já, já
descartaram, descartar
a, o
possibilidade, possibilidade
., .

, 

O, o
presidente, presidente
do, de o
Botafogo, Botafogo
,, ,
Mauro, Mauro
Ney, Ney
Palmeiro, palmeiro
,, ,
chega, chegar
ao, a o
fim, fim
de, de
seu, seu
mandato, mandato
com, com
dívidas, dívida
,, ,
mas, mas
orgulhoso, orgulhoso
:, :
encontrou, encontrar
seu, seu
clube, clube
em, em
situação, situação
dramática, dramático
e, e
passa-o, passa-o
ao, a o
seu, seu
sucessor, sucessor
de, de
forma, forma
ao, a o
menos, menos
administrável, administrável
., .
", "
Com, com
a, o
Liga, Liga
,, ,
vamos, ir
sair, sair
do, de o
abismo, abismo
., .
", "

, 

Do, de o
outro, outro
lado, lado
da, de o
história, história
está, estar
o, o
Vasco, Vasco
da, de o
Gama, Gama
,, ,
cujos, cujo
dirigentes, dirigente
não, não
só, só
se, se
opõem, opor
à, a o
criação, criação
da, de o
Liga, Liga
como, como
estão, estar
dispostos, disposto
a, a
tudo, tudo
para, para
derrubá-la, derrubar ela
., .
Por, por
exemplo, exemplo
:, :
a, o
mais, mais
recente, recente
(, (
e, e
importante, importante
), )
adesão, adesão
à, a o
nova, novo
entidade, entidade
aconteceu, acontecer
no, em o
último, último
dia, dia
13, 13
,, ,
quando, quando
Carlos, Carlos
Augusto, Augusto
Montenegro, Montenegro
,, ,
sucessor, sucessor
de, de
Palmeiro, palmeiro
,, ,
pôs, pôr
fim, fim
às, a o
especulações, especulação
sobre, sobre
o, o
possível, possível
recuo, recuo
do, de o
Botafogo, Botafogo
:, :
", "
Quero, querer
deixar, deixar
claro, claro
,, ,
nesta, em este
reunião, reunião
(, (
da, de o
Liga, Liga
), )
,, ,
que, que
o, o
Botafogo, Botafogo
se, se
junta, juntar
a, a
Flamengo, Flamengo
e, e
Fluminense, Fluminense
na, em o
luta, luta
pela, por o
salvação, salvação
do, de o
futebol, futebol
", "
., .

, 

Montenegro, Montenegro
não, não
escondeu, esconder
o, o
motivo, motivo
que, que
o, ele
fizera, fizera
decidir-se, decidir-se
:, :
um, um
emissário, emissário
da, de o
Federação, Federação
o, ele
teria, ter
procurara, procurara
com, com
três, três
promessas, promessa
em, em
troca, troca
das, de o
quais, qual
o, o
Botafogo, Botafogo
teria, ter
de, de
romper, romper
com, com
a, o
Liga, Liga
:, :
uma, um
tabela, tabela
favorável, favorável
no, em o
próximo, próximo
campeonato, campeonato
estadual, estadual
,, ,
o, o
lugar, lugar
do, de o
Fluminense, fluminense
na, em o
Copa, Copa
do, de o
Brasil, Brasil
do, de o
ano, ano
que, que
vem, vir
e, e
", "
arbitragens, arbitragem
camaradas, camarar
", "
daqui, de aqui
por, por
diante, diante
., .
Indignado, Indignado
,, ,
Montenegro, Montenegro
aderiu, aderir
à, a o
Liga, Liga
., .

, 

A, o
última, último
promessa, promessa
foi, ser
apenas, apenas
o, o
estopim, estopim
do, de o
escândalo, escândalo
que, que
acabou, acabar
transformado, transformar
em, em
CPI, CPI
:, :
três, três
árbitros, árbitro
denunciaram, denunciar
um, um
esquema, esquema
bancado, bancar
pela, por o
própria, próprio
Federação, Federação
para, para
forjar, forjar
resultados, resultado
., .
Na, em o
história, história
do, de o
futebol, futebol
,, ,
uma, um
triste, triste
novidade, novidade
., .

, 

