Uma, ﻿Uma
despedida, despedida
inesquecível, inesquecível
., .
Foi, ser
tal, tal
motivo, motivo
que, que
incentivou, incentivar
o, o
meia, meia
Catê, Catê
a, a
se, se
destacar, destacar
no, em o
time, time
de, de
juniores, juniores
do, de o
São, São
Paulo, Paulo
–, –
descartado, descartar
por, por
Telê, Telê
Santana, Santana
da, de o
equipe, equipe
de, de
profissionais, profissional
que, que
vai, ir
disputar, disputar
o, o
Campeonato, Campeonato
Paulista, Paulista
,, ,
Catê, Catê
teve, ter
seu, seu
passe, passe
emprestado, emprestar
ao, a o
Cruzeiro, Cruzeiro
., .
Antes, antes
,, ,
porém, porém
,, ,
disputa, disputar
a, o
Copa, Copa
São, São
Paulo, Paulo
., .
", "
Resolvi, Resolvi
mostrar, mostrar
a, o
falta, falta
que, que
vou, ir
fazer, fazer
", "
,, ,
revelou, revelar
., .

, 

Os, o
primeiros, primeiro
indícios, indício
já, já
surgiram, surgir
na, em o
partida, partida
de, de
estréia, estréia
do, de o
time, time
,, ,
contra, contra
o, o
Cerro, Cerro
Porteno, Porteno
do, de o
Paraguai, Paraguai
,, ,
na, em o
sexta-feira, sexta-feira
passada, passado
,, ,
quando, quando
o, o
São, São
Paulo, Paulo
goleou, golear
por, por
4, 4
a, a
0, 0
., .
Catê, Catê
marcou, marcar
o, o
terceiro, terceiro
e, e
mais, mais
bonito, bonito
gol, gol
:, :
depois, depois
de, de
tabelar, tabelar
com, com
Jamelli, Jamelli
,, ,
o, o
jogador, jogador
esperou, esperar
a, o
saída, saída
do, de o
goleiro, goleiro
para, para
chutar, chutar
forte, forte
., .

, 

A, o
jogada, jogada
revelou, revelar
também, também
um, um
dos, de o
aspectos, aspecto
decisivos, decisivo
da, de o
tática, tática
elaborada, elaborar
pelo, por o
técnico, técnico
Murici, Murici
., .
Com, com
a, o
equipe, equipe
formada, formar
por, por
jogadores, jogador
que, que
foram, ser
campeões, campeão
no, em o
ano, ano
passado, passado
,, ,
o, o
treinador, treinador
apostou, apostar
no, em o
entrosamento, entrosamento
já, já
elaborado, elaborar
entre, entre
os, o
jogadores, jogador
., .
A, o
história, história
confirma, confirmar
o, o
sucesso, sucesso
da, de o
empreitada, empreitar
:, :
na, em o
final, final
do, de o
ano, ano
passado, passado
,, ,
quando, quando
o, o
São, São
Paulo, Paulo
venceu, vencer
o, o
Corinthians, Corinthians
(, (
4, 4
a, a
3, 3
), )
,, ,
Catê, Catê
fez, fazer
um, um
gol, gol
e, e
Jamelli, Jamelli
os, o
outros, outro
três, três
., .

, 

Catê, Catê
colecionou, colecionar
depois, depois
outro, outro
título, título
importante, importante
,, ,
o, o
de, de
campeão, campeão
mundial, mundial
de, de
juniores, juniores
,, ,
pela, por o
seleção, seleção
brasileira, brasileiro
,, ,
que, que
venceu, vencer
Gana, Gana
,, ,
na, em o
final, final
disputada, disputar
na, em o
Austrália, Austrália
., .
Conduzido, conduzir
ao, a o
time, time
profissional, profissional
por, por
Telê, Telê
Santana, Santana
,, ,
Catê, Catê
aumentou, aumentar
sua, seu
experiência, experiência
internacional, internacional
ao, a o
participar, participar
de, de
uma, um
excursão, excursão
na, em o
Espanha, Espanha
,, ,
em, em
agosto, agosto
passado, passado
., .

, 

Ao, a o
lado, lado
de, de
Rogério, Rogério
e, e
Jamelli, Jamelli
,, ,
enfrentou, enfrentar
a, o
Lazio, Lazio
(, (
equipe, equipe
italiana, italiano
dos, de o
ingleses, inglês
Platt, Platt
e, e
Gascoigne, Gascoigne
), )
,, ,
a, o
Sampdoria, Sampdoria
e, e
o, o
Barcelona, Barcelona
., .
Os, o
problemas, problema
começaram, começar
,, ,
porém, porém
,, ,
no, em o
Campeonato, Campeonato
Brasileiro, Brasileiro
., .
Um, um
atraso, atraso
na, em o
apresentação, apresentação
para, para
a, o
concentração, concentração
o, ele
afastou, afastar
do, de o
time, time
., .
Telê, Telê
não, não
gostou, gostar
da, de o
atitude, atitude
e, e
riscou, riscar
seu, seu
nome, nome
dos, de o
planos, plano
para, para
94, 94
., .

, 

No, em o
mês, mês
passado, passado
,, ,
o, o
São, São
Paulo, Paulo
acertou, acertar
o, o
empréstimo, empréstimo
de, de
seu, seu
passe, passe
ao, a o
Cruzeiro, Cruzeiro
,, ,
por, por
US$, US$
100, 100
mil, mil
,, ,
durante, durante
um, um
ano, ano
,, ,
com, com
o, o
preço, preço
fixado, fixar
em, em
US$, US$
1, 1
milhão, milhão
., .
Consciente, consciente
da, de o
necessidade, necessidade
de, de
sua, seu
função, função
na, em o
equipe, equipe
,, ,
o, o
técnico, técnico
Murici, Murici
convenceu, convencer
os, o
dirigentes, dirigente
a, a
manter, manter
o, o
jogador, jogador
durante, durante
a, o
Copa, Copa
São, São
Paulo, Paulo
., .
", "
Foi, ser
um, um
reconhecimento, reconhecimento
", "
,, ,
reconhece, reconhecer
Catê, Catê
., .
", "
Minha, minha
única, único
resposta, resposta
só, só
poderia, poder
acontecer, acontecer
dentro, dentro
de, de
campo, campo
., .
", "

, 

