Uma, ﻿Uma
falha, falha
na, em o
estatística, estatística
oficial, oficial
da, de o
carreira, carreira
de, de
Pelé, Pelé
fez, fazer
comemorar, comemorar
erroneamente, erroneamente
o, o
milésimo, milésimo
gol, gol
do, de o
jogador, jogador
no, em o
Maracanã, maracanã
., .

, 

Na, em o
verdade, verdade
o, o
`, `
`, `
gol, gol
mil, mil
'', ''
aconteceu, acontecer
na, em o
Paraíba, Paraíba
,, ,
no, em o
jogo, jogo
Botafogo, Botafogo
/, /
PB, PB
0, 0
x, x
3, 3
Santos, Santos
,, ,
também, também
de, de
pênalti, pênalti
,, ,
no, em o
goleiro, goleiro
Lula, Lula
., .

, 

O, o
erro, erro
de, de
contagem, contagem
foi, ser
constatado, constatar
em, em
um, um
jogo, jogo
de, de
1959, 1959
_, _
quando, quando
o, o
atleta, atleta
servia, servia
o, o
Exército, Exército
_, _
válido, válido
pelo, por o
primeiro, primeiro
Sul-Americano, Sul-Americano
Militar, Militar
de, de
Futebol, Futebol
., .

, 

Pelo, por o
levantamento, levantamento
oficial, oficial
feito, fazer
pelo, por o
jornalista, jornalista
De, de
Vaney, Vaney
,, ,
o, o
jogo, jogo
entre, entre
as, o
Forças, Forças
Armadas, Armadas
do, de o
Brasil, Brasil
e, e
do, de o
Paraguai, Paraguai
teria, ter
acontecido, acontecer
em, em
5, 5
de, de
novembro, novembro
de, de
1959, 1959
,, ,
terminado, terminar
4, 4
a, a
3, 3
para, para
os, o
brasileiros, brasileiro
e, e
sem, sem
que, que
Pelé, Pelé
tivesse, ter
marcado, marcar
gol, gol
algum, algum
., .

, 

A, o
Folha, Folha
descobriu, descobrir
que, que
estes, este
dados, dado
estão, estar
incorretos, incorreto
., .

, 

De, de
acordo, acordo
com, com
os, o
jornais, jornal
da, de o
época, época
,, ,
esta, este
partida, partida
aconteceu, acontecer
em, em
18, 18
de, de
novembro, novembro
,, ,
terminou, terminar
4, 4
a, a
1, 1
para, para
o, o
Brasil, Brasil
e, e
Pelé, Pelé
marcou, marcar
um, um
gol, gol
,, ,
o, o
segundo, segundo
da, de o
partida, partida
., .

, 

Naquele, em aquele
dia, dia
,, ,
Pelé, Pelé
fez, fazer
o, o
juramento, juramento
do, de o
atleta, atleta
na, em o
abertura, abertura
do, de o
evento, evento
,, ,
que, que
contou, contar
também, também
com, com
a, o
Argentina, Argentina
., .

, 

O, o
jogo, jogo
começou, começar
favorável, favorável
ao, a o
Brasil, Brasil
,, ,
que, que
marcou, marcar
aos, a o
4min, 4min
., .
Os, o
paraguaios, paraguaio
empataram, empatar
aos, a o
15min, 15min
., .

, 

No, em o
segundo, segundo
tempo, tempo
,, ,
os, o
brasileiros, brasileiro
jogaram, jogar
melhor, bom
., .
Pelé, Pelé
marcou, marcar
aos, a o
9min, 9min
e, e
Valter, Valter
aos, a o
31min, 31min
e, e
aos, a o
37min, 37min
., .

, 

Por, por
três, três
meses, mês
,, ,
a, o
Folha, Folha
pesquisou, pesquisar
o, o
passado, passado
do, de o
jogador, jogador
,, ,
cruzando, cruzar
dados, dado
de, de
12, 12
jornais, jornal
com, com
súmulas, súmula
do, de o
arquivo, arquivo
do, de o
Santos, Santos
., .

, 

