O, ﻿O
processo, processo
do, de o
Superior, Superior
Tribunal, Tribunal
de, de
Justiça, Justiça
Desportiva, Desportiva
contra, contra
Edmundo, Edmundo
,, ,
pelas, por o
ofensas, ofensa
do, de o
jogador, jogador
,, ,
foi, ser
arquivado, arquivar
ontem, ontem
., .

, 

Isso, isso
aconteceu, acontecer
depois, depois
de, de
lido, ler
o, o
pedido, pedido
de, de
desculpas, desculpa
do, de o
atacante, atacante
do, de o
Palmeiras, Palmeiras
., .

, 

Nele, em ele
,, ,
o, o
jogador, jogador
se, se
diz, dizer
`, `
`, `
profundamente, profundamente
arrependido, arrepender
'', ''
das, de o
palavras, palavra
que, que
usou, usar
., .

, 

Ele, ele
pediu, pedir
desculpas, desculpa
`, `
`, `
do, de o
fundo, fundo
do, de o
coração, coração
'', ''
e, e
disse, dizer
que, que
estava, estar
`, `
`, `
privado, privado
da, de o
razão, razão
'', ''
quando, quando
pronunciou, pronunciar
as, o
ofensas, ofensa
., .

, 

Edmundo, Edmundo
havia, haver
chamado, chamar
o, o
presidente, presidente
do, de o
STJD, STJD
,, ,
Luís, Luís
Zveiter, Zveiter
,, ,
de, de
`, `
`, `
incompetente, incompetente
'', ''
e, e
afirmado, afirmar
que, que
o, o
tribunal, tribunal
manipulava, manipular
resultados, resultado
., .

, 

A, o
ausência, ausência
de, de
um, um
juiz, juiz
adiou, adiar
para, para
a, o
próxima, próximo
quinta, quinta
a, o
votação, votação
da, de o
revisão, revisão
da, de o
pena, pena
de, de
um, um
dia, dia
e, e
quatro, quatro
jogos, jogo
de, de
Edmundo, Edmundo
,, ,
a, o
parte, parte
não, não
cumprida, cumprir
da, de o
suspensão, suspensão
de, de
40, 40
dias, dia
e, e
4, 4
jogos, jogo
que, que
recebeu, receber
., .

, 

