A, ﻿A
diretoria, diretoria
do, de o
Palmeiras, Palmeiras
promete, prometer
divulgar, divulgar
o, o
nome, nome
do, de o
novo, novo
técnico, técnico
da, de o
equipe, equipe
após, após
o, o
jogo, jogo
de, de
domingo, domingo
,, ,
contra, contra
o, o
Corinthians, Corinthians
., .

, 

", "
Estamos, estar
analisando, analisar
alguns, algum
nomes, nome
para, para
escolher, escolher
o, o
mais, mais
adequado, adequado
para, para
o, o
Palmeiras, Palmeiras
'', ''
,, ,
afirmou, afirmar
à, a o
Folha, Folha
Gilberto, Gilberto
Cipulo, Cipulo
,, ,
diretor, diretor
de, de
futebol, futebol
., .

, 

Carlos, Carlos
Alberto, Alberto
Silva, Silva
,, ,
do, de o
Cruzeiro, Cruzeiro
,, ,
Mário, Mário
Sérgio, Sérgio
,, ,
ex-Corinthians, ex-Corinthians
,, ,
e, e
Nelsinho, Nelsinho
Rosa, Rosa
,, ,
ex-Vasco, ex-Vasco
,, ,
são, ser
os, o
mais, mais
cotados, cotado
., .

, 

Márcio, Márcio
Araújo, Araújo
responde, responder
interinamente, interinamente
pelo, por o
cargo, cargo
de, de
treinador, treinador
até, até
domingo, domingo
., .

, 

Os, o
jogadores, jogador
participaram, participar
de, de
um, um
treino, treino
coletivo, coletivo
ontem, ontem
pela, por o
manhã, manhã
na, em o
Academia, Academia
de, de
Futebol, Futebol
da, de o
Lapa, Lapa
(, (
zona, zona
oeste, oeste
), )
., .

, 

", "
O, o
elenco, elenco
sente, sentir
a, o
mudança, mudança
de, de
técnico, técnico
,, ,
mas, mas
eu, eu
pretendo, pretender
dar, dar
o, o
máximo, máximo
ao, a o
clube, clube
,, ,
mesmo, mesmo
que, que
seja, ser
por, por
apenas, apenas
um, um
jogo, jogo
'', ''
,, ,
afirmou, afirmar
Márcio, Márcio
Araújo, Araújo
., .

, 

Ele, ele
pretende, pretender
definir, definir
a, o
equipe, equipe
na, em o
véspera, véspera
do, de o
jogo, jogo
., .
`, `
`, `
Tenho, ter
que, que
esperar, esperar
os, o
cinco, cinco
jogadores, jogador
que, que
estão, estar
em, em
Tel, Tel
Aviv, Aviv
com, com
a, o
seleção, seleção
para, para
saber, saber
como, como
eles, eles
estão, estar
., .
'', ''

, 

", "
Estamos, estar
tristes, triste
,, ,
um, um
pouco, pouco
perdidos, perder
., .
É, ser
esquisita, esquisito
a, o
situação, situação
'', ''
,, ,
afirmou, afirmar
o, o
volante, volante
Mancuso, Mancuso
., .
", "
Primeiro, primeiro
sai, sair
o, o
técnico, técnico
,, ,
nós, nós
podemos, poder
ser, ser
os, o
próximos, próximo
., .
'', ''

, 

Mancuso, Mancuso
lembrou, lembrar
que, que
a, o
situação, situação
começou, começar
a, a
ficar, ficar
difícil, difícil
quando, quando
houve, haver
o, o
atraso, atraso
no, em o
pagamento, pagamento
de, de
prêmios, prêmio
aos, a o
jogadores, jogador
., .

, 

", "
Eu, eu
não, não
concordo, concordo
que, que
trocar, trocar
de, de
técnico, técnico
dá, dar
outra, outro
motivação, motivação
ao, a o
time, time
., .
Temos, ter
que, que
suar, suar
a, o
camisa, camisa
sempre, sempre
., .
'', ''

, 

Antônio, Antônio
Carlos, Carlos
,, ,
que, que
se, se
recupera, recuperar
de, de
contusão, contusão
e, e
não, não
treinou, treinar
ontem, ontem
,, ,
também, também
lamentou, lamentar
a, o
saída, saída
de, de
Espinosa, Espinosa
., .

, 

", "
Hoje, hoje
(, (
ontem, ontem
), )
o, o
ambiente, ambiente
está, estar
esquisito, esquisito
'', ''
,, ,
disse, dizer
o, o
zagueiro, zagueiro
., .

, 

", "
O, o
jogo, jogo
contra, contra
o, o
Corinthians, Corinthians
é, ser
um, um
clássico, clássico
., .
Se, se
a, o
gente, gente
vencer, vencer
,, ,
o, o
astral, astral
pode, poder
mudar, mudar
., .
'', ''

, 

