Há, ﻿Há
quatro, quatro
anos, ano
ele, ele
vinha, vir
se, se
mantendo, manter
na, em o
lista, lista
dos, de o
15, 15
melhores, bom
resorts, resort
(, (
hotéis, hotel
de, de
lazer, lazer
), )
dos, de o
Estados, Estados
Unidos, Unidos
., .
Em, em
1994, 1994
,, ,
ele, ele
se, se
superou, superar
_, _
foi, ser
classificado, classificar
em, em
9º., 9º.
Agora, Agora
o, o
The, The
Phoenician, Phoenician
quer, querer
o, o
pódio, pódio
., .

, 

Afinal, afinal
,, ,
a, o
mesma, mesmo
`, `
`, `
Conde, Conde
Nast, Nast
Traveler, Traveler
'', ''
(, (
revista, revista
norte-americana, norte-americano
que, que
traz, trazer
anualmente, anualmente
o, o
ranking, ranking
do, de o
turismo, turismo
), )
considerou, considerar
o, o
The, The
Phoenician, Phoenician
o, o
42º, 42º
melhor, bom
produto, produto
turístico, turístico
do, de o
mundo, mundo
., .
Nada, nada
mal, mal
para, para
um, um
resort, resort
que, que
ainda, ainda
vai, ir
fazer, fazer
oito, oito
anos, ano
., .

, 

Estrategicamente, estrategicamente
instalado, instalar
na, em o
base, base
da, de o
Camelback, Camelback
Mountain, Mountain
,, ,
em, em
Scottsdale, Scottsdale
,, ,
cidade, cidade
vizinha, vizinho
a, a
Phoenix, Phoenix
,, ,
o, o
The, The
Phoenician, Phoenician
é, ser
um, um
oásis, oásis
cercado, cercar
de, de
cactos, cacto
por, por
todos, todo
os, o
lados, lado
no, em o
tórrido, tórrido
deserto, deserto
do, de o
Arizona, Arizona
., .

, 

Para, para
amenizar, amenizar
a, o
temperatura, temperatura
que, que
no, em o
verão, verão
(, (
maio, maio
a, a
setembro, setembro
), )
oscila, oscila
entre, entre
24, 24
e, e
32, 32
graus, grau
(, (
média, média
), )
,, ,
mas, mas
que, que
pode, poder
bater, bater
fácil, fácil
os, o
40, 40
graus, grau
,, ,
o, o
resort, resort
contra-ataca, contra-ataco
com, com
sete, sete
piscinas, piscina
_, _
uma, um
delas, de ele
,, ,
pasmem, pasmer
,, ,
revestida, revestir
de, de
madrepérolas, madrepérola
., .

, 

Não, não
é, ser
tudo, tudo
., .
Climatizadas, Climatizadas
,, ,
mantêm, manter
29, 29
graus, grau
,, ,
assim, assim
como, como
as, o
quatro, quatro
hidromassagens, hidromassagem
_, _
elas, ele
,, ,
e, e
seu, seu
badaladíssimo, badaladíssimo
Centro, Centro
de, de
Bem-Estar, Bem-Estar
(, (
leia, ler
texto, texto
na, em o
pág., pág.
6-16, 6-16
), )
,, ,
são, ser
excelentes, excelente
terapias, terapia
para, para
quem, quem
optou, optar
por, por
conhecer, conhecer
o, o
Arizona, Arizona
a, a
cavalo, cavalo
,, ,
de, de
jipe, jipe
ou, ou
num, em um
bote, bote
inflável, inflável
., .

, 

Para, para
quem, quem
está, estar
pensando, pensar
em, em
viajar, viajar
para, para
os, o
EUA, EUA
entre, entre
maio, maio
e, e
setembro, setembro
,, ,
o, o
Phoenician, Phoenician
agora, agora
tem, ter
um, um
bom, bom
pretexto, pretexto
para, para
o, o
Arizona, Arizona
ser, ser
incluído, incluir
nesse, em esse
roteiro, roteiro
_, _
as, o
diárias, diária
despencam, despencar
de, de
salgados, salgado
US$, US$
349, 349
para, para
US$, US$
196, 196
(, (
R$, R$
176,4, 176,4
mil, mil
), )
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
o, o
The, The
Phoenician, Phoenician
e, e
roteiros, roteiro
no, em o
Arizona, Arizona
nas, em o
págs, págs
., .
6-14, 6-14
e, e
6-16, 6-16
., .

, 

A, o
jornalista, jornalista
PATRÍCIA, PATRÍCIA
TRUDES, TRUDES
DA, de o
VEIGA, VEIGA
,, ,
editora, editora
de, de
Empregos, Empregos
,, ,
viajou, viajar
a, a
convite, convite
da, de o
American, American
Airlines, Airlines
,, ,
Designer, Designer
Operadora, Operadora
de, de
Viagens, Viagens
,, ,
The, The
Phoenician, Phoenician
Resort, Resort
,, ,
Phoenix, Phoenix
&, &
Valley, Valley
of, of
the, the
Sun, Sun
Convention, Convention
&, &
Visitors, Visitors
Bureau, Bureau
e, e
Scottsdale, Scottsdale
Convention, Convention
&, &
Visitors, Visitors
Bureau, Bureau
., .

, 

