O, ﻿O
engenheiro, engenheiro
da, de o
equipe, equipe
de, de
Gugelmin, Gugelmin
será, ser
o, o
inglês, inglês
Morris, Morris
Nunn, Nunn
,, ,
que, que
venceu, vencer
as, o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
e, e
o, o
campeonato, campeonato
de, de
89, 89
com, com
Emerson, Emerson
Fittipaldi, Fittipaldi
., .
", "
Não, não
poderia, poder
ter, ter
engenheiro, engenheiro
melhor, melhor
,, ,
especialmente, especialmente
para, para
circuitos, circuito
ovais, oval
,, ,
onde, onde
preciso, preciso
aprender, aprender
mais, mais
sobre, sobre
acerto, acerto
dos, de o
carros, carro
", "
,, ,
disse, dizer
Maurício, Maurício
., .

, 

A, o
Chip, Chip
Ganassi, Ganassi
vai, ir
usar, usar
os, o
novos, novo
chassis, chassi
Reynard, Reynard
e, e
seus, seu
carros, carro
terão, ter
motor, motor
Ford, Ford
., .
Ao, ao
lado, lado
da, de o
Penske, Penske
e, e
da, de o
Newman-Haas, Newman-Haas
,, ,
é, ser
uma, um
das, de o
três, três
maiores, grande
forças, força
da, de o
Indy, Indy
., .
", "
Ainda, ainda
é, ser
cedo, cedo
para, para
pensar, pensar
em, em
título, título
,, ,
mas, mas
acho, achar
que, que
dá, dar
para, para
lutar, lutar
por, por
vitórias, vitória
", "
,, ,
falou, falar
Gugelmin, Gugelmin
., .

, 

