O, ﻿O
uso, uso
de, de
câmeras, câmera
de, de
vídeo, vídeo
em, em
estádios, estádio
é, ser
disseminado, disseminar
na, em o
Europa, Europa
., .
As, o
câmeras, câmera
normalmente, normalmente
ficam, ficar
escondidas, escondido
ou, ou
mimetizadas, mimetizar
em, em
lâmpadas, lâmpada
,, ,
para, para
evitar, evitar
sabotagens, sabotagem
., .

, 

Elas, elas
são, ser
acionadas, acionar
e, e
movidas, movir
por, por
controle, controle
remoto, remoto
,, ,
a, a
partir, partir
de, de
uma, um
sala, sala
de, de
controle, controle
., .
A, o
polícia, polícia
recebe, receber
as, o
imagens, imagem
nessas, em esse
salas, sala
., .

, 

No, em o
caso, caso
de, de
um, um
distúrbio, distúrbio
em, em
alguma, algum
parte, parte
do, de o
estádio, estádio
,, ,
as, o
câmeras, câmera
são, ser
direcionadas, direcionar
para, para
a, o
área, área
., .

, 

Na, em o
hora, hora
,, ,
os, o
policiais, policial
na, em o
sala, sala
de, de
controle, controle
podem, poder
orientar, orientar
o, o
procedimento, procedimento
de, de
seus, seu
colegas, colega
em, em
campo, campo
., .

, 

Depois, depois
,, ,
a, o
polícia, polícia
analisa, analisar
as, o
imagens, imagem
,, ,
que, que
podem, poder
ser, ser
ampliadas, ampliar
e, e
impressas, impressa
,, ,
como, como
fotografias, fotografia
., .

, 

Este, este
ano, ano
,, ,
um, um
torcedor, torcedor
genovês, genovês
foi, ser
morto, matar
antes, antes
de, de
uma, um
partida, partida
na, em o
Itália, Itália
., .
As, o
imagens, imagem
de, de
vídeo, vídeo
permitiram, permitir
identificar, identificar
um, um
jovem, jovem
bastante, bastante
nervoso, nervoso
quando, quando
a, o
notícia, notícia
foi, ser
dada, dar
pelos, por o
alto-falantes, alto-falante
do, de o
estádio, estádio
., .

, 

Ele, ele
procurou, procurar
um, um
amigo, amigo
e, e
trocou, trocar
de, de
jaqueta, jaqueta
com, com
ele, ele
., .
A, o
polícia, polícia
italiana, italiano
deteve, deter
o, o
jovem, jovem
em, em
Milão, Milão
., .
Interrogado, interrogado
,, ,
ele, ele
confessou, confessar
o, o
crime, crime
,, ,
ocorrido, ocorrer
fora, fora
do, de o
estádio, estádio
., .
(, (
HuSa, HuSa
), )

, 

