A, ﻿A
torcida, torcidar
organizada, organizar
Gaviões, Gaviões
da, de o
Fiel, Fiel
decidiu, decidir
agir, agir
contra, contra
os, o
arrastões, arrastão
nos, em o
estádios, estádio
de, de
futebol, futebol
., .
", "
Sócio, Sócio
da, de o
Gaviões, Gaviões
que, que
for, ser
pego, pegar
participando, participar
de, de
saques, saque
terá, ter
sua, seu
camisa, camisa
e, e
carteirinha, carteirinha
confiscada, confiscado
", "
,, ,
disse, dizer
José, José
Claudio, Claudio
de, de
Almeida, Almeida
Moraes, Moraes
,, ,
o, o
Dentinho, Dentinho
,, ,
presidente, presidente
da, de o
Gaviões, Gaviões
., .
O, o
confisco, confisco
da, de o
carteirinha, carteirinha
significa, significar
,, ,
na, em o
prática, prática
,, ,
a, o
desfiliação, desfiliação
., .

, 

Dentinho, dentinho
,, ,
34, 34
,, ,
disse, dizer
que, que
é, ser
impossível, impossível
para, para
a, o
Gaviões, Gaviões
impedir, impedir
os, o
arrastões, arrastão
em, em
jogos, jogo
do, de o
Corinthians, Corinthians
,, ,
mas, mas
afirmou, afirmar
que, que
na, em o
área, área
da, de o
sua, seu
torcida, torcida
haverá, haver
segurança, segurança
., .
Ambulantes, ambulante
apontam, apontar
a, o
Gaviões, Gaviões
como, como
uma, um
das, de o
torcidas, torcida
em, em
que, que
há, haver
mais, mais
arrastões, arrastão
., .

, 

", "
Os, o
arrastões, arrastão
criam, criar
uma, um
imagem, imagem
negativa, negativo
para, para
nós, nós
., .
É, ser
preciso, preciso
acabar, acabar
com, com
eles, eles
", "
,, ,
disse, dizer
Renato, Renato
Rocha, Rocha
Viana, Viana
,, ,
26, 26
,, ,
o, o
Renato, Renato
Branco, Branco
,, ,
tesoureiro, tesoureiro
da, de o
Gaviões, Gaviões
., .
Dentinho, Dentinho
acrescenta, acrescentar
que, que
o, o
público, público
da, de o
Copa, copa
SP, SP
não, não
é, ser
o, o
do, de o
futebol, futebol
., .
", "
Tem, ter
muito, muito
adolescente, adolescente
,, ,
desempregado, desempregado
,, ,
galerinha, galerinhar
de, de
bairro, bairro
,, ,
gente, gente
que, que
só, só
vai, ir
porque, porque
a, o
entrada, entrada
é, ser
grátis, grátis
., .
", "
Para, para
ele, ele
,, ,
a, o
solução, solução
é, ser
cobrar, cobrar
ingresso, ingresso
nos, em o
jogos, jogo
da, de o
Copa, copa
., .
Ele, ele
admitiu, admitir
,, ,
porém, porém
,, ,
que, que
não, não
tem, ter
controle, controle
sobre, sobre
os, o
seus, seu
associados, associado
., .
", "
32, 32
mil, mil
pessoas, pessoa
é, ser
muita, muito
gente, gente
., .
", "

, 

O, o
secretário, secretário
da, de o
torcida, torcida
,, ,
Renato, Renato
Luís, Luís
de, de
Souza, Souza
,, ,
o, o
Renato, Renato
Preto, Preto
,, ,
20, 20
,, ,
diz, dizer
que, que
a, o
Gaviões, Gaviões
está, estar
muitas, muitas
vezes, vez
levando, levar
uma, um
culpa, culpa
que, que
não, não
merece, merecer
., .
Segundo, segundo
eles, eles
,, ,
muitas, muito
das, de o
pessoas, pessoa
envolvidas, envolver
usam, usar
camisas, camisa
", "
falsificadas, falsificar
", "
da, de o
Gaviões, Gaviões
., .
", "
Só, só
na, em o
partida, partida
contra, contra
o, o
Cruzeiro, Cruzeiro
tomamos, tomar
,, ,
mas, mas
sem, sem
violência, violência
,, ,
30, 30
camisas, camisa
falsas, falso
", "
,, ,
conta, contar
., .
Essas, esse
camisas, camisa
são, ser
protegidas, proteger
por, por
patente, patente
e, e
só, só
podem, poder
ser, ser
vendidas, vender
a, a
associados, associado
e, e
ainda, ainda
assim, assim
sob, sob
certas, certo
restrições, restrição
., .
Uma, um
delas, de ele
é, ser
que, que
ela, ela
não, não
pode, poder
ser, ser
usada, usar
fora, fora
de, de
dia, dia
de, de
jogos, jogo
., .
", "
Já, já
fizemos, fizemos
uma, um
denúncia, denúncia
à, a o
fiscalização, fiscalização
das, de o
regionais, regional
,, ,
mas, mas
ainda, ainda
tem, ter
muita, muito
camisa, camisa
à, a o
venda, venda
em, em
ambulantes, ambulante
na, em o
porta, porta
dos, de o
estádios, estádio
e, e
no, em o
centro, centro
", "
,, ,
completou, completar
Dentinho, Dentinho
., .
(, (
MD, MD
), )

, 

