Após, ﻿Após
fraturar, fraturar
um, um
osso, osso
da, de o
base, base
do, de o
pé, pé
esquerdo, esquerdo
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
André, André
retorna, retornar
hoje, hoje
ao, a o
time, time
do, de o
São, São
Paulo, Paulo
., .

, 

Ele, ele
não, não
joga, jogar
desde, desde
o, o
dia, dia
12, 12
de, de
março, março
., .

, 

", "
Apesar, apesar
da, de o
falta, falta
de, de
ritmo, ritmo
,, ,
vou, ir
voltar, voltar
ainda, ainda
melhor, bom
'', ''
,, ,
prometeu, prometer
., .

, 

(, (
AR, AR
), )

, 

Folha, Folha
-, -
Como, como
foi, ser
a, o
sua, seu
recuperação, recuperação
?, ?

, 

André, André
-, -
Foi, ser
muito, muito
difícil, difícil
., .
Eu, eu
perdi, perdi
uns, um
sete, sete
quilos, quilo
e, e
,, ,
praticamente, praticamente
,, ,
toda, todo
a, o
musculatura, musculatura
das, de o
pernas, perna
., .
Passava, Passava
de, de
seis, seis
a, a
sete, sete
horas, hora
por, por
dia, dia
fazendo, fazer
fisioterapia, fisioterapia
no, em o
São, São
Paulo, Paulo
., .
Mas, mas
agora, agora
estou, estar
completamente, completamente
recuperado, recuperar
., .

, 

Folha, Folha
-, -
Você, você
espera, esperar
voltar, voltar
rapidamente, rapidamente
à, a o
seleção, seleção
?, ?

, 

André, André
-, -
Com, com
certeza, certeza
., .
Fiquei, Fiquei
muito, muito
feliz, feliz
ao, a o
saber, saber
que, que
o, o
pessoal, pessoal
da, de o
CBF, CBF
telefonou, telefonar
para, para
saber, saber
como, como
estava, estar
me, eu
recuperando, recuperar
., .
Devo, Devo
disputar, disputar
a, o
vaga, vaga
de, de
titular, titular
na, em o
seleção, seleção
com, com
o, o
Roberto, Roberto
Carlos, Carlos
e, e
tenho, ter
que, que
estar, estar
muito, muito
bem, bem
para, para
ficar, ficar
com, com
ela, ele
., .

, 

Folha, Folha
-, -
O, o
São, São
Paulo, Paulo
tenta, tentar
contratar, contratar
um, um
novo, novo
lateral, lateral
e, e
o, o
Telê, Telê
disse, dizer
que, que
pode, poder
aproveitar, aproveitar
você, você
no, em o
meio, meio
..., ...

, 

André, André
-, -
Se, se
vier, vier
um, um
outro, outro
lateral, lateral
,, ,
será, ser
para, para
ficar, ficar
na, em o
reserva, reserva
., .
Eu, eu
comecei, começar
a, o
carreira, carreira
como, como
meia, meia
,, ,
mas, mas
hoje, hoje
me, eu
considero, considerar
um, um
lateral, lateral
nato, nato
., .
Mudei, Mudei
todo, todo
o, o
meu, meu
desempenho, desempenho
físico, físico
para, para
me, eu
adaptar, adaptar
à, a o
posição, posição
e, e
não, não
seria, ser
agora, agora
que, que
iria, ir
mudar, mudar
., .
Só, só
jogo, jogo
no, em o
meio, meio
para, para
colaborar, colaborar
., .

, 

