As, ﻿As
jogadoras, jogadora
da, de o
seleção, seleção
feminina, feminino
foram, ser
liberadas, liberar
do, de o
treino, treino
de, de
ontem, ontem
à, a o
tarde, tarde
no, em o
Rio, Rio
., .

, 

O, o
motivo, motivo
foi, ser
o, o
casamento, casamento
da, de o
meio-de-rede, meio-de-rede
Ana, Ana
Paula, Paula
com, com
o, o
jogador, jogador
de, de
basquete, basquete
Jeffty, Jeffty
Connely, Connely
,, ,
que, que
aconteceria, acontecer
às, a o
20h, 20h
,, ,
em, em
Belo, Belo
Horizonte, Horizonte
., .

, 

A, o
equipe, equipe
terá, ter
folga, folga
no, em o
fim-de-semana, fim-de-semana
., .
A, o
reapresentação, reapresentação
será, ser
segunda-feira, segunda-feiro
,, ,
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
., .

, 

Dia, Dia
12, 12
,, ,
o, o
time, time
viaja, viajar
para, para
os, o
Estados, Estados
Unidos, Unidos
onde, onde
disputa, disputar
uma, um
série, série
de, de
amistosos, amistoso
., .

, 

A, o
jogadora, jogadora
Virna, Virna
,, ,
que, que
acertou, acertar
sua, seu
transferência, transferência
para, para
o, o
Sollo, Sollo
/, /
Tietê, Tietê
,, ,
comentou, comentar
que, que
a, o
disputa, disputa
da, de o
Superliga, Superliga
Nacional, Nacional
,, ,
encerrada, encerrar
em, em
abril, abril
,, ,
ajudou, ajudar
a, o
equipe, equipe
., .

, 

`, `
`, `
É, ser
importante, importante
que, que
o, o
vôlei, vôlei
do, de o
Brasil, Brasil
fique, fique
cada, cada
vez, vez
mais, mais
competitivo, competitivo
., .
'', ''

, 

A, o
atleta, atleta
,, ,
que, que
defendeu, defender
o, o
L'Ácqua, L'Ácqua
na, em o
última, último
temporada, temporada
,, ,
está, estar
animada, animado
para, para
jogar, jogar
em, em
São, São
Paulo, Paulo
., .

, 

`, `
`, `
Sem, sem
dúvida, dúvida
,, ,
é, ser
o, o
maior, grande
centro, centro
esportivo, esportivo
do, de o
país, país
'', ''
,, ,
afirmou, afirmar
., .

, 

Pelo, pelo
Circuito, Circuito
Mundial, Mundial
de, de
Vôlei, Vôlei
de, de
Praia, Praia
,, ,
na, em o
etapa, etapa
da, de o
Flórida, Flórida
(, (
EUA, EUA
), )
,, ,
as, o
atuais, atual
campeãs, campeã
mundiais, mundial
,, ,
Mônica, Mônica
e, e
Adriana, Adriana
,, ,
venceram, vencer
as, o
mexicanas, mexicana
Sotto, Sotto
e, e
Marquez, Marquez
,, ,
por, por
15, 15
a, a
3, 3
., .

, 

Jacqueline, Jacqueline
e, e
Sandra, Sandra
derrotaram, derrotar
Reno, Reno
e, e
McPeack, McPeack
,, ,
dos, de o
EUA, EUA
,, ,
por, por
15, 15
a, a
8, 8
,, ,
Karina, Karina
e, e
Renata, Renata
superaram, superar
Ji, Ji
e, e
Kim, Kim
,, ,
da, de o
Coréia, Coréia
,, ,
por, por
15, 15
a, a
4, 4
e, e
Magda, Magda
e, e
Adriana, Adriana
Behar, Behar
venceram, vencer
Sotto, Sotto
e, e
Uerta, Uerta
,, ,
do, de o
México, México
,, ,
15, 15
a, a
1, 1
., .

, 

No, em o
masculino, masculino
,, ,
os, o
atuais, atual
campeões, campeão
brasileiros, brasileiro
,, ,
Franco, Franco
e, e
Roberto, Roberto
Lopes, Lopes
,, ,
derrotaram, derrotar
os, o
sul-coreanos, sul-coreano
Kim, Kim
e, e
Mah, Mah
,, ,
por, por
15, 15
a, a
1, 1
,, ,
e, e
Hamilton, Hamilton
e, e
Hamilton, Hamilton
,, ,
da, de o
Nova, Nova
Zelândia, Zelândia
,, ,
por, por
15, 15
a, a
8, 8
., .

, 

