Um, ﻿Um
jogo, jogo
comemorativo, comemorativo
entre, entre
Santos, Santos
e, e
Botafogo, Botafogo
paraibano, paraibano
é, ser
o, o
projeto, projeto
do, de o
governo, governo
da, de o
Paraíba, Paraíba
para, para
comemorar, comemorar
o, o
milésimo, milésimo
gol, gol
de, de
Pelé, Pelé
., .

, 

A, o
partida, partida
seria, ser
disputada, disputar
entre, entre
as, o
equipes, equipe
atuais, atual
e, e
os, o
times, time
que, que
em, em
14, 14
de, de
novembro, novembro
de, de
1969, 1969
disputaram, disputar
o, o
jogo, jogo
do, de o
gol, gol
número, número
1.000, 1.000
do, de o
camisa, camisa
dez, dez
do, de o
Santos, Santos
., .

, 

A, o
Folha, folha
recontou, recontar
os, o
gols, gol
de, de
Pelé, Pelé
e, e
descobriu, descobrir
que, que
o, o
milésimo, milésimo
gol, gol
não, não
aconteceu, acontecer
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
,, ,
frente, frente
ao, a o
Vasco, Vasco
,, ,
no, em o
dia, dia
19, 19
de, de
novembro, novembro
de, de
1969, 1969
,, ,
e, e
sim, sim
em, em
João, João
Pessoa, Pessoa
,, ,
quatro, quatro
dias, dia
antes, antes
,, ,
diante, diante
do, de o
Botafogo, Botafogo
da, de o
Paraíba, Paraíba
., .

, 

O, o
projeto, projeto
vai, ir
ser, ser
apresentado, apresentar
ao, a o
ex-jogador, ex-jogador
,, ,
que, que
atualmente, atualmente
é, ser
o, o
ministro, ministro
de, de
Esportes, esporte
,, ,
nesta, em este
sexta-feira, sexta-feira
., .

, 

O, o
secretário, secretário
de, de
Educação, Educação
e, e
Desportos, Desportos
da, de o
Paraíba, Paraíba
,, ,
Everaldo, Everaldo
Lucena, Lucena
,, ,
tem, ter
um, um
audiência, audiência
marcada, marcar
com, com
Pelé, Pelé
,, ,
em, em
Brasília, Brasília
,, ,
sexta, sexta
,, ,
às, a o
15h, 15h
., .

, 

Lucena, Lucena
vai, ir
convidar, convidar
Pelé, Pelé
a, a
participar, participar
de, de
uma, um
festa, festa
em, em
celebração, celebração
do, de o
marco, marco
da, de o
carreira, carreira
do, de o
jogador, jogador
em, em
João, João
Pessoa, Pessoa
., .

, 

Entre, entre
os, o
assuntos, assunto
a, a
serem, ser
tratados, tratado
está, estar
a, o
reforma, reforma
do, de o
estádio, estádio
José, José
Américo, Américo
de, de
Almeida, Almeida
Filho, Filho
,, ,
local, local
do, de o
milésimo, milésimo
gol, gol
., .

, 

O, o
antigo, antigo
estádio, estádio
é, ser
hoje, hoje
um, um
centro, centro
esportivo, esportivo
estadual, estadual
e, e
abriga, abrigar
atividades, atividade
físicas, físico
,, ,
contando, contar
com, com
cerca, cerca
de, de
2.000, 2.000
crianças, criança
matriculadas, matricular
., .

, 

O, o
secretário, secretário
paraibano, paraibano
irá, ir
pedir, pedir
ao, a o
ministro, ministro
recursos, recurso
para, para
a, o
reforma, reforma
e, e
ampliação, ampliação
desse, de esse
centro, centro
esportivo, esportivo
., .

, 

No, em o
local, local
vai, ir
ser, ser
descerrado, descerrar
um, um
busto, busto
com, com
a, o
imagem, imagem
do, de o
maior, grande
artilheiro, artilheiro
da, de o
história, história
do, de o
futebol, futebol
., .

, 

Segundo, segundo
as, o
autoridades, autoridade
paraibanas, paraibano
,, ,
já, já
foi, ser
feito, fazer
contato, contato
com, com
o, o
clube, clube
santista, santista
para, para
a, o
participação, participação
do, de o
time, time
que, que
ocupa, ocupar
a, o
segunda, segundo
colocação, colocação
do, de o
Campeonato, Campeonato
Paulista, Paulista
no, em o
jogo, jogo
comemorativo, comemorativo
que, que
ainda, ainda
não, não
tem, ter
data, data
marcada, marcar
., .

, 

Mas, mas
o, o
jogo, jogo
depende, depender
da, de o
reforma, reforma
do, de o
estádio, estádio
,, ,
que, que
foi, ser
palco, palco
do, de o
marco, marco
histórico, histórico
na, em o
carreira, carreira
de, de
Pelé, Pelé
., .

, 

Os, o
eventos, evento
que, que
estão, estar
sendo, ser
organizados, organizar
receberam, receber
apoio, apoio
dos, de o
deputados, deputado
estaduais, estadual
da, de o
Paraíba, Paraíba
., .

, 

Até, até
as, o
rádios, rádio
locais, local
estão, estar
em, em
campanha, campanha
para, para
a, o
ida, ida
de, de
Pelé, Pelé
., .

, 

