A, ﻿A
derrota, derrotar
por, por
4, 4
a, a
3, 3
para, para
o, o
Fluminense, fluminense
anteontem, anteontem
aprofundou, aprofundar
a, o
crise, crise
no, em o
Flamengo, Flamengo
., .

, 

O, o
presidente, presidente
do, de o
clube, clube
,, ,
Kleber, Kleber
Leite, Leite
,, ,
quer, querer
que, que
o, o
técnico, técnico
Wanderley, Wanderley
Luxemburgo, Luxemburgo
escale, escalar
jogadores, jogador
juniores, juniores
(, (
até, até
19, 19
anos, ano
), )
para, para
melhorar, melhorar
a, o
equipe, equipe
adulta, adulto
., .

, 

Com, com
11, 11
pontos, ponto
,, ,
o, o
Flamengo, Flamengo
está, estar
em, em
quarto, quarto
lugar, lugar
entre, entre
os, o
oito, oito
participantes, participante
da, de o
fase, fase
final, final
do, de o
Campeonato, Campeonato
Estadual, Estadual
., .

, 

Seu, seu
próximo, próximo
jogo, jogo
será, ser
domingo, domingo
,, ,
contra, contra
o, o
Vasco, Vasco
,, ,
no, em o
Maracanã, maracanã
., .

, 

`, `
`, `
Wanderley, Wanderley
tem, ter
que, que
fazer, fazer
isso, isso
,, ,
não, não
há, haver
por, por
que, que
não, não
fazer, fazer
'', ''
,, ,
afirmou, afirmar
Kleber, Kleber
,, ,
ontem, ontem
à, a o
Folha, folha
., .

, 

`, `
`, `
É, ser
inaceitável, inaceitável
sofrermos, sofrerr
seis, seis
gols, gol
do, de o
Volta, Volta
Redonda, Redonda
em, em
dois, dois
jogos, jogo
,, ,
quatro, quatro
do, de o
Bangu, Bangu
em, em
duas, dois
partidas, partida
e, e
quatro, quatro
do, de o
Fluminense, fluminense
em, em
apenas, apenas
uma, uma
., .
'', ''

, 

O, o
dirigente, dirigente
citou, citar
o, o
nome, nome
dos, de o
juniores, juniores
que, que
julga, julgar
indicados, indicar
para, para
reforçar, reforçar
o, o
time, time
,, ,
na, em o
defesa, defesa
e, e
no, em o
meio-de-campo, meio-de-campo
:, :
Fabiano, Fabiano
,, ,
Leonardo, Leonardo
e, e
Hebert, Hebert
_, _
os, o
dois, dois
primeiros, primeiro
,, ,
integrantes, integrante
da, de o
seleção, seleção
brasileira, brasileiro
de, de
juniores, juniores
vice-campeã, vice-campeã
mundial, mundial
., .

, 

`, `
`, `
Já, já
que, que
o, o
regulamento, regulamento
não, não
permite, permitir
novas, novo
inscrições, inscrição
de, de
jogadores, jogador
adultos, adulto
agora, agora
,, ,
temos, ter
que, que
ousar, ousar
e, e
ter, ter
criatividade, criatividade
com, com
os, o
juniores, juniores
., .
'', ''

, 

Kleber, Kleber
Leite, Leite
acha, achar
que, que
a, o
sua, seu
opinião, opinião
não, não
interfere, interferir
na, em o
esfera, esfera
de, de
poder, poder
do, de o
treinador, treinador
., .

, 

`, `
`, `
Ele, ele
tem, ter
respaldo, respaldo
para, para
fazer, fazer
o, o
quiser, quiser
,, ,
mas, mas
não, não
há, haver
razão, razão
para, para
não, não
ousar, ousar
., .
'', ''

, 

Questionado, Questionado
se, se
pode, poder
demitir, demitir
Luxemburgo, Luxemburgo
em, em
caso, caso
de, de
derrota, derrota
para, para
o, o
Vasco, Vasco
,, ,
o, o
dirigente, dirigente
respondeu, responder
:, :
`, `
`, `
Não, não
penso, pensar
em, em
derrota, derrota
'', ''
., .

, 

O, o
técnico, técnico
_, _
no, em o
clube, clube
desde, desde
janeiro, janeiro
_, _
disse, dizer
que, que
`, `
`, `
o, o
mais, mais
importante, importante
,, ,
depois, depois
de, de
perder, perder
para, para
o, o
Fluminense, Fluminense
,, ,
é, ser
manter, manter
a, o
serenidade, serenidade
e, e
pensar, pensar
no, em o
que, que
fazer, fazer
'', ''
., .

, 

Seus, seu
problemas, problema
se, se
concentram, concentrar
na, em o
defesa, defesa
., .
Já, já
está, estar
no, em o
terceiro, terceiro
goleiro, goleiro
no, em o
campeonato, campeonato
(, (
Roger, Roger
), )
,, ,
depois, depois
do, de o
fracasso, fracasso
de, de
Adriano, Adriano
e, e
Émerson, Émerson
., .

, 

Os, o
três, três
jogadores, jogador
testados, testar
na, em o
zaga, zaga
_, _
Jorge, Jorge
Luís, Luís
(, (
contratado, contratar
ao, a o
Guarani, Guarani
), )
,, ,
Agnaldo, Agnaldo
(, (
ao, a o
