Começa, ﻿Começa
hoje, hoje
em, em
Melbourne, Melbourne
o, o
Aberto, Aberto
de, de
Tênis, Tênis
da, de o
Austrália, Austrália
,, ,
primeiro, primeiro
dos, de o
grandes, grande
torneios, torneio
da, de o
temporada, temporada
,, ,
com, com
o, o
favoritismo, favoritismo
disparado, disparar
de, de
Pete, Pete
Sampras, Sampras
(, (
EUA, EUA
), )
e, e
Steffi, Steffi
Graf, Graf
(, (
Alemanha, Alemanha
), )
para, para
os, o
títulos, título
de, de
simples, simples
., .
O, o
campeonato, campeonato
perdeu, perder
um, um
pouco, pouco
do, de o
brilho, brilho
com, com
as, o
desistências, desistência
de, de
alguns, algum
dos, de o
principais, principal
tenistas, tenista
do, de o
ranking, ranking
., .
A, o
maior, grande
frustração, frustração
dos, de o
organizadores, organizador
é, ser
a, o
ausência, ausência
da, de o
sérvia, sérvio
Monica, Monica
Seles, Seles
,, ,
ex-número, ex-número
1, 1
do, de o
mundo, mundo
,, ,
que, que
alegou, alegar
ainda, ainda
não, não
estar, estar
recuperada, recuperado
da, de o
facada, facada
que, que
levou, levar
no, em o
atentado, atentado
sofrido, sofrer
em, em
Hamburgo, Hamburgo
no, em o
ano, ano
passado, passado
., .

, 

Com, com
Seles, seles
fora, fora
de, de
combate, combate
,, ,
Steffi, Steffi
Graf, Graf
só, só
perde, perder
o, o
título, título
por, por
acidente, acidente
., .
No, em o
ano, ano
passado, passado
,, ,
a, o
alemã, alemã
perdeu, perder
justamente, justamente
para, para
Seles, Seles
., .
No, em o
tipo, tipo
de, de
piso, piso
do, de o
Flinders, Flinders
Park, Park
de, de
Melbourne, Melbourne
,, ,
a, o
atual, atual
número, número
2, 2
do, de o
ranking, ranking
,, ,
a, o
espanhola, espanhola
Arantxa, Arantxa
Sanchez, Sanchez
,, ,
não, não
deve, dever
oferecer, oferecer
resistência, resistência
a, a
Graf, Graf
., .
Além, além
de, de
Seles, Seles
,, ,
as, o
principas, principa
ausentes, ausente
são, ser
as, o
norte-americanas, norte-americano
Martina, Martina
Navratilova, Navratilova
e, e
Jennifer, Jennifer
Capriati, Capriati
., .
Correm, correr
por, por
fora, fora
na, em o
chave, chave
feminina, feminino
a, o
argentina, argentina
Gabriela, Gabriela
Sabatini, Sabatini
,, ,
treinada, treinar
pelo, por o
brasileiro, brasileiro
Carlos, Carlos
Alberto, Alberto
Kirmayr, Kirmayr
,, ,
e, e
a, o
tcheca, tcheca
Jana, Jana
Novotna, Novotna
., .

, 

No, em o
torneio, torneio
masculino, masculino
,, ,
as, o
ausências, ausência
mais, mais
sentidas, sentido
são, ser
Sergi, Sergi
Bruguera, Bruguera
(, (
Espanha, Espanha
), )
,, ,
Richard, Richard
Krajicek, Krajicek
(, (
Holanda, Holanda
), )
,, ,
Michael, Michael
Chang, Chang
e, e
Andre, Andre
Agassi, Agassi
(, (
EUA, EUA
), )
,, ,
Andrei, Andrei
Medvedev, Medvedev
(, (
Ucrânia, Ucrânia
), )
e, e
Boris, Boris
Becker, Becker
(, (
Alemanha, Alemanha
), )
., .
Mesmo, mesmo
assim, assim
,, ,
o, o
torneio, torneio
mantém, manter
o, o
interesse, interesse
ao, a o
reunir, reunir
os, o
quatro, quatro
primeiros, primeiro
do, de o
ranking, ranking
:, :
Pete, Pete
Sampras, Sampras
(, (
EUA, EUA
), )
,, ,
Michael, Michael
Stich, Stich
(, (
Alemanha, Alemanha
), )
,, ,
Jim, Jim
Courier, Courier
(, (
EUA, EUA
), )
e, e
Stefan, Stefan
Edberg, Edberg
(, (
Suécia, Suécia
), )
., .
No, em o
fim-de-semana, fim-de-semana
,, ,
Sampras, Sampras
venceu, vencer
o, o
Torneio, Torneio
de, de
Sydney, Sydney
,, ,
derrotando, derrotar
Ivan, Ivan
Lendl, Lendl
na, em o
final, final
,, ,
e, e
Jim, Jim
Courier, Courier
sagrou-se, sagrour se
campeão, campeão
em, em
Adelaide, Adelaide
,, ,
batendo, bater
Edberg, Edberg
., .

, 

Alguns, algum
cabeças-de-chave, cabeças-de-chave
entram, entrar
na, em o
quadra, quadra
hoje, hoje
., .
Sampras, Sampras
enfrenta, enfrentar
o, o
desconhecido, desconhecido
australiano, australiano
Joshua, Joshua
Eagle, Eagle
;, ;
Courier, Courier
,, ,
campeão, campeão
de, de
93, 93
,, ,
joga, jogar
contra, contra
seu, seu
compatriota, compatriota
Bryan, Bryan
Shelton, Shelton
;, ;
o, o
croata, croata
Goran, Goran
Ivanisevic, Ivanisevic
(, (
cabeça-de-chave, cabeça-de-chave
n.º, n.º
5, 5
), )
estréia, estrear
contra, contra
o, o
norte-americano, norte-americano
Alex, Alex
O'Brien, O'Brien
;, ;
Steffi, Steffi
Graf, Graf
enfrenta, enfrentar
Kimberly, Kimberly
Po, Po
(, (
EUA, EUA
), )
., .
O, o
brasileiro, brasileiro
Fernando, Fernando
Meligeni, Meligeni
não, não
está, estar
escalado, escalado
para, para
jogar, jogar
hoje, hoje
., .
O, o
torneio, torneio
termina, terminar
no, em o
dia, dia
30, 30
., .

, 

