O, ﻿O
motorista, motorista
de, de
caminhão, caminhão
Antonio, Antonio
Carlos, Carlos
Gomes, Gomes
,, ,
30, 30
,, ,
foi, ser
ferido, ferir
ontem, ontem
pela, por o
explosão, explosão
de, de
uma, um
bomba, bomba
de, de
fabricação, fabricação
caseira, Caseira
na, em o
torcida, torcida
do, de o
Santos, Santos
., .

, 

Ele, ele
sofreu, sofrer
ferimentos, ferimento
graves, grave
em, em
seu, seu
pé, pé
esquerdo, esquerdo
e, e
foi, ser
internado, internar
na, em o
Santa, Santa
Casa, Casa
de, de
Santos, Santos
., .
Segundo, segundo
informações, informação
preliminares, preliminar
dos, de o
médicos, médico
,, ,
Gomes, Gomes
_, _
residente, residente
em, em
Mogi, Mogi
das, de o
Cruzes, Cruzes
_, _
seria, ser
operado, operar
e, e
não, não
corre, correr
o, o
risco, risco
de, de
ter, ter
o, o
pé, pé
amputado, amputado
., .

, 

A, o
Polícia, Polícia
Militar, Militar
(, (
PM, PM
), )
tem, ter
duas, dois
versões, versão
sobre, sobre
o, o
incidente, incidente
., .
Na, em o
primeira, primeira
delas, de elas
,, ,
a, o
bomba, bomba
teria, ter
sido, ser
atirada, atirar
por, por
torcedores, torcedor
palmeirenses, palmeirense
., .

, 

Segundo, segundo
torcedores, torcedor
do, de o
Santos, Santos
,, ,
os, o
palmeirenses, palmeirense
formaram, formar
uma, um
roda, roda
na, em o
arquibancada, arquibancada
e, e
atiraram, atirar
a, o
bomba, bomba
com, com
o, o
auxílio, auxílio
de, de
um, um
estilingue, estilingue
., .

, 

Foram, ser
presos, prender
dois, dois
suspeitos, suspeito
., .
Ambos, ambos
são, ser
integrantes, integrante
da, de o
torcida, torcida
Mancha, Mancha
Verde, Verde
,, ,
do, de o
Palmeiras, Palmeiras
., .

, 

Na, em o
segunda, segundo
versão, versão
da, de o
PM, PM
,, ,
a, o
bomba, bomba
pertenceria, pertencer
ao, a o
próprio, próprio
Antonio, Antonio
Carlos, Carlos
Gomes, Gomes
., .
Ela, ela
estaria, estar
presa, presa
à, a o
sua, seu
perna, perno
e, e
teria, ter
explodido, explodir
quando, quando
o, o
torcedor, torcedor
comemorava, comemorar
um, um
dos, de o
gols, gol
do, de o
Santos, Santos
., .

, 

Os, o
menores, menor
Ricardo, Ricardo
Rodrigues, Rodrigues
,, ,
14, 14
,, ,
e, e
Sidnei, Sidnei
Lopes, Lopes
,, ,
15, 15
,, ,
também, também
foram, ser
feridos, ferir
na, em o
explosão, explosão
da, de o
bomba, bomba
., .
Ricardo, Ricardo
Rodrigues, Rodrigues
foi, ser
atingido, atingir
por, por
estilhaços, estilhaço
no, em o
abdome, abdome
., .
Sidnei, Sidnei
Lopes, Lopes
levou, levar
uma, um
pancada, pancada
de, de
um, um
guarda, guarda
,, ,
na, em o
confusão, confusão
., .

, 

*, *
Colaborou, colaborar
Moacyr, Moacyr
Lopes, Lopes
Júnior, Júnior

, 

