O, ﻿O
queniano, queniano
Simon, Simon
Chemwoyo, Chemwoyo
foi, ser
de, de
kombi, kombi
do, de o
hotel, hotel
Brasilton, Brasilton
para, para
o, o
Aeroporto, Aeroporto
Internacional, Internacional
de, de
São, São
Paulo, Paulo
,, ,
onde, onde
embarcou, embarcar
para, para
o, o
Uruguai, Uruguai
., .
Ele, ele
e, e
seus, seu
compatriotas, compatriota
Dominique, Dominique
Kirui, Kirui
e, e
William, William
Sigei, Sigei
só, só
foram, ser
inscritos, inscritos
na, em o
última, último
hora, hora
na, em o
prova, prova
de, de
San, San
Fernando, Fernando
., .
Por, por
isso, isso
,, ,
só, só
receberam, receber
seus, seu
vistos, visto
de, de
entrada, entrada
no, em o
Uruguai, Uruguai
no, em o
meio, meio
da, de o
tarde, tarde
,, ,
quando, quando
o, o
microônibus, microônibus
que, que
levou, levar
os, o
atletas, atleta
latino-americanos, latino-americanos
ao, a o
aeroporto, aeroporto
já, já
havia, haver
saído, sair
., .

, 

Chemwoyo, chemwoyo
,, ,
Kirui, Kirui
e, e
Sigei, Sigei
foram, ser
junto, junto
com, com
o, o
Agberto, Agberto
Guimarães, Guimarães
,, ,
ex-meio-fundista, ex-meio-fundista
brasileiro, brasileiro
que, que
trabalha, trabalhar
na, em o
organização, organização
da, de o
Corrida, Corrida
de, de
São, São
Silvestre, Silvestre
., .
Chegaram, Chegaram
a, a
tempo, tempo
de, de
embarcar, embarcar
no, em o
vôo, vôo
para, para
Montevidéu, Montevidéu
,, ,
que, que
tinha, ter
decolagem, decolagem
marcada, marcar
para, para
as, o
17h35, 17h35
., .
(, (
MD, MD
), )

, 

