O, ﻿O
basquete, basquete
paulista, paulista
define, definir
os, o
seus, seu
dois, dois
campeões, campeão
da, de o
temporada, temporada
:, :
o, o
masculino, masculino
e, e
o, o
feminino, feminino
., .
A, o
decisão, decisão
do, de o
masculino, masculino
começou, começar
sexta-feira, sexta-feira
., .
Hoje, hoje
tem, ter
as, o
suas, seu
semifinais, semifinal
e, e
na, em o
terça, terça
,, ,
as, o
finais, final
., .

, 

Na, em o
vitória, vitória
do, de o
Dharma-Yara, Dharma-Yara
sobre, sobre
o, o
Guaru, Guaru
por, por
128, 128
a, a
111, 111
(, (
59, 59
a, a
51, 51
), )
,, ,
anteontem, anteontem
,, ,
os, o
principais, principal
cestinhas, cestinha
foram, ser
Gema, Gema
,, ,
com, com
30, 30
pontos, ponto
,, ,
e, e
Cadum, Cadum
,, ,
com, com
23, 23
,, ,
para, para
os, o
vencedores, vencedor
,, ,
enquanto, enquanto
no, em o
time, time
perdedor, perdedor
Spellman, Spellman
fez, fazer
36, 36
pontos, ponto
e, e
Rolando, Rolando
,, ,
23, 23
., .

, 

A, o
vitória, vitória
do, de o
Palmeiras, Palmeiras
sobre, sobre
o, o
Banespa, Banespa
por, por
85, 85
a, a
75, 75
(, (
41, 41
a, a
31, 31
), )
teve, ter
como, como
cestinhas, cestinha
Patterson, Patterson
,, ,
com, com
20, 20
pontos, ponto
,, ,
e, e
Vanderlei, Vanderlei
,, ,
com, com
17, 17
,, ,
enquanto, enquanto
Pipoca, Pipoca
se, se
destacou, destacar
com, com
13, 13
pontos, ponto
e, e
17, 17
rebotes, rebote
., .
No, em o
time, time
perdedor, perdedor
,, ,
Zanon, Zanon
obteve, obter
21, 21
pontos, ponto
e, e
Robins, Robins
Davis, Davis
,, ,
17, 17
., .
A, o
programação, programação
do, de o
feminino, feminino
é, ser
diferente, diferente
., .
Tinha, ter
as, o
semifinais, semifinal
previstas, prever
para, para
ontem, ontem
(, (
Nossa, Nossa
Caixa, Caixa
/, /
Campinas, Campinas
x, x
Cesp-Unimep, Cesp-Unimep
/, /
Piracicaba, Piracicaba
e, e
Lacta, Lacta
/, /
Santo, Santo
André, André
x, x
Unimed, Unimed
Brasil, Brasil
/, /
Araçatuba, Araçatuba
), )
e, e
a, o
final, final
amanhã, amanhã
., .

, 

Todos, todo
os, o
jogos, jogo
são, ser
no, em o
ginásio, ginásio
do, de o
Ibirapuera, Ibirapuera
,, ,
com, com
os, o
ingressos, ingresso
,, ,
por, por
rodada, rodada
,, ,
aos, a o
seguintes, seguinte
preços, preço
:, :
arquibancada, arquibancada
,, ,
CR$, CR$
700,00, 700,00
,, ,
e, e
numerada, numerar
,, ,
CR$, CR$
1.500,00, 1.500,00
., .

, 

