Para, ﻿Par
a, o
próxima, próximo
fase, fase
da, de o
Taça, Taça
Libertadores, Libertadores
,, ,
com, com
início, início
no, em o
próximo, próximo
dia, dia
26, 26
de, de
julho, julho
,, ,
o, o
Palmeiras, Palmeiras
poderá, poder
substituir, substituir
dois, dois
jogadores, jogador
na, em o
sua, seu
lista, lista
de, de
inscrição, inscrição
., .

, 

Segundo, segundo
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
diretor, diretor
de, de
esportes, esporte
da, de o
Parmalat, Parmalat
(, (
patrocinadora, patrocinadora
do, de o
clube, clube
), )
,, ,
o, o
primeiro, primeiro
nome, nome
na, em o
lista, lista
de, de
reforços, reforço
é, ser
o, o
do, de o
ex-são-paulino, ex-são-paulino
Cafu, Cafu
,, ,
atualmente, atualmente
no, em o
Zaragoza, Zaragoza
,, ,
da, de o
Espanha, Espanha
., .

, 

Brunoro, Brunoro
disse, dizer
que, que
o, o
Palmeiras, Palmeiras
já, já
tem, ter
a, o
prioridade, prioridade
para, para
contratar, contratar
o, o
jogador, jogador
junto, junto
ao, a o
clube, clube
espanhol, espanhol
., .

, 

O, o
obstáculo, obstáculo
nas, em o
negociações, negociação
é, ser
a, o
interferência, interferência
do, de o
São, São
Paulo, Paulo
., .

, 

`, `
`, `
Existe, Existe
uma, um
cláusula, cláusula
no, em o
contrato, contrato
de, de
venda, venda
do, de o
Cafu, Cafu
,, ,
que, que
o, o
impede, impede
de, de
ser, ser
emprestado, emprestar
ou, ou
vendido, vender
,, ,
especificamente, especificamente
,, ,
para, para
a, o
Sociedade, Sociedade
Esportiva, Esportiva
Palmeiras, Palmeiras
no, em o
período, período
de, de
um, um
ano, ano
'', ''
,, ,
disse, dizer
João, João
Paulo, Paulo
Medina, Medina
,, ,
coordenador, coordenador
do, de o
São, São
Paulo, Paulo
., .

, 

Segundo, segundo
ele, ele
,, ,
o, o
não, não
cumprimento, cumprimento
da, de o
cláusula, cláusula
implica, implicar
em, em
uma, um
multa, multa
a, a
ser, ser
paga, pagar
pelo, por o
Palmeiras, Palmeiras
no, em o
valor, valor
de, de
US$, US$
3,6, 3,6
milhões, milhão
_, _
mesma, mesmo
quantia, quantia
recebida, receber
pelo, por o
São, São
Paulo, Paulo
na, em o
venda, venda
de, de
Cafu, Cafu
,, ,
em, em
janeiro, janeiro
., .

, 

O, o
Palmeiras, Palmeiras
pode, poder
usar, usar
o, o
Juventude, Juventude
(, (
RS, RS
), )
,, ,
também, também
patrocinado, patrocinar
pela, por o
Parmalat, Parmalat
,, ,
como, como
`, `
`, `
ponte, ponte
'', ''
., .

, 

Outro, outro
reforço, reforço
pode, poder
ser, ser
Renato, Renato
Gaúcho, Gaúcho
,, ,
do, de o
Fluminense, Fluminense
., .

, 

(, (
AR, AR
), )

, 

