O, ﻿O
técnico, técnico
Zagallo, Zagallo
anunciou, anunciar
ontem, ontem
o, o
nome, nome
de, de
10, 10
dos, de o
11, 11
jogadores, jogador
que, que
pretende, pretender
escalar, escalar
domingo, domingo
,, ,
contra, contra
a, o
Suécia, Suécia
., .

, 

Seus, seu
preferidos, preferido
:, :
Zetti, Zetti
;, ;
Jorginho, Jorginho
,, ,
Aldair, Aldair
,, ,
Márcio, Márcio
Santos, Santos
e, e
Roberto, Roberto
Carlos, Carlos
;, ;
César, César
Sampaio, Sampaio
,, ,
Dunga, Dunga
e, e
Juninho, Juninho
;, ;
Edmundo, Edmundo
e, e
Bebeto, Bebeto
., .

, 

Sua, seu
única, único
dúvida, dúvida
é, ser
no, em o
meio-campo, meio-campo
,, ,
onde, onde
Zinho, Zinho
,, ,
Rivaldo, Rivaldo
e, e
Leonardo, Leonardo
disputam, disputar
um, um
lugar, lugar
., .

, 

Bebeto, Bebeto
e, e
Márcio, Márcio
Santos, Santos
podem, poder
ficar, ficar
fora, fora
., .
Até, até
as, o
23h, 23h
de, de
ontem, ontem
(, (
19h, 19h
de, de
Brasília, Brasília
), )
,, ,
eles, eles
não, não
haviam, haver
se, se
apresentado, apresentar
., .

, 

Seus, seu
substitutos, substituto
seriam, ser
Ronaldo, Ronaldo
e, e
Ronaldão, Ronaldão
., .

, 

(, (
MM, MM
), )

, 

