Uma, ﻿Uma
névoa, névoa
vermelha, vermelho
paira, pairo
sobre, sobre
a, o
sede, sede
da, de o
Williams, Williams
,, ,
em, em
Didcot, Didcot
., .
Pelos, pelos
corredores, corredor
da, de o
fábrica, fábrica
dos, de o
melhores, bom
carros, carro
de, de
Fórmula, Fórmula
1, 1
do, de o
mundo, mundo
o, o
ar, ar
é, ser
de, de
apreensão, apreensão
., .
Não, não
vai, ir
ser, ser
tão, tão
fácil, fácil
assim, assim
,, ,
cochicha-se, cochicha-se
., .
A, o
cada, cada
notícia, notícia
que, que
chega, chegar
da, de o
Itália, Itália
,, ,
a, o
tensão, tensão
aumenta, aumento
., .
Se, se
alguém, alguém
ousa, ousar
ameaçar, ameaçar
a, o
equipe, equipe
de, de
Ayrton, Ayrton
Senna, Senna
,, ,
é, ser
a, o
Ferrari, Ferrari
., .
E, e
vem, vir
armada, armada
até, até
os, o
dentes, dente
., .

, 

Os, o
rubros, rubro
montaram, montar
uma, um
seleção, seleção
fora, fora
da, de o
pista, pista
de, de
causar, causar
inveja, inveja
., .
Objetivo, objetivo
duplo, duplo
:, :
encerrar, encerrar
o, o
jejum, jejum
de, de
50, 50
corridas, corrida
sem, sem
vitórias, vitória
e, e
não, não
completar, completar
o, o
15.º, 15.º
ano, ano
da, de o
fila, fila
de, de
títulos, título
mundiais, mundial
., .
Tarefa, tarefa
complicada, complicado
,, ,
mas, mas
a, o
constelação, constelação
que, que
ocupa, ocupar
os, o
escritórios, escritório
de, de
Maranello, Maranello
em, em
94, 94
não, não
está, estar
acostumada, acostumado
a, a
perder, perder
., .

, 

A, o
Ferrari, Ferrari
já, já
se, se
considera, considerar
a, o
única, único
rival, rival
à, a o
altura, altura
do, de o
trio, trio
Senna-Williams-Renault, Senna-Williams-Renault
porque, porque
não, não
acredita, acreditar
numa, em um
explosão, explosão
precoce, precoce
da, de o
McLaren-Peugeot, McLaren-Peugeot
e, e
nem, nem
no, em o
motorzinho, motorzinho
Ford, Ford
da, de o
Benetton, Benetton
., .
As, o
principais, principal
razões, razão
do, de o
otimismo, otimismo
ferrarista, ferrarista
,, ,
porém, porém
,, ,
estão, estar
dentro, dentro
da, de o
própria, próprio
escuderia, escuderia
., .
No, em o
fim, fim
de, de
92, 92
veio, vir
John, John
Barnard, Barnard
,, ,
o, o
melhor, bom
projetista, projetista
do, de o
planeta, planeta
., .
Na, em o
metade, metade
de, de
93, 93
a, o
equipe, equipe
contratou, contratar
um, um
francês, francês
baixinho, baixinho
e, e
gordinho, gordinho
com, com
um, um
apetite, apetite
enorme, enorme
por, por
vitórias, vitória
:, :
Jean, Jean
Todt, Todt
,, ,
ex-Peugeot, ex-Peugeot
,, ,
encarregado, encarregar
de, de
arrumar, arrumar
uma, um
casa, casa
que, que
sempre, sempre
teve, ter
muito, muito
cacique, cacique
e, e
pouco, pouco
índio, índio
., .
A, o
eles, ele
se, se
juntaram, juntar
o, o
competente, competente
engenheiro, engenheiro
Gustav, Gustav
Brunner, Brunner
e, e
o, o
japonês, japonês
Osamu, Osamu
Goto, Goto
., .

, 

Funcionário, Funcionário
da, de o
Honda, Honda
de, de
69, 69
a, a
90, 90
,, ,
Goto, Goto
foi, ser
a, o
contratação, contratação
de, de
maior, grande
impacto, impacto
no, em o
mercado, mercado
da, de o
F-1, F-1
no, em o
início, início
de, de
94, 94
., .
", "
Pai, Pai
", "
dos, de o
motores, motor
que, que
deram, dar
os, o
títulos, título
de, de
89, 89
a, a
91, 91
para, para
a, o
McLaren, McLaren
,, ,
Goto, Goto
foi, ser
chamado, chamar
para, para
aprimorar, aprimorar
o, o
que, que
o, o
presidente, presidente
da, de o
Ferrari, Ferrari
,, ,
Luca, Luca
di, di
Montezemolo, Montezemolo
,, ,
chama, chamar
de, de
", "
órgão, órgão
sexual, sexual
", "
dos, de o
carros, carro
vermelhos, vermelho
., .
", "
Será, ser
a, o
adversária, adversária
mais, mais
difícil, difícil
de, de
derrotar, derrotar
., .
Seus, seu
motores, motor
andaram, andar
muito, muito
bem, bem
no, em o
fim, fim
de, de
93, 93
e, e
,, ,
em, em
94, 94
a, o
tecnologia, tecnologia
mais, mais
simples, simples
os, o
favorece, favorecer
", "
,, ,
alerta, alertar
Frank, Frank
Williams, Williams
., .

, 

De, de
fato, fato
,, ,
a, o
Ferrari, Ferrari
nunca, nunca
entendeu, entender
direito, direito
como, como
funciona, funcionar
uma, um
suspensão, suspensão
ativa, ativo
e, e
por, por
isso, isso
foi, ser
quem, quem
mais, mais
comemorou, comemorar
sua, seu
extinção, extinção
., .
Com, com
carros, carro
convencionais, convencional
,, ,
a, o
", "
Rossa, Rossa
", "
espera, esperar
recuperar, recuperar
o, o
terreno, terreno
perdido, perder
a, a
partir, partir
de, de
91, 91
,, ,
quando, quando
a, o
Williams, Williams
introduziu, introduzir
sensores, sensor
no, em o
lugar, lugar
de, de
amortecedores, amortecedor
., .
A, o
redenção, redenção
só, só
corre, correr
um, um
risco, risco
,, ,
e, e
está, estar
dentro, dentro
de, de
casa, casa
:, :
é, ser
Berger, Berger
,, ,
um, um
piloto, piloto
atabalhoado, atabalhoar
e, e
irregular, irregular
,, ,
especialista, especialista
em, em
pôr, pôr
tudo, tudo
a, a
perder, perder
., .

, 

