Depois, ﻿Depois
de, de
17, 17
meses, mês
afastado, afastar
das, de o
quadras, quadra
,, ,
Michael, Michael
Jordan, Jordan
voltou, voltar
para, para
tentar, tentar
a, o
conquista, conquista
do, de o
tetracampeonato, tetracampeonato
da, de o
NBA, NBA
., .
Mas, mas
a, o
cruzada, cruzada
acabou, acabar
na, em o
noite, noite
de, de
anteontem, anteontem
., .

, 

O, o
grandalhão, grandalhão
Shaquille, Shaquille
O'Neal, O'Neal
(, (
22, 22
anos, ano
,, ,
2,16, 2,16
m, m
e, e
137, 137
kg, kg
), )
fulminou, fulminar
o, o
sonho, sonho
de, de
Jordan, Jordan
(, (
32, 32
anos, ano
,, ,
1,98, 1,98
m, m
e, e
96, 96
kg, kg
), )
,, ,
o, o
maior, grande
jogador, jogador
da, de o
história, história
do, de o
basquete, basquete
mundial, mundial
., .

, 

Shaquille, Shaquille
anotou, anotar
27, 27
pontos, ponto
,, ,
conseguiu, conseguir
13, 13
rebotes, rebote
e, e
liderou, liderar
o, o
seu, seu
time, time
,, ,
o, o
Orlando, Orlando
Magic, Magic
,, ,
na, em o
vitória, vitória
sobre, sobre
o, o
Chicago, Chicago
Bulls, Bulls
,, ,
de, de
Jordan, Jordan
,, ,
por, por
108, 108
a, a
102, 102
., .

, 

Com, com
o, o
resultado, resultado
,, ,
o, o
Orlando, Orlando
eliminou, eliminar
o, o
Chicago, Chicago
das, de o
disputas, disputa
da, de o
temporada, temporada
94-95, 94-95
da, de o
NBA, NBA
,, ,
a, o
liga, Liga
profissional, profissional
de, de
basquete, basquete
dos, de o
EUA, EUA
., .

, 

`, `
`, `
Mostramos, Mostramos
que, que
temos, ter
controle, controle
e, e
que, que
somos, ser
lutadores, lutador
quando, quando
jogamos, jogar
fora, fora
(, (
de, de
casa, casa
), )
'', ''
,, ,
declarou, declarar
Shaquille, Shaquille
,, ,
destacando, destacar
a, o
atuação, atuação
dele, de ele
e, e
dos, de o
companheiros, companheiro
do, de o
time, time
., .

, 

O, o
desempenho, desempenho
de, de
Shaquille, Shaquille
,, ,
Nick, Nick
Anderson, Anderson
,, ,
Anfernee, Anfernee
Hardaway, Hardaway
e, e
Dennis, Dennis
Scott, Scott
foi, ser
avassalador, avassalador
no, em o
final, final
da, de o
partida, partida
,, ,
provocando, provocar
o, o
silêncio, silêncio
dos, de o
24, 24
mil, mil
torcedores, torcedor
que, que
lotaram, lotar
o, o
United, United
Center, Center
,, ,
a, o
nova, novo
casa, casa
do, de o
Chicago, Chicago
., .

, 

`, `
`, `
Minha, minha
intenção, intenção
foi, ser
a, o
de, de
voltar, voltar
para, para
ganhar, ganhar
tudo, tudo
'', ''
,, ,
lamentou, lamentar
Jordan, Jordan
., .
`, `
`, `
Tinha, ter
todas, todo
as, o
ilusões, ilusão
,, ,
como, como
o, o
resto, resto
da, de o
equipe, equipe
,, ,
e, e
a, o
crença, crença
de, de
que, que
poderíamos, poderíar
chegar, chegar
à, a o
final, final
., .
'', ''

, 

Jordan, Jordan
,, ,
que, que
marcou, marcar
24, 24
pontos, ponto
no, em o
jogo, jogo
(, (
sete, sete
a, a
menos, menos
que, que
sua, seu
média, média
até, até
então, então
nos, em o
playoffs, playoff
), )
,, ,
disse, dizer
ainda, ainda
que, que
lhe, ele
faltou, faltar
força, força
., .

, 

`, `
`, `
Sinto-me, Sinto-me
frustrado, frustrar
., .
Pelo, por o
meu, meu
jogo, jogo
e, e
por, por
não, não
ter, ter
tido, ter
as, o
pernas, perna
o, o
suficientemente, suficientemente
em, em
forma, forma
para, para
poder, poder
aguentar, aguentar
a, o
pressão, pressão
dos, de o
últimos, último
minutos, minuto
., .
'', ''

, 

Com, com
a, o
vitória, vitória
,, ,
o, o
Orlando, Orlando
fechou, fechar
com, com
vantagem, vantagem
por, por
4, 4
a, a
2, 2
a, o
série, série
eliminatória, eliminatório
melhor, bom
de, de
sete, sete
jogos, jogo
disputada, disputar
com, com
os, o
Bulls, Bulls
., .

, 

Após, após
conquistar, conquistar
três, três
títulos, título
seguidos, seguir
,, ,
o, o
Chicago, Chicago
sofreu, sofrer
na, em o
temporada, temporada
passada, passado
com, com
o, o
desfalque, desfalque
de, de
Jordan, Jordan
., .
O, o
título, título
acabou, acabar
com, com
os, o
Rockets, Rockets
,, ,
do, de o
pivô, pivô
Olajuwon, Olajuwon
., .

, 

Em, em
março, março
último, último
,, ,
já, já
na, em o
reta, reta
final, final
desta, de este
temporada, temporada
regular, regular
,, ,
na, em o
qual, qual
cada, cada
equipe, equipe
disputa, disputar
82, 82
jogos, jogo
,, ,
Jordan, Jordan
voltou, voltar
., .

, 

As, o
esperanças, esperança
de, de
chegar, chegar
ao, a o
título, título
também, também
voltaram, voltar
a, o
Chicago, Chicago
., .
Mas, mas
Shaquille, Shaquille
e, e
seus, seu
companheiros, companheiro
do, de o
Orlando, Orlando
fulminaram, fulminar
com, com
essas, esse
esperanças, esperança
., .

, 

Jordan, Jordan
não, não
poupou, poupar
elogios, elogio
aos, a o
vencedores, vencedor
., .
Disse, dizer
que, que
o, o
Orlando, Orlando
é, ser
a, o
equipe, equipe
com, com
mais, mais
talento, talento
,, ,
mas, mas
pensava, pensar
que, que
a, o
juventude, Juventude
e, e
inexperiência, inexperiência
do, de o
adversário, adversário
permitiriam, permitirir
aos, a o
Bulls, Bulls
ganhar, ganhar
a, o
série, série
., .

, 

`, `
`, `
Eles, eles
se, se
reafirmaram, reafirmar
em, em
cada, cada
partida, partida
e, e
Horace, Horace
Grant, Grant
(, (
ex-Bulls, ex-Bulls
), )
os, eles
conduziu, conduzir
à, a o
perfeição, perfeição
'', ''
', '
,, ,
destacou, destacar
Jordan, Jordan
,, ,
aproveitando, aproveitar
para, para
elogiar, elogiar
seu, seu
ex-companheiro, ex-companheiro
de, de
equipe, equipe
e, e
que, que
se, se
transferiu, transferir
para, para
Orlando, Orlando
., .

, 

Jordan, Jordan
também, também
aproveitou, aproveitar
para, para
esclarecer, esclarecer
que, que
seu, seu
retorno, retorno
não, não
acaba, acabar
com, com
esse, esse
tropeço, tropeço
do, de o
Chicago, Chicago
., .

, 

`, `
`, `
Irei, Irei
ao, a o
campo, campo
de, de
treinamento, treinamento
e, e
jogarei, jogarei
82, 82
partidas, partida
(, (
na, em o
próxima, próximo
temporada, temporada
), )
,, ,
a, a
menos, menos
que, que
não, não
contém, conter
comigo, comigo
'', ''
,, ,
afirmou, afirmar
o, o
jogador, jogador
., .

, 

Scottie, Scottie
Pippen, Pippen
,, ,
com, com
26, 26
pontos, ponto
e, e
12, 12
rebotes, rebote
,, ,
foi, ser
o, o
melhor, bom
do, de o
Chicago, Chicago
anteontem, anteontem
., .
Dennis, Dennis
Scott, Scott
também, também
se, se
destacou, destacar
no, em o
Orlando, Orlando
,, ,
com, com
21, 21
pontos, ponto
., .

, 

