O, ﻿O
norte-americano, norte-americano
Scott, Scott
Brayton, Brayton
,, ,
36, 36
,, ,
realizou, realizar
um, um
sonho, sonho
ao, a o
se, se
tornar, tornar
,, ,
anteontem, anteontem
,, ,
o, o
pole, pole
position, position
das, de o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
., .

, 

`, `
`, `
É, ser
algo, algo
que, que
busquei, busqueer
desesperadamente, desesperadamente
por, por
toda, todo
a, o
minha, meu
vida, vida
'', ''
,, ,
disse, dizer
ele, ele
,, ,
ontem, ontem
,, ,
após, após
a, o
confirmação, confirmação
de, de
que, que
era, ser
o, o
primeiro, primeiro
do, de o
grid, grid
., .

, 

Brayton, Brayton
é, ser
um, um
dos, de o
pilotos, piloto
que, que
só, só
participam, participar
das, de o
500, 500
Milhas, milha
,, ,
sem, sem
correr, correr
a, o
temporada, temporada
da, de o
Indy, Indy
., .
Já, já
o, ele
fez, fazer
,, ,
porém, porém
,, ,
e, e
sua, seu
melhor, bom
colocação, colocação
numa, em um
prova, prova
foi, ser
um, um
terceiro, terceiro
lugar, lugar
em, em
Milwaukee, Milwaukee
,, ,
em, em
92, 92
., .

, 

Filho, Filho
de, de
Lee, Lee
Brayton, Brayton
,, ,
antigo, antigo
corredor, corredor
da, de o
Indy, Indy
,, ,
Scott, Scott
participa, participar
de, de
sua, seu
14ª, 14ª
prova, prova
em, em
Indianápolis, Indianápolis
., .

, 

`, `
`, `
É, ser
curioso, curioso
que, que
a, o
pole, pole
tenha, ter
vindo, vir
exatamente, exatamente
dez, dez
anos, ano
depois, depois
do, de o
meu, meu
melhor, bom
resultado, resultado
_, _
e, e
maior, grande
frustração, frustração
_, _
em, em
treinos, treino
aqui, aqui
., .
'', ''

, 

No, em o
`, `
`, `
pole, pole
day, day
'', ''
de, de
85, 85
,, ,
ele, ele
quebrou, quebrar
o, o
recorde, recorde
de, de
volta, volta
mais, mais
rápida, rápido
no, em o
circuito, circuito
,, ,
mas, mas
sua, seu
média, médio
horária, horário
nas, em o
quatro, quatro
voltas, volta
classificatórias, classificatório
ficou, ficar
0,368, 0,368
km/h, km/h
abaixo, abaixo
da, de o
de, de
Pancho, Pancho
Carter, Carter
., .
Brayton, Brayton
acabou, acabar
largando, largar
em, em
segundo, segundo
., .

, 

Quanto, quanto
à, a o
corrida, corrida
do, de o
dia, dia
28, 28
,, ,
Brayton, Brayton
disse, dizer
que, que
seu, seu
carro, carro
tem, ter
condições, condição
de, de
completar, completar
as, o
200, 200
voltas, volta
da, de o
prova, prova
., .
`, `
`, `
Nosso, nosso
carro, carro
tem, ter
condições, condição
., .
'', ''

, 

(, (
MT, MT
), )

, 

