Rápido, ﻿Rápir
nos, em o
treinos, treino
,, ,
o, o
estreante, estreante
André, André
Ribeiro, Ribeiro
disse, dizer
que, que
pretende, pretender
começar, começar
as, o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
com, com
cautela, cautela
., .

, 

`, `
`, `
O, o
início, início
da, de o
corrida, corrida
vai, ir
ser, ser
para, para
sentir, sentir
como, como
o, o
carro, carro
se, se
comporta, comportar
., .
Não, não
sei, saber
que, que
sensação, sensação
vou, ir
ter, ter
andando, andar
no, em o
tráfego, tráfego
,, ,
com, com
o, o
combustível, combustível
abaixando, abaixar
e, e
os, o
pneus, pneu
piorando, piorar
'', ''
,, ,
disse, dizer
., .

, 

A, o
extensão, extensão
da, de o
prova, prova
é, ser
outra, outro
preocupação, preocupação
., .
`, `
`, `
O, o
máximo, máximo
que, que
andei, andar
foram, ser
200, 200
milhas, milha
,, ,
menos, menos
da, de o
metade, metade
do, de o
que, que
será, ser
aqui, aqui
., .
'', ''

, 

`, `
`, `
Tenho, ter
de, de
tomar, tomar
cuidado, cuidado
com, com
o, o
desgaste, desgaste
mental, mental
de, de
entrar, entrar
numa, em um
corrida, corrida
tão, tão
competitiva, competitivo
e, e
com, com
tanta, tanto
gente, gente
'', ''
,, ,
completou, completar
Ribeiro, Ribeiro
., .

, 

Com, com
ele, ele
concorda, concordar
outro, outro
brasileiro, brasileiro
estreante, estreante
:, :
Gil, Gil
de, de
Ferran, Ferran
., .
`, `
`, `
Há, haver
uma, um
série, série
de, de
novidades, novidade
que, que
terei, ter
de, de
ver, ver
conforme, conforme
a, o
corrida, corrida
for, ser
acontecendo, acontecer
., .
'', ''

, 

`, `
`, `
Não, não
adianta, adiantar
nem, nem
eu, eu
pensar, pensar
como, como
é, ser
que, que
vai, ir
ser, ser
., .
Tenho, ter
de, de
ir, ir
de, de
cabeça, cabeça
aberta, aberto
,, ,
tranquilo, tranquilo
,, ,
e, e
ver, ver
como, como
é, ser
'', ''
,, ,
acrescentou, acrescentar
Ferran, Ferran
., .

, 

A, o
única, único
oportunidade, oportunidade
que, que
os, o
pilotos, piloto
terão, ter
para, para
treinar, treinar
antes, antes
da, de o
prova, prova
será, ser
amanhã, amanhã
., .

, 

Na, em o
semana, semana
que, que
antecede, anteceder
as, o
500, 500
Milhas, milha
,, ,
a, o
pista, pista
fica, ficar
tradicionalmente, tradicionalmente
fechada, fechar
,, ,
com, com
exceção, exceção
da, de o
quinta, quinta
,, ,
o, o
`, `
`, `
carburetion, carburetion
day, day
'', ''
., .

, 

Herta, Herta

, 

O, o
carro, carro
titular, titular
do, de o
norte-americano, norte-americano
Bryan, Bryan
Herta, Herta
,, ,
destruído, destruir
em, em
acidente, acidente
na, em o
semana, semana
passada, passado
,, ,
não, não
deve, dever
ficar, ficar
pronto, pronto
até, até
domingo, domingo
., .

, 

Embora, embora
passe, passar
bem, bem
,, ,
o, o
piloto, piloto
ainda, ainda
depende, depender
de, de
liberação, liberação
médica, médico
para, para
correr, correr
., .
Caso, caso
seja, ser
liberado, liberar
,, ,
larga, largo
,, ,
com, com
o, o
carro, carro
reserva, reserva
,, ,
na, em o
33ª, 33ª
posição, posição
., .
Senão, senão
,, ,
o, o
carro, carro
será, ser
ocupado, ocupar
por, por
Mike, Mike
Groff, Groff
., .

, 

(, (
MT, MT
), )

, 

