O, ﻿O
volante, volante
Alemão, Alemão
,, ,
33, 33
,, ,
é, ser
o, o
líder, líder
dos, de o
`, `
`, `
teens, teen
'', ''
são-paulinos, são-paulino
., .

, 

Em, em
grande, grande
fase, fase
,, ,
elogiado, elogiar
por, por
Telê, Telê
Santana, Santana
e, e
pelos, por o
companheiros, companheiro
,, ,
veterano, veterano
disse, dizer
que, que
precisa, precisar
`, `
`, `
de, de
uma, um
preparação, preparação
especial, especial
para, para
acompanhar, acompanhar
o, o
ritmo, ritmo
dos, de o
garotos, garoto
'', ''
., .

, 

`, `
`, `
Procuro, procuro
descansar, descansar
bastante, bastante
e, e
não, não
exagerar, exagerar
nos, em o
treinos, treino
., .
Só, só
posso, poder
cobrar, cobrar
deles, de ele
se, se
estiver, estar
correndo, correndo
da, de o
mesma, mesmo
maneira, maneira
'', ''
,, ,
justificou, justificar
Alemão, Alemão
., .

, 

Ele, ele
entende, entender
que, que
vive, viver
hoje, hoje
a, o
sua, seu
melhor, bom
fase, fase
no, em o
São, São
Paulo, Paulo
,, ,
depois, depois
de, de
superar, superar
a, o
`, `
`, `
sombra, sombra
'', ''
de, de
Toninho, Toninho
Cerezo, Cerezo
,, ,
que, que
deixou, deixar
o, o
clube, clube
no, em o
final, final
de, de
1993, 1993
., .

, 

`, `
`, `
Foi, ser
difícil, difícil
., .
Quando, quando
cheguei, chegueir
,, ,
todos, todo
esperavam, esperar
que, que
eu, eu
jogasse, jogar
como, como
o, o
Cerezo, Cerezo
., .
Mas, mas
meu, meu
estilo, estilo
é, ser
diferente, diferente
e, e
só, só
agora, agora
está, estar
sendo, ser
reconhecido, reconhecer
., .
'', ''

, 

Alemão, Alemão
reconhece, reconhecer
que, que
os, o
jovens, jovem
`, `
`, `
dominam, dominar
o, o
futebol, futebol
'', ''
., .

, 

Para, para
ele, ele
,, ,
os, o
melhores, bom
jogadores, jogador
brasileiros, brasileiro
da, de o
sua, seu
posição, posição
são, ser
Zé, Zé
Elias, Elias
,, ,
18, 18
,, ,
e, e
Doriva, Doriva
,, ,
22, 22
., .

, 

`, `
`, `
Por, por
outro, outro
lado, lado
,, ,
o, o
fato, fato
de, de
jogadores, jogador
como, como
o, o
Cerezo, Cerezo
e, e
o, o
Júnior, Júnior
terem, ter
atuado, atuar
,, ,
e, e
bem, bem
,, ,
até, até
quase, quase
os, o
40, 40
anos, ano
,, ,
valoriza, valorizar
também, também
o, o
papel, papel
dos, de o
veteranos, veterano
'', ''
,, ,
disse, dizer
Alemão, Alemão
., .

, 

(, (
AR, AR
), )

, 

