A, ﻿A
Venturas, Venturas
e, e
Aventuras, Aventuras
,, ,
empresa, empresa
de, de
turismo, turismo
alternativo, alternativo
,, ,
está, estar
oferecendo, oferecer
um, um
pacote, pacote
para, para
os, o
interessados, interessado
em, em
conhecer, conhecer
a, o
trilha, trilha
Inca, Inca
,, ,
na, em o
região, região
andina, andino
., .

, 

Durante, durante
15, 15
dias, dia
a, a
o, o
viajante, viajante
passará, passar
pela, por o
Bolívia, Bolívia
e, e
Peru, Peru
,, ,
ao, a o
preço, preço
de, de
R$, R$
140, 140
., .
Maiores, Maiores
informações, informação
podem, poder
ser, ser
conseguidas, conseguir
através, através
dos, de o
telefones, telefone
(, (
011), 011)
872-0362, 872-0362
/5328, /5328
., .

, 

