Depois, ﻿Depois
do, de o
adiamento, adiamento
do, de o
jogo, jogo
entre, entre
Santos, Santos
e, e
Bragantino, Bragantino
no, em o
sábado, sábado
,, ,
o, o
Campeonato, Campeonato
Paulista, Paulista
de, de
1994, 1994
começou, começar
ontem, ontem
,, ,
com, com
o, o
Corinthians, Corinthians
virando, virar
o, o
placar, placar
do, de o
clássico, clássico
contra, contra
a, o
Portuguesa, Portuguesa
e, e
o, o
São, São
Paulo, Paulo
goleando, golear
na, em o
estréia, estréia
em, em
Santo, Santo
André, André
., .
Além, além
do, de o
Santos, Santos
,, ,
o, o
Palmeiras, Palmeiras
é, ser
o, o
outro, outro
grande, grande
que, que
ainda, ainda
não, não
estreou, estrear
., .

, 

O, o
tão, tão
falado, falar
desentrosamento, desentrosamento
do, de o
novo, novo
time, time
do, de o
Corinthians, Corinthians
assustou, assustar
os, o
torecdores, torecdor
no, em o
Pacaembu, Pacaembu
,, ,
principalmente, principalmente
quando, quando
um, um
gol, gol
contra, contra
de, de
Ezequiel, Ezequiel
abriu, abrir
o, o
marcador, marcador
para, para
a, o
Portuguesa, Portuguesa
., .
A, o
angústia, angústia
da, de o
torcida, torcida
corintiana, corintiano
só, só
acabou, acabar
quando, quando
Marcelinho, Marcelinho
,, ,
Tupãzinho, Tupãzinho
e, e
Marques, Marques
decretaram, decretar
a, o
vitória, vitória
., .

, 

Já, já
o, o
São, São
Paulo, Paulo
não, não
deu, dar
sustos, susto
., .
Jogando, Jogando
com, com
vários, vários
reservas, reserva
,, ,
o, o
time, time
mostrou, mostrar
entrosamento, entrosamento
e, e
padrão, padrão
de, de
jogo, jogo
em, em
Santo, Santo
André, André
,, ,
goleando, golear
por, por
4, 4
a, a
1, 1
., .
Leonardo, Leonardo
marcou, marcar
dois, dois
e, e
comandou, comandar
a, o
vitória, vitória
,, ,
completada, completar
por, por
Valdeir, Valdeir
e, e
Palhinha, Palhinha
., .
Em, em
casa, casa
,, ,
o, o
Guarani, Guarani
foi, ser
surpreendido, surpreender
pelo, por o
América, América
,, ,
perdendo, perder
por, por
2, 2
a, a
1, 1
., .

, 

Neste, em este
Campeonato, Campeonato
Paulista, Paulista
de, de
pontos, ponto
corridos, corrir
,, ,
o, o
líder, líder
São, São
Paulo, Paulo
joga, jogar
na, em o
quarta-feira, quarta-feira
contra, contra
o, o
Ituano, Ituano
,, ,
o, o
Santos, Santos
enfrenta, enfrentar
o, o
Guarani, Guarani
e, e
o, o
Palmeiras, Palmeiras
estréia, estrear
contra, contra
a, o
Ferroviária, Ferroviária
., .
O, o
Corinthians, Corinthians
joga, jogar
contra, contra
o, o
América, América
na, em o
quinta-feira, quinta-feira
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
o, o
Paulistão, Paulistão
nas, em o
páginas, página
2, 2
,, ,
3, 3
e, e
4, 4

, 

