As, ﻿As
ruas, rua
de, de
Monte, Monte
Carlo, Carlo
fizeram, fazer
uma, um
`, `
`, `
seleção, seleção
natural, natural
'', ''
entre, entre
os, o
pilotos, piloto
no, em o
treino, treino
oficial, oficial
., .

, 

Os, o
que, que
mais, mais
sofreram, sofrer
foram, ser
os, o
novatos, novato
,, ,
que, que
nunca, nunca
haviam, haver
andando, andar
na, em o
pista, pista
do, de o
principado, principado
,, ,
encrustrado, encrustrar
no, em o
litoral, litoral
sul, sul
da, de o
França, França
., .

, 

O, o
melhor, bom
desempenho, desempenho
coube, caber
a, a
Eddie, Eddie
Irvine, Irvine
,, ,
da, de o
Jordan, Jordan
,, ,
que, que
obteve, obter
a, o
nona, nonar
colocação, colocação
., .

, 

`, `
`, `
Em, em
Mônaco, Mônaco
,, ,
você, você
tem, ter
que, que
frear, frear
em, em
cima, cima
(, (
das, de o
curvas, curva
), )
e, e
acelerar, acelerar
o, o
máximo, máximo
possível, possível
., .
E, e
essas, esse
coisas, coisa
ele, ele
faz, fazer
bem, bem
'', ''
,, ,
disse, dizer
o, o
Barrichello, Barrichello
,, ,
que, que
culpou, culpar
o, o
tráfego, tráfego
por, por
sua, seu
colocação, colocação
,, ,
o, o
13º., 13º.

, 

Depois, depois
de, de
Irvine, Irvine
,, ,
entre, entre
os, o
estreantes, estreante
,, ,
o, o
melhor, bom
foi, ser
David, David
Coulthard, Coulthard
,, ,
da, de o
Williams, Williams
(, (
11º, 11º
), )
., .

, 

`, `
`, `
É, ser
difícil, difícil
., .
Não, não
dá, dar
para, para
superar, superar
o, o
limite, limite
porque, porque
não, não
há, haver
margem, margem
para, para
erro, erro
'', ''
,, ,
disse, dizer
o, o
escocês, escocês
,, ,
mais, mais
acostumado, acostumar
a, a
disputar, disputar
lugares, lugar
nas, em o
primeiras, primeiro
filas, fila
., .

, 

Pedro, Pedro
Paulo, Paulo
Diniz, Diniz
,, ,
da, de o
Forti, Forti
Corse, Corse
,, ,
foi, ser
o, o
25º, 25º
,, ,
à, a o
frente, frente
apenas, apenas
de, de
Bertrand, Bertrand
Gachot, Gachot
,, ,
da, de o
Pacific, Pacific
,, ,
que, que
não, não
conseguiu, conseguir
uma, um
volta, volta
no, em o
treino, treino
ao, a o
perder, perder
uma, um
roda, roda
., .

, 

Roberto, Roberto
Moreno, Moreno
,, ,
que, que
já, já
correu, correr
em, em
Mônaco, Mônaco
,, ,
teve, ter
problemas, problema
mecânicos, mecânico
e, e
foi, ser
o, o
23º., 23º.

, 

Monza, Monza

, 

Marco, Marco
Piccinini, Piccinini
e, e
Rosario, Rosario
Alessi, Alessi
,, ,
dirigentes, dirigente
do, de o
Automóvel, Automóvel
Clube, Clube
da, de o
Itália, Itália
,, ,
explicaram, explicar
ontem, ontem
que, que
o, o
GP, GP
da, de o
Itália, Itália
,, ,
em, em
Monza, Monza
,, ,
dia, dia
10, 10
de, de
setembro, setembro
,, ,
ameaçado, ameaçar
pela, por o
FIA, FIA
,, ,
deve, dever
acontecer, acontecer
., .

, 

O, o
plano, plano
de, de
reformas, reforma
do, de o
autódromo, autódromo
deve, dever
ser, ser
entregue, entregar
à, a o
FIA, FIA
no, em o
dia, dia
28, 28
de, de
junho, junho
e, e
,, ,
segundo, segundo
os, o
dois, dois
,, ,
`, `
`, `
tudo, tudo
está, estar
acertado, acertado
,, ,
inclusive, inclusive
os, o
estudos, estudo
de, de
impacto, impacto
ambiental, ambiental
'', ''
., .

, 

(, (
JHM, JHM
), )

, 

