Sete, ﻿Sete
em, em
cada, cada
dez, dez
jogadores, jogador
de, de
futebol, futebol
profissional, profissional
no, em o
Brasil, Brasil
receberam, receber
entre, entre
um, um
e, e
dois, dois
salários, salário
mínimos, mínimo
por, por
mês, mês
no, em o
ano, ano
passado, passado
., .
A, o
revelação, revelação
é, ser
da, de o
CBF, CBF
(, (
Confederação, Confederação
Brasileira, Brasileira
de, de
Futebol, Futebol
), )
,, ,
a, o
entidade, entidade
máxima, grande
do, de o
futebol, futebol
brasileiro, brasileiro
,, ,
onde, onde
são, ser
registrados, registrar
os, o
contratos, contrato
dos, de o
atletas, atleta
de, de
todo, todo
o, o
país, país
., .
O, o
estudo, estudo
desmente, desmentir
a, o
crença, crença
bastante, bastante
difundida, difundir
de, de
que, que
jogadores, jogador
são, ser
,, ,
na, em o
maioria, maioria
,, ,
bem, bem
remunerados, remunerado
., .

, 

Mesmo, mesmo
considerando, considerar
que, que
muitos, muito
clubes, clube
não, não
registram, registrar
em, em
contrato, contrato
o, o
salário, salário
total, total
,, ,
o, o
futebol, futebol
brasileiro, brasileiro
está, estar
mais, mais
perto, perto
do, de o
Esporte, Esporte
Clube, Clube
Barreira, Barreira
do, de o
que, que
do, de o
São, São
Paulo, Paulo
Futebol, Futebol
Clube, Clube
., .
O, o
Barreira, Barreira
,, ,
equipe, equipe
da, de o
segunda, segundo
divisão, divisão
do, de o
Campeonato, Campeonato
do, de o
Rio, Rio
de, de
Janeiro, Janeiro
,, ,
paga, pagar
um, um
salário, salário
mínimo, mínimo
para, para
quase, quase
todos, todo
os, o
jogadores, jogador
(, (
o, o
valor, valor
do, de o
salário, salário
mínimo, mínimo
para, para
o, o
mês, mês
de, de
janeiro, janeiro
é, ser
de, de
CR$, CR$
32.882,00, 32.882,00
), )
., .
O, o
destaque, destaque
do, de o
time, time
ganha, ganhar
dois, dois
salários, salário
e, e
meio, meio
(, (
cerca, cerca
de, de
CR$, CR$
80, 80
mil, mil
), )
., .
No, em o
São, São
Paulo, Paulo
,, ,
jogadores, jogador
como, como
Toninho, Toninho
Cerezo, Cerezo
recebem, receber
cerca, cerca
de, de
US$, US$
20, 20
mil, mil
mensais, mensal
–, –
mais, mais
de, de
200, 200
salários, salário
mínimos, mínimo
(, (
aproximadamente, aproximadamente
CR$, CR$
7,74, 7,74
milhões, milhão
,, ,
o, o
que, que
chega, chegar
a, a
235,3, 235,3
mínimos, mínimo
), )
., .

, 

Os, o
contratos, contrato
acima, acima
de, de
dez, dez
salários, salário
mínimos, mínimo
são, ser
apenas, apenas
3, 3
%, %
do, de o
total, total
dos, de o
jogadores, jogador
de, de
futebol, futebol
profissional, profissional
no, em o
Brasil, Brasil
., .
Entre, entre
cinco, cinco
e, e
dez, dez
salários, salário
,, ,
6,77, 6,77
%, %
., .
Entre, entre
dois, dois
e, e
cinco, cinco
,, ,
19,6, 19,6
%, %
., .
De, de
um, um
a, a
dois, dois
,, ,
51,38, 51,38
%, %
., .
Ganham, Ganham
só, só
um, um
salário, salário
mínimo, mínimo
19,25, 19,25
%, %
., .
O, o
cálculo, cálculo
não, não
leva, levar
em, em
conta, conta
premiação, premiação
por, por
vitórias, vitória
,, ,
o, o
que, que
normalmente, normalmente
garante, garantir
um, um
providencial, providencial
reforço, reforço
no, em o
salário, salário
dos, de o
atletas, atleta
., .
No, em o
São, São
Paulo, Paulo
,, ,
o, o
título, título
mundial, mundial
valeu, valer
US$, US$
10, 10
mil, mil
(, (
ou, ou
cerca, cerca
de, de
CR$, CR$
3,87, 3,87
milhões, milhão
em, em
valores, valor
de, de
hoje, hoje
), )
a, a
cada, cada
atleta, atleta
., .
No, em o
Barreira, Barreira
,, ,
jogadores, jogador
são, ser
presenteados, presentear
com, com
alimentos, alimento
ou, ou
material, material
de, de
construção, construção
a, a
cada, cada
vitória, vitória
obtida, obter
pela, por o
equipe, equipe
da, de o
segunda, segundo
divisão, divisão
carioca, carioca
., .

, 

O, o
estudo, estudo
da, de o
CBF, CBF
foi, ser
divulgado, divulgar
ontem, ontem
no, em o
período, período
da, de o
tarde, tarde
,, ,
durante, durante
a, o
Assembléia, Assembléia
Geral, Geral
da, de o
entidade, entidade
que, que
iria, ir
discutir, discutir
mudanças, mudança
nos, em o
estatutos, estatuto
e, e
aprovação, aprovação
das, de o
contas, conta
de, de
1993, 1993
., .
Até, até
a, o
conclusão, conclusão
desta, de este
edição, edição
,, ,
às, a o
19h, 19h
,, ,
a, o
reunião, reunião
não, não
havia, haver
terminado, terminar
., .

, 

A, o
maior, grande
polêmica, polêmica
prevista, prever
era, ser
sobre, sobre
a, o
filiação, filiação
direta, direto
de, de
clubes, clube
,, ,
como, como
prevê, prever
a, o
Lei, Lei
Zico, Zico
., .
Se, se
isso, isso
ocorrer, ocorrer
,, ,
os, o
clubes, clube
que, que
participam, participar
do, de o
Campeonato, Campeonato
Brasileiro, Brasileiro
farão, far
parte, parte
do, de o
colégio, colégio
eleitoral, eleitoral
da, de o
CBF, CBF
,, ,
cujo, cujo
presidente, presidente
é, ser
